meleagris_gallopavo ENSMGAG00000002432
coturnix_japonica ENSCJPG00005000762
gallus_gallus ENSGALG00000009639
numida_meleagris ENSNMEG00000021811
anser_brachyrhynchus ENSABRG00000016611
anas_platyrhynchos_platyrhynchos ENSAPLG00000007120
manacus_vitellinus ENSMVIG00005013680
lepidothrix_coronata ENSLCOG00000014420
calidris_pygmaea ENSCPGG00000006801
calidris_pugnax ENSCPUG00000004980
apteryx_owenii ENSAOWG00000011864
apteryx_haastii ENSAHAG00000002230
apteryx_rowi ENSARWG00000001631
dromaius_novaehollandiae ENSDNVG00000006772
nothoprocta_perdicaria ENSNPEG00000000731
crocodylus_porosus ENSCPRG00005010657
chrysemys_picta_bellii ENSCPBG00000001510
salvator_merianae ENSSMRG00000002979
sphenodon_punctatus ENSSPUG00000019257
ornithorhynchus_anatinus ENSOANG00000029515
ornithorhynchus_anatinus ENSOANG00000028702
monodelphis_domestica ENSMODG00000028961
monodelphis_domestica ENSMODG00000028398
monodelphis_domestica ENSMODG00000027995
equus_asinus_asinus ENSEASG00005021885
equus_caballus ENSECAG00000032492
oryctolagus_cuniculus ENSOCUG00000022101
oryctolagus_cuniculus ENSOCUG00000026423
oryctolagus_cuniculus ENSOCUG00000022571
oryctolagus_cuniculus ENSOCUG00000027955
oryctolagus_cuniculus ENSOCUG00000020913
oryctolagus_cuniculus ENSOCUG00000027858
chrysemys_picta_bellii ENSCPBG00000027534
pelodiscus_sinensis ENSPSIG00000004307
pogona_vitticeps ENSPVIG00000006598
anolis_carolinensis ENSACAG00000016010
salvator_merianae ENSSMRG00000002951
pteropus_vampyrus ENSPVAG00000011428
myotis_lucifugus ENSMLUG00000007300
ursus_americanus ENSUAMG00000009111
ursus_maritimus ENSUMAG00000020219
ailuropoda_melanoleuca ENSAMEG00000013429
mustela_putorius_furo ENSMPUG00000007710
neovison_vison ENSNVIG00000011450
canis_lupus_familiaris ENSCAFG00000009003
canis_lupus_dingo ENSCAFG00020003318
vulpes_vulpes ENSVVUG00000023953
panthera_pardus ENSPPRG00000009286
panthera_tigris_altaica ENSPTIG00000022042
felis_catus ENSFCAG00000010766
equus_asinus_asinus ENSEASG00005021849
equus_caballus ENSECAG00000024167
sus_scrofa ENSSSCG00000009720
vicugna_pacos ENSVPAG00000002663
tursiops_truncatus ENSTTRG00000016129
pan_troglodytes ENSPTRG00000016581
pan_paniscus ENSPPAG00000040254
gorilla_gorilla ENSGGOG00000012801
homo_sapiens ENSG00000137628
pongo_abelii ENSPPYG00000015184
nomascus_leucogenys ENSNLEG00000006542
papio_anubis ENSPANG00000019535
theropithecus_gelada ENSTGEG00000020495
cercocebus_atys ENSCATG00000038859
mandrillus_leucophaeus ENSMLEG00000030919
macaca_fascicularis ENSMFAG00000016136
macaca_mulatta ENSMMUG00000001880
macaca_nemestrina ENSMNEG00000030573
chlorocebus_sabaeus ENSCSAG00000003155
colobus_angolensis_palliatus ENSCANG00000032267
piliocolobus_tephrosceles ENSPTEG00000002574
rhinopithecus_roxellana ENSRROG00000030767
rhinopithecus_bieti ENSRBIG00000034414
cebus_capucinus ENSCCAG00000034674
saimiri_boliviensis_boliviensis ENSSBOG00000024856
aotus_nancymaae ENSANAG00000030883
callithrix_jacchus ENSCJAG00000004726
carlito_syrichta ENSTSYG00000011545
propithecus_coquereli ENSPCOG00000008412
microcebus_murinus ENSMICG00000013542
tupaia_belangeri ENSTBEG00000000317
castor_canadensis ENSCCNG00000013299
dipodomys_ordii ENSDORG00000007349
mus_spicilegus ENSMSIG00000024485
mus_musculus ENSMUSG00000037921
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031080
rattus_norvegicus ENSRNOG00000059097
meriones_unguiculatus ENSMUGG00000023402
microtus_ochrogaster ENSMOCG00000007646
microtus_ochrogaster ENSMOCG00000010999
microtus_ochrogaster ENSMOCG00000008571
cricetulus_griseus_crigri ENSCGRG00000005295
cricetulus_griseus_crigri-picr ENSCGRG00015004634
cricetulus_griseus_chok1gshd ENSCGRG00001018201
mesocricetus_auratus ENSMAUG00000016664
peromyscus_maniculatus_bairdii ENSPEMG00000023735
nannospalax_galili ENSNGAG00000017960
jaculus_jaculus ENSJJAG00000000315
heterocephalus_glaber_male ENSHGLG00100002763
heterocephalus_glaber_female ENSHGLG00000013790
heterocephalus_glaber_male ENSHGLG00100009913
heterocephalus_glaber_male ENSHGLG00100008096
fukomys_damarensis ENSFDAG00000003782
cavia_porcellus ENSCPOG00000008326
cavia_aperea ENSCAPG00000006504
chinchilla_lanigera ENSCLAG00000015332
spermophilus_dauricus ENSSDAG00000009969
ictidomys_tridecemlineatus ENSSTOG00000016257
marmota_marmota_marmota ENSMMMG00000015007
oryctolagus_cuniculus ENSOCUG00000006355
ochotona_princeps ENSOPRG00000011819
loxodonta_africana ENSLAFG00000030244
loxodonta_africana ENSLAFG00000032464
loxodonta_africana ENSLAFG00000014392
loxodonta_africana ENSLAFG00000003113
procavia_capensis ENSPCAG00000002661
procavia_capensis ENSPCAG00000000925
dasypus_novemcinctus ENSDNOG00000008454
choloepus_hoffmanni ENSCHOG00000010631
erinaceus_europaeus ENSEEUG00000010236
sorex_araneus ENSSARG00000002474
sarcophilus_harrisii ENSSHAG00000016219
monodelphis_domestica ENSMODG00000002645
notamacropus_eugenii ENSMEUG00000005177
ornithorhynchus_anatinus ENSOANG00000007454
sarcophilus_harrisii ENSSHAG00000016690
rattus_norvegicus ENSRNOG00000056947
xenopus_tropicalis ENSXETG00000030600
xenopus_tropicalis ENSXETG00000032185
xenopus_tropicalis ENSXETG00000031597
latimeria_chalumnae ENSLACG00000017399
