papio_anubis ENSPANG00000034412
cercocebus_atys ENSCATG00000022751
theropithecus_gelada ENSTGEG00000009170
mandrillus_leucophaeus ENSMLEG00000000481
macaca_fascicularis ENSMFAG00000017692
macaca_mulatta ENSMMUG00000023074
macaca_nemestrina ENSMNEG00000027228
chlorocebus_sabaeus ENSCSAG00000019723
colobus_angolensis_palliatus ENSCANG00000019852
piliocolobus_tephrosceles ENSPTEG00000010161
rhinopithecus_roxellana ENSRROG00000014954
rhinopithecus_bieti ENSRBIG00000015633
pan_paniscus ENSPPAG00000009361
pan_troglodytes ENSPTRG00000042098
homo_sapiens ENSG00000221886
gorilla_gorilla ENSGGOG00000015371
pongo_abelii ENSPPYG00000016007
nomascus_leucogenys ENSNLEG00000018765
cebus_capucinus ENSCCAG00000020354
saimiri_boliviensis_boliviensis ENSSBOG00000018847
callithrix_jacchus ENSCJAG00000022257
aotus_nancymaae ENSANAG00000015834
carlito_syrichta ENSTSYG00000019449
microcebus_murinus ENSMICG00000006362
propithecus_coquereli ENSPCOG00000025679
prolemur_simus ENSPSMG00000005938
otolemur_garnettii ENSOGAG00000012300
ictidomys_tridecemlineatus ENSSTOG00000015054
nannospalax_galili ENSNGAG00000012428
chinchilla_lanigera ENSCLAG00000017741
octodon_degus ENSODEG00000019938
cavia_aperea ENSCAPG00000012539
cavia_porcellus ENSCPOG00000040506
fukomys_damarensis ENSFDAG00000010488
fukomys_damarensis ENSFDAG00000019914
heterocephalus_glaber_male ENSHGLG00100020482
heterocephalus_glaber_female ENSHGLG00000020154
neovison_vison ENSNVIG00000005345
mustela_putorius_furo ENSMPUG00000019315
ursus_maritimus ENSUMAG00000000170
canis_lupus_familiaris ENSCAFG00000028571
canis_lupus_dingo ENSCAFG00020001453
panthera_pardus ENSPPRG00000018806
panthera_tigris_altaica ENSPTIG00000000872
felis_catus ENSFCAG00000037292
pteropus_vampyrus ENSPVAG00000024257
myotis_lucifugus ENSMLUG00000003086
bos_mutus ENSBMUG00000003169
bos_taurus ENSBTAG00000030282
bison_bison_bison ENSBBBG00000022197
ovis_aries ENSOARG00000010347
tursiops_truncatus ENSTTRG00000021355
sus_scrofa ENSSSCG00000038662
vicugna_pacos ENSVPAG00000015457
equus_caballus ENSECAG00000004167
equus_asinus_asinus ENSEASG00005000619
oryzias_latipes ENSORLG00000024356
