heterocephalus_glaber_female ENSHGLG00000003354
heterocephalus_glaber_male ENSHGLG00100017572
fukomys_damarensis ENSFDAG00000003310
cavia_porcellus ENSCPOG00000030162
meriones_unguiculatus ENSMUGG00000009355
meriones_unguiculatus ENSMUGG00000009375
meriones_unguiculatus ENSMUGG00000014126
mus_musculus ENSMUSG00000096872
mus_spicilegus ENSMSIG00000026340
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023588
mus_spicilegus ENSMSIG00000020574
rattus_norvegicus ENSRNOG00000020305
rattus_norvegicus ENSRNOG00000023151
cricetulus_griseus_crigri-picr ENSCGRG00015003980
cricetulus_griseus_crigri-picr ENSCGRG00015009387
cricetulus_griseus_crigri-picr ENSCGRG00015004026
cricetulus_griseus_crigri ENSCGRG00000015490
cricetulus_griseus_crigri-picr ENSCGRG00015004074
cricetulus_griseus_chok1gshd ENSCGRG00001015765
cricetulus_griseus_crigri-picr ENSCGRG00015004047
peromyscus_maniculatus_bairdii ENSPEMG00000026116
oryctolagus_cuniculus ENSOCUG00000005200
oryctolagus_cuniculus ENSOCUG00000016886
ochotona_princeps ENSOPRG00000015503
rhinopithecus_roxellana ENSRROG00000044482
rhinopithecus_bieti ENSRBIG00000039690
piliocolobus_tephrosceles ENSPTEG00000012427
cercocebus_atys ENSCATG00000043571
mandrillus_leucophaeus ENSMLEG00000029127
macaca_nemestrina ENSMNEG00000039066
macaca_fascicularis ENSMFAG00000001490
papio_anubis ENSPANG00000017305
theropithecus_gelada ENSTGEG00000016463
chlorocebus_sabaeus ENSCSAG00000006528
cebus_capucinus ENSCCAG00000022311
pan_troglodytes ENSPTRG00000003762
pan_paniscus ENSPPAG00000040636
homo_sapiens ENSG00000124939
gorilla_gorilla ENSGGOG00000022202
pongo_abelii ENSPPYG00000003170
nomascus_leucogenys ENSNLEG00000003471
rhinopithecus_roxellana ENSRROG00000044015
rhinopithecus_bieti ENSRBIG00000041379
macaca_fascicularis ENSMFAG00000002274
macaca_nemestrina ENSMNEG00000036574
theropithecus_gelada ENSTGEG00000016604
mandrillus_leucophaeus ENSMLEG00000035453
cercocebus_atys ENSCATG00000043661
papio_anubis ENSPANG00000005851
chlorocebus_sabaeus ENSCSAG00000006522
cebus_capucinus ENSCCAG00000030614
saimiri_boliviensis_boliviensis ENSSBOG00000013372
callithrix_jacchus ENSCJAG00000019050
aotus_nancymaae ENSANAG00000023243
callithrix_jacchus ENSCJAG00000019059
saimiri_boliviensis_boliviensis ENSSBOG00000028742
aotus_nancymaae ENSANAG00000030356
theropithecus_gelada ENSTGEG00000016557
papio_anubis ENSPANG00000032557
theropithecus_gelada ENSTGEG00000016533
pongo_abelii ENSPPYG00000003168
pongo_abelii ENSPPYG00000004085
pan_troglodytes ENSPTRG00000003763
pan_paniscus ENSPPAG00000039013
gorilla_gorilla ENSGGOG00000006347
homo_sapiens ENSG00000110484
nomascus_leucogenys ENSNLEG00000003484
carlito_syrichta ENSTSYG00000034665
propithecus_coquereli ENSPCOG00000028625
prolemur_simus ENSPSMG00000022241
microcebus_murinus ENSMICG00000003206
otolemur_garnettii ENSOGAG00000013831
spermophilus_dauricus ENSSDAG00000006864
urocitellus_parryii ENSUPAG00010004955
ictidomys_tridecemlineatus ENSSTOG00000006184
marmota_marmota_marmota ENSMMMG00000002360
urocitellus_parryii ENSUPAG00010004941
spermophilus_dauricus ENSSDAG00000006930
equus_caballus ENSECAG00000010565
equus_asinus_asinus ENSEASG00005004415
equus_caballus ENSECAG00000012519
equus_asinus_asinus ENSEASG00005004407
equus_caballus ENSECAG00000012203
equus_asinus_asinus ENSEASG00005009091
equus_caballus ENSECAG00000028239
vicugna_pacos ENSVPAG00000006007
ursus_maritimus ENSUMAG00000012524
ursus_americanus ENSUAMG00000000429
neovison_vison ENSNVIG00000021243
mustela_putorius_furo ENSMPUG00000014001
ursus_maritimus ENSUMAG00000012516
ursus_americanus ENSUAMG00000002128
mustela_putorius_furo ENSMPUG00000014008
canis_lupus_familiaris ENSCAFG00000031356
canis_lupus_familiaris ENSCAFG00000032725
canis_lupus_dingo ENSCAFG00020012996
canis_lupus_familiaris ENSCAFG00000031184
canis_lupus_dingo ENSCAFG00020012994
vulpes_vulpes ENSVVUG00000029895
panthera_pardus ENSPPRG00000002262
panthera_tigris_altaica ENSPTIG00000006814
felis_catus ENSFCAG00000024754
