pteropus_vampyrus ENSPVAG00000006061
myotis_lucifugus ENSMLUG00000006586
equus_caballus ENSECAG00000011260
capra_hircus ENSCHIG00000023806
ovis_aries ENSOARG00000000776
bos_taurus ENSBTAG00000004836
bos_mutus ENSBMUG00000020046
tursiops_truncatus ENSTTRG00000011631
sus_scrofa ENSSSCG00000012546
vicugna_pacos ENSVPAG00000006599
ursus_americanus ENSUAMG00000027754
ailuropoda_melanoleuca ENSAMEG00000004109
neovison_vison ENSNVIG00000001829
mustela_putorius_furo ENSMPUG00000005316
canis_lupus_dingo ENSCAFG00020006962
canis_lupus_familiaris ENSCAFG00000017883
vulpes_vulpes ENSVVUG00000009438
felis_catus ENSFCAG00000031086
erinaceus_europaeus ENSEEUG00000002312
sorex_araneus ENSSARG00000009693
ictidomys_tridecemlineatus ENSSTOG00000022137
spermophilus_dauricus ENSSDAG00000002310
dipodomys_ordii ENSDORG00000028700
chinchilla_lanigera ENSCLAG00000000539
octodon_degus ENSODEG00000000514
cavia_porcellus ENSCPOG00000033819
heterocephalus_glaber_female ENSHGLG00000001721
heterocephalus_glaber_male ENSHGLG00100000078
fukomys_damarensis ENSFDAG00000015659
urocitellus_parryii ENSUPAG00010016439
urocitellus_parryii ENSUPAG00010016425
marmota_marmota_marmota ENSMMMG00000011573
marmota_marmota_marmota ENSMMMG00000011559
mus_spicilegus ENSMSIG00000019337
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034605
mus_musculus ENSMUSG00000052854
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033435
mus_pahari MGP_PahariEiJ_G0031975
rattus_norvegicus ENSRNOG00000008880
cricetulus_griseus_chok1gshd ENSCGRG00001007752
cricetulus_griseus_crigri ENSCGRG00000008952
cricetulus_griseus_crigri-picr ENSCGRG00015019429
mesocricetus_auratus ENSMAUG00000003820
peromyscus_maniculatus_bairdii ENSPEMG00000009338
microtus_ochrogaster ENSMOCG00000018695
nannospalax_galili ENSNGAG00000002704
jaculus_jaculus ENSJJAG00000005280
oryctolagus_cuniculus ENSOCUG00000002624
ochotona_princeps ENSOPRG00000010354
tupaia_belangeri ENSTBEG00000006305
pan_troglodytes ENSPTRG00000022144
pan_paniscus ENSPPAG00000037506
homo_sapiens ENSG00000123572
gorilla_gorilla ENSGGOG00000016150
pongo_abelii ENSPPYG00000020600
nomascus_leucogenys ENSNLEG00000013661
macaca_fascicularis ENSMFAG00000037295
macaca_mulatta ENSMMUG00000011601
macaca_nemestrina ENSMNEG00000026887
mandrillus_leucophaeus ENSMLEG00000041994
cercocebus_atys ENSCATG00000011866
papio_anubis ENSPANG00000014700
theropithecus_gelada ENSTGEG00000014093
chlorocebus_sabaeus ENSCSAG00000009300
colobus_angolensis_palliatus ENSCANG00000039268
piliocolobus_tephrosceles ENSPTEG00000002227
rhinopithecus_roxellana ENSRROG00000031393
rhinopithecus_bieti ENSRBIG00000032296
cebus_capucinus ENSCCAG00000035321
saimiri_boliviensis_boliviensis ENSSBOG00000032497
callithrix_jacchus ENSCJAG00000008160
aotus_nancymaae ENSANAG00000022320
carlito_syrichta ENSTSYG00000012347
prolemur_simus ENSPSMG00000012886
propithecus_coquereli ENSPCOG00000017487
microcebus_murinus ENSMICG00000014358
otolemur_garnettii ENSOGAG00000000977
panthera_pardus ENSPPRG00000005971
panthera_tigris_altaica ENSPTIG00000018671
rhinopithecus_bieti ENSRBIG00000036721
choloepus_hoffmanni ENSCHOG00000004010
dasypus_novemcinctus ENSDNOG00000002327
echinops_telfairi ENSETEG00000002796
equus_asinus_asinus ENSEASG00005000755
equus_asinus_asinus ENSEASG00005000754
panthera_pardus ENSPPRG00000005998
panthera_tigris_altaica ENSPTIG00000018698
felis_catus ENSFCAG00000042190
ursus_maritimus ENSUMAG00000010997
bison_bison_bison ENSBBBG00000025315
heterocephalus_glaber_male ENSHGLG00100000092
heterocephalus_glaber_female ENSHGLG00000001610
loxodonta_africana ENSLAFG00000001979
