chinchilla_lanigera ENSCLAG00000000844
octodon_degus ENSODEG00000010486
cavia_porcellus ENSCPOG00000031427
heterocephalus_glaber_female ENSHGLG00000002181
heterocephalus_glaber_male ENSHGLG00100003672
fukomys_damarensis ENSFDAG00000009520
spermophilus_dauricus ENSSDAG00000005694
marmota_marmota_marmota ENSMMMG00000012687
urocitellus_parryii ENSUPAG00010002470
ictidomys_tridecemlineatus ENSSTOG00000020030
castor_canadensis ENSCCNG00000006276
dipodomys_ordii ENSDORG00000019727
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034123
mus_musculus ENSMUSG00000054737
mus_spicilegus ENSMSIG00000001836
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032973
mus_pahari MGP_PahariEiJ_G0031516
rattus_norvegicus ENSRNOG00000047132
meriones_unguiculatus ENSMUGG00000011645
cricetulus_griseus_crigri-picr ENSCGRG00015003854
cricetulus_griseus_chok1gshd ENSCGRG00001023429
cricetulus_griseus_crigri ENSCGRG00000005165
mesocricetus_auratus ENSMAUG00000010424
peromyscus_maniculatus_bairdii ENSPEMG00000023264
nannospalax_galili ENSNGAG00000015598
jaculus_jaculus ENSJJAG00000000188
oryctolagus_cuniculus ENSOCUG00000017226
homo_sapiens ENSG00000147118
pan_troglodytes ENSPTRG00000028288
gorilla_gorilla ENSGGOG00000002384
pongo_abelii ENSPPYG00000020303
nomascus_leucogenys ENSNLEG00000003482
piliocolobus_tephrosceles ENSPTEG00000009597
colobus_angolensis_palliatus ENSCANG00000043594
rhinopithecus_roxellana ENSRROG00000042892
rhinopithecus_bieti ENSRBIG00000032515
macaca_fascicularis ENSMFAG00000036192
macaca_mulatta ENSMMUG00000001258
macaca_nemestrina ENSMNEG00000043954
cercocebus_atys ENSCATG00000032321
mandrillus_leucophaeus ENSMLEG00000025202
papio_anubis ENSPANG00000005277
theropithecus_gelada ENSTGEG00000005054
chlorocebus_sabaeus ENSCSAG00000013579
cebus_capucinus ENSCCAG00000026003
callithrix_jacchus ENSCJAG00000048633
saimiri_boliviensis_boliviensis ENSSBOG00000020007
aotus_nancymaae ENSANAG00000026240
carlito_syrichta ENSTSYG00000010158
propithecus_coquereli ENSPCOG00000017106
microcebus_murinus ENSMICG00000037147
prolemur_simus ENSPSMG00000006070
bos_taurus ENSBTAG00000046774
bos_mutus ENSBMUG00000024104
bison_bison_bison ENSBBBG00000022113
ovis_aries ENSOARG00000012594
capra_hircus ENSCHIG00000012157
tursiops_truncatus ENSTTRG00000014354
sus_scrofa ENSSSCG00000012284
pteropus_vampyrus ENSPVAG00000001765
ursus_americanus ENSUAMG00000019752
ursus_americanus ENSUAMG00000019751
ursus_maritimus ENSUMAG00000008013
ailuropoda_melanoleuca ENSAMEG00000012837
neovison_vison ENSNVIG00000006120
mustela_putorius_furo ENSMPUG00000013426
canis_lupus_familiaris ENSCAFG00000015232
canis_lupus_dingo ENSCAFG00020021360
vulpes_vulpes ENSVVUG00000017595
panthera_tigris_altaica ENSPTIG00000017625
panthera_pardus ENSPPRG00000001597
felis_catus ENSFCAG00000030362
myotis_lucifugus ENSMLUG00000000480
equus_asinus_asinus ENSEASG00005008334
equus_caballus ENSECAG00000021056
erinaceus_europaeus ENSEEUG00000004070
loxodonta_africana ENSLAFG00000004532
echinops_telfairi ENSETEG00000011834
dasypus_novemcinctus ENSDNOG00000038735
