rhinopithecus_bieti ENSRBIG00000027924
rhinopithecus_roxellana ENSRROG00000030093
piliocolobus_tephrosceles ENSPTEG00000001464
colobus_angolensis_palliatus ENSCANG00000009434
macaca_fascicularis ENSMFAG00000033994
macaca_nemestrina ENSMNEG00000045414
theropithecus_gelada ENSTGEG00000008972
papio_anubis ENSPANG00000022071
mandrillus_leucophaeus ENSMLEG00000037939
cercocebus_atys ENSCATG00000014755
chlorocebus_sabaeus ENSCSAG00000012881
homo_sapiens ENSG00000186458
gorilla_gorilla ENSGGOG00000006603
pan_paniscus ENSPPAG00000041945
pongo_abelii ENSPPYG00000010873
nomascus_leucogenys ENSNLEG00000009551
cebus_capucinus ENSCCAG00000001954
saimiri_boliviensis_boliviensis ENSSBOG00000026510
