poecilia_latipinna ENSPLAG00000013628
poecilia_mexicana ENSPMEG00000002596
xiphophorus_couchianus ENSXCOG00000017952
amphiprion_ocellaris ENSAOCG00000023294
amphiprion_percula ENSAPEG00000013425
stegastes_partitus ENSSPAG00000015598
acanthochromis_polyacanthus ENSAPOG00000015667
periophthalmus_magnuspinnatus ENSPMGG00000012288
cynoglossus_semilaevis ENSCSEG00000018723
hippocampus_comes ENSHCOG00000015583
mastacembelus_armatus ENSMAMG00000004091
esox_lucius ENSELUG00000013932
pygocentrus_nattereri ENSPNAG00000023535
