pongo_abelii ENSPPYG00000029811
macaca_mulatta ENSMMUG00000040575
mus_spretus MGP_SPRETEiJ_G0002394
mus_musculus ENSMUSG00000076867
mus_caroli MGP_CAROLIEiJ_G0002241
mus_pahari MGP_PahariEiJ_G0002100
bos_taurus ENSBTAG00000049900
ovis_aries ENSOARG00000019453
sus_scrofa ENSSSCG00000034250
vulpes_vulpes ENSVVUG00000024575
canis_lupus ENSCAFG00000029180
ailuropoda_melanoleuca ENSAMEG00000007131
myotis_lucifugus ENSMLUG00000025096
dasypus_novemcinctus ENSDNOG00000048574
monodelphis_domestica ENSMODG00000005661
ornithorhynchus_anatinus ENSOANG00000010729
ornithorhynchus_anatinus ENSOANG00000030642
ornithorhynchus_anatinus ENSOANG00000010730
zonotrichia_albicollis ENSZALG00000002188
zonotrichia_albicollis ENSZALG00000002189
zonotrichia_albicollis ENSZALG00000000722
junco_hyemalis ENSJHYG00000007788
serinus_canaria ENSSCAG00000007356
serinus_canaria ENSSCAG00000012769
lonchura_striata ENSLSDG00000005679
zonotrichia_albicollis ENSZALG00000000720
cyanistes_caeruleus ENSCCEG00000022091
lepidothrix_coronata ENSLCOG00000009892
calidris_pygmaea ENSCPGG00000012410
calidris_pygmaea ENSCPGG00000017701
calidris_pugnax ENSCPUG00000015455
sphenodon_punctatus ENSSPUG00000005941
