cricetulus_griseus_crigri ENSCGRG00000003641
cricetulus_griseus_chok1gshd ENSCGRG00001015883
cricetulus_griseus_crigri-picr ENSCGRG00015028515
mesocricetus_auratus ENSMAUG00000006812
microtus_ochrogaster ENSMOCG00000020489
peromyscus_maniculatus_bairdii ENSPEMG00000001132
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020520
mus_spicilegus ENSMSIG00000029934
mus_musculus ENSMUSG00000025551
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019623
mus_pahari MGP_PahariEiJ_G0030639
meriones_unguiculatus ENSMUGG00000010407
nannospalax_galili ENSNGAG00000014949
jaculus_jaculus ENSJJAG00000013393
heterocephalus_glaber_female ENSHGLG00000001125
heterocephalus_glaber_male ENSHGLG00100004813
fukomys_damarensis ENSFDAG00000002702
octodon_degus ENSODEG00000010100
cavia_porcellus ENSCPOG00000024889
chinchilla_lanigera ENSCLAG00000002970
urocitellus_parryii ENSUPAG00010010573
ictidomys_tridecemlineatus ENSSTOG00000003078
spermophilus_dauricus ENSSDAG00000006178
castor_canadensis ENSCCNG00000030853
ochotona_princeps ENSOPRG00000010487
echinops_telfairi ENSETEG00000017555
colobus_angolensis_palliatus ENSCANG00000039945
piliocolobus_tephrosceles ENSPTEG00000035135
rhinopithecus_bieti ENSRBIG00000030056
macaca_fascicularis ENSMFAG00000045895
macaca_mulatta ENSMMUG00000002875
papio_anubis ENSPANG00000012680
cercocebus_atys ENSCATG00000041019
mandrillus_leucophaeus ENSMLEG00000030175
theropithecus_gelada ENSTGEG00000012590
gorilla_gorilla ENSGGOG00000006822
pan_troglodytes ENSPTRG00000006008
homo_sapiens ENSG00000102466
nomascus_leucogenys ENSNLEG00000007849
saimiri_boliviensis_boliviensis ENSSBOG00000033114
cebus_capucinus ENSCCAG00000026756
callithrix_jacchus ENSCJAG00000045288
aotus_nancymaae ENSANAG00000021289
prolemur_simus ENSPSMG00000016444
propithecus_coquereli ENSPCOG00000017856
microcebus_murinus ENSMICG00000010747
sorex_araneus ENSSARG00000011966
procavia_capensis ENSPCAG00000012123
tursiops_truncatus ENSTTRG00000006795
bison_bison_bison ENSBBBG00000018976
vicugna_pacos ENSVPAG00000005316
panthera_tigris_altaica ENSPTIG00000008182
ailuropoda_melanoleuca ENSAMEG00000016555
ursus_maritimus ENSUMAG00000023255
bos_taurus ENSBTAG00000052496
bos_mutus ENSBMUG00000019828
ovis_aries ENSOARG00000004918
canis_lupus_familiaris ENSCAFG00000005926
erinaceus_europaeus ENSEEUG00000011287
equus_asinus_asinus ENSEASG00005022122
pteropus_vampyrus ENSPVAG00000013382
tupaia_belangeri ENSTBEG00000008103
choloepus_hoffmanni ENSCHOG00000001886
loxodonta_africana ENSLAFG00000004149
pongo_abelii ENSPPYG00000005477
pan_paniscus ENSPPAG00000038464
macaca_nemestrina ENSMNEG00000029089
chlorocebus_sabaeus ENSCSAG00000017485
rhinopithecus_roxellana ENSRROG00000043267
otolemur_garnettii ENSOGAG00000011465
marmota_marmota_marmota ENSMMMG00000020458
rattus_norvegicus ENSRNOG00000009288
oryctolagus_cuniculus ENSOCUG00000008820
neovison_vison ENSNVIG00000018836
mustela_putorius_furo ENSMPUG00000011277
ursus_americanus ENSUAMG00000000292
panthera_pardus ENSPPRG00000017568
felis_catus ENSFCAG00000033716
sus_scrofa ENSSSCG00000009527
capra_hircus ENSCHIG00000003547
canis_lupus_dingo ENSCAFG00020022653
vulpes_vulpes ENSVVUG00000020951
equus_caballus ENSECAG00000024133
myotis_lucifugus ENSMLUG00000008132
dasypus_novemcinctus ENSDNOG00000013969
ornithorhynchus_anatinus ENSOANG00000011310
phascolarctos_cinereus ENSPCIG00000025773
monodelphis_domestica ENSMODG00000006282
sarcophilus_harrisii ENSSHAG00000015963
crocodylus_porosus ENSCPRG00005016842
chrysemys_picta_bellii ENSCPBG00000015436
anolis_carolinensis ENSACAG00000003267
pogona_vitticeps ENSPVIG00000009754
notechis_scutatus ENSNSUG00000009116
salvator_merianae ENSSMRG00000014052
apteryx_rowi ENSARWG00000011744
apteryx_haastii ENSAHAG00000014837
dromaius_novaehollandiae ENSDNVG00000010651
anas_platyrhynchos_platyrhynchos ENSAPLG00000003780
anser_brachyrhynchus ENSABRG00000018725
numida_meleagris ENSNMEG00000018675
meleagris_gallopavo ENSMGAG00000014886
serinus_canaria ENSSCAG00000016178
lonchura_striata_domestica ENSLSDG00000017521
zonotrichia_albicollis ENSZALG00000017583
parus_major ENSPMJG00000001597
lepidothrix_coronata ENSLCOG00000015089
calidris_pygmaea ENSCPGG00000001132
chelonoidis_abingdonii ENSCABG00000018709
nothoprocta_perdicaria ENSNPEG00000014056
sphenodon_punctatus ENSSPUG00000004957
ornithorhynchus_anatinus ENSOANG00000031066
paramormyrops_kingsleyae ENSPKIG00000004514
paramormyrops_kingsleyae ENSPKIG00000014343
pygocentrus_nattereri ENSPNAG00000012379
astyanax_mexicanus ENSAMXG00000038135
ictalurus_punctatus ENSIPUG00000013752
danio_rerio ENSDARG00000040982
astatotilapia_calliptera ENSACLG00000026368
pundamilia_nyererei ENSPNYG00000011438
haplochromis_burtoni ENSHBUG00000011430
maylandia_zebra ENSMZEG00005021587
oreochromis_niloticus ENSONIG00000006810
amphilophus_citrinellus ENSACIG00000020555
amphiprion_percula ENSAPEG00000003681
seriola_dumerili ENSSDUG00000009557
seriola_lalandi_dorsalis ENSSLDG00000009878
mastacembelus_armatus ENSMAMG00000018311
anabas_testudineus ENSATEG00000006029
cynoglossus_semilaevis ENSCSEG00000005084
takifugu_rubripes ENSTRUG00000012467
tetraodon_nigroviridis ENSTNIG00000014975
mola_mola ENSMMOG00000019753
gasterosteus_aculeatus ENSGACG00000001948
xiphophorus_maculatus ENSXMAG00000021156
xiphophorus_couchianus ENSXCOG00000018594
poecilia_formosa ENSPFOG00000013008
poecilia_mexicana ENSPMEG00000013348
oryzias_latipes ENSORLG00020014112
scophthalmus_maximus ENSSMAG00000003795
periophthalmus_magnuspinnatus ENSPMGG00000009114
hippocampus_comes ENSHCOG00000003089
gadus_morhua ENSGMOG00000019607
lepisosteus_oculatus ENSLOCG00000002765
xenopus_tropicalis ENSXETG00000020664
notamacropus_eugenii ENSMEUG00000014464
taeniopygia_guttata ENSTGUG00000010862
ficedula_albicollis ENSFALG00000004300
cyanistes_caeruleus ENSCCEG00000018323
junco_hyemalis ENSJHYG00000017898
manacus_vitellinus ENSMVIG00005014784
calidris_pugnax ENSCPUG00000007128
melopsittacus_undulatus ENSMUNG00000004050
coturnix_japonica ENSCJPG00005016065
apteryx_owenii ENSAOWG00000018987
gallus_gallus ENSGALG00000016866
nothoprocta_perdicaria ENSNPEG00000013038
meleagris_gallopavo ENSMGAG00000014884
chelonoidis_abingdonii ENSCABG00000011680
gopherus_agassizii ENSGAGG00000010586
pelodiscus_sinensis ENSPSIG00000003548
latimeria_chalumnae ENSLACG00000016297
acanthochromis_polyacanthus ENSAPOG00000013599
amphiprion_ocellaris ENSAOCG00000001525
stegastes_partitus ENSSPAG00000007846
neolamprologus_brichardi ENSNBRG00000000950
poecilia_latipinna ENSPLAG00000012046
poecilia_reticulata ENSPREG00000005660
gambusia_affinis ENSGAFG00000021172
fundulus_heteroclitus ENSFHEG00000010484
cyprinodon_variegatus ENSCVAG00000022275
kryptolebias_marmoratus ENSKMAG00000004245
oryzias_latipes ENSORLG00000010976
oryzias_latipes_asm223469v1 ENSORLG00015017262
