denticeps_clupeoides ENSDCDG00000000610
clupea_harengus ENSCHAG00000009063
astyanax_mexicanus ENSAMXG00005004642
astyanax_mexicanus ENSAMXG00000010970
pygocentrus_nattereri ENSPNAG00000021872
ictalurus_punctatus ENSIPUG00000020564
electrophorus_electricus ENSEEEG00000022937
danio_rerio ENSDARG00000075337
gouania_willdenowi ENSGWIG00000013850
hippocampus_comes ENSHCOG00000011897
cynoglossus_semilaevis ENSCSEG00000005202
takifugu_rubripes ENSTRUG00000012513
tetraodon_nigroviridis ENSTNIG00000009647
seriola_dumerili ENSSDUG00000016697
seriola_lalandi ENSSLDG00000016976
scophthalmus_maximus ENSSMAG00000002353
lates_calcarifer ENSLCAG00010005379
mastacembelus_armatus ENSMAMG00000023987
monopterus_albus ENSMALG00000007892
anabas_testudineus ENSATEG00000023835
betta_splendens ENSBSLG00000022914
cottoperca_gobio ENSCGOG00000009538
gasterosteus_aculeatus ENSGACG00000007099
larimichthys_crocea ENSLCRG00005003551
mola_mola ENSMMOG00000008951
labrus_bergylta ENSLBEG00000006552
amphiprion_ocellaris ENSAOCG00000018907
amphiprion_percula ENSAPEG00000019312
acanthochromis_polyacanthus ENSAPOG00000004760
stegastes_partitus ENSSPAG00000013283
stegastes_partitus ENSSPAG00000022504
parambassis_ranga ENSPRNG00000021501
fundulus_heteroclitus ENSFHEG00000001812
cyprinodon_variegatus ENSCVAG00000019899
xiphophorus_maculatus ENSXMAG00000010803
xiphophorus_couchianus ENSXCOG00000016138
gambusia_affinis ENSGAFG00000002235
poecilia_latipinna ENSPLAG00000021668
poecilia_formosa ENSPFOG00000011593
poecilia_mexicana ENSPMEG00000023896
poecilia_reticulata ENSPREG00000009319
kryptolebias_marmoratus ENSKMAG00000020875
oryzias_latipes ENSORLG00000004574
oryzias_latipes ENSORLG00020022619
oryzias_latipes ENSORLG00015008257
oryzias_melastigma ENSOMEG00000011491
astatotilapia_calliptera ENSACLG00000013037
maylandia_zebra ENSMZEG00005013585
pundamilia_nyererei ENSPNYG00000004846
haplochromis_burtoni ENSHBUG00000014070
oreochromis_niloticus ENSONIG00000006802
neolamprologus_brichardi ENSNBRG00000022165
amphilophus_citrinellus ENSACIG00000010901
periophthalmus_magnuspinnatus ENSPMGG00000022738
gadus_morhua ENSGMOG00000000795
hucho_hucho ENSHHUG00000048664
hucho_hucho ENSHHUG00000051593
esox_lucius ENSELUG00000024462
scleropages_formosus ENSSFOG00015022336
scleropages_formosus ENSSFOG00015022305
paramormyrops_kingsleyae ENSPKIG00000023485
lepisosteus_oculatus ENSLOCG00000002048
erpetoichthys_calabaricus ENSECRG00000013146
latimeria_chalumnae ENSLACG00000005448
anas_platyrhynchos ENSAPLG00000013338
anser_brachyrhynchus ENSABRG00000009645
gallus_gallus ENSGALG00000036309
coturnix_japonica ENSCJPG00005004337
meleagris_gallopavo ENSMGAG00000011621
numida_meleagris ENSNMEG00000010748
taeniopygia_guttata ENSTGUG00000014015
taeniopygia_guttata ENSTGUG00000005000
lonchura_striata ENSLSDG00000011061
serinus_canaria ENSSCAG00000002322
junco_hyemalis ENSJHYG00000002492
zonotrichia_albicollis ENSZALG00000008146
parus_major ENSPMJG00000010701
cyanistes_caeruleus ENSCCEG00000013122
ficedula_albicollis ENSFALG00000002618
manacus_vitellinus ENSMVIG00005012150
manacus_vitellinus ENSMVIG00005011105
lepidothrix_coronata ENSLCOG00000005904
melopsittacus_undulatus ENSMUNG00000015589
calidris_pygmaea ENSCPGG00000013180
calidris_pugnax ENSCPUG00000004394
apteryx_haastii ENSAHAG00000000673
apteryx_owenii ENSAOWG00000012521
apteryx_rowi ENSARWG00000005908
dromaius_novaehollandiae ENSDNVG00000001565
nothoprocta_perdicaria ENSNPEG00000002662
crocodylus_porosus ENSCPRG00005008290
pelodiscus_sinensis ENSPSIG00000011735
pelodiscus_sinensis ENSPSIG00000016777
chelonoidis_abingdonii ENSCABG00000011558
gopherus_agassizii ENSGAGG00000010435
