seriola_dumerili ENSSDUG00000012777
seriola_lalandi_dorsalis ENSSLDG00000015008
scophthalmus_maximus ENSSMAG00000000759
monopterus_albus ENSMALG00000000843
hippocampus_comes ENSHCOG00000007232
amphilophus_citrinellus ENSACIG00000018755
periophthalmus_magnuspinnatus ENSPMGG00000004533
amphiprion_ocellaris ENSAOCG00000000294
amphiprion_percula ENSAPEG00000014923
acanthochromis_polyacanthus ENSAPOG00000020981
stegastes_partitus ENSSPAG00000014417
labrus_bergylta ENSLBEG00000010127
tetraodon_nigroviridis ENSTNIG00000018470
takifugu_rubripes ENSTRUG00000025971
mola_mola ENSMMOG00000021654
gasterosteus_aculeatus ENSGACG00000007622
oryzias_latipes ENSORLG00020018098
oryzias_latipes ENSORLG00000023991
oryzias_latipes_asm223469v1 ENSORLG00015002695
oryzias_melastigma ENSOMEG00000018625
cynoglossus_semilaevis ENSCSEG00000005580
anabas_testudineus ENSATEG00000009135
maylandia_zebra ENSMZEG00005012195
astatotilapia_calliptera ENSACLG00000000446
pundamilia_nyererei ENSPNYG00000012512
haplochromis_burtoni ENSHBUG00000005790
neolamprologus_brichardi ENSNBRG00000018644
oreochromis_niloticus ENSONIG00000002750
xiphophorus_couchianus ENSXCOG00000008956
xiphophorus_maculatus ENSXMAG00000022220
poecilia_formosa ENSPFOG00000006960
poecilia_latipinna ENSPLAG00000000078
poecilia_mexicana ENSPMEG00000023192
poecilia_reticulata ENSPREG00000003666
gambusia_affinis ENSGAFG00000003750
cyprinodon_variegatus ENSCVAG00000005495
fundulus_heteroclitus ENSFHEG00000012016
kryptolebias_marmoratus ENSKMAG00000017744
mastacembelus_armatus ENSMAMG00000015951
gadus_morhua ENSGMOG00000000087
gadus_morhua ENSGMOG00000018021
esox_lucius ENSELUG00000021392
pygocentrus_nattereri ENSPNAG00000013697
astyanax_mexicanus ENSAMXG00000035542
ictalurus_punctatus ENSIPUG00000000887
danio_rerio ENSDARG00000077236
scleropages_formosus ENSSFOG00015002169
takifugu_rubripes ENSTRUG00000016207
anolis_carolinensis ENSACAG00000016645
pogona_vitticeps ENSPVIG00000023174
notechis_scutatus ENSNSUG00000014819
salvator_merianae ENSSMRG00000016473
sphenodon_punctatus ENSSPUG00000005238
gopherus_agassizii ENSGAGG00000017231
chelonoidis_abingdonii ENSCABG00000005883
chrysemys_picta_bellii ENSCPBG00000000914
pelodiscus_sinensis ENSPSIG00000008165
phascolarctos_cinereus ENSPCIG00000015568
notamacropus_eugenii ENSMEUG00000009670
sarcophilus_harrisii ENSSHAG00000009635
monodelphis_domestica ENSMODG00000014018
loxodonta_africana ENSLAFG00000012935
procavia_capensis ENSPCAG00000005071
