castor_canadensis ENSCCNG00000006959
mus_spicilegus ENSMSIG00000003092
bison_bison_bison ENSBBBG00000019579
sus_scrofa ENSSSCG00000031330
bos_taurus ENSBTAG00000049183
bison_bison_bison ENSBBBG00000003552
sus_scrofa ENSSSCG00000033226
microtus_ochrogaster ENSMOCG00000012778
peromyscus_maniculatus_bairdii ENSPEMG00000029044
nannospalax_galili ENSNGAG00000021869
octodon_degus ENSODEG00000008835
felis_catus ENSFCAG00000037194
bos_mutus ENSBMUG00000014095
notechis_scutatus ENSNSUG00000001116
manacus_vitellinus ENSMVIG00005003597
paramormyrops_kingsleyae ENSPKIG00000015488
scleropages_formosus ENSSFOG00015018845
seriola_lalandi_dorsalis ENSSLDG00000022879
monopterus_albus ENSMALG00000018113
pundamilia_nyererei ENSPNYG00000018362
maylandia_zebra ENSMZEG00005003621
amphilophus_citrinellus ENSACIG00000021958
kryptolebias_marmoratus ENSKMAG00000019036
labrus_bergylta ENSLBEG00000025498
esox_lucius ENSELUG00000005516
