coturnix_japonica ENSCJPG00005014169
meleagris_gallopavo ENSMGAG00000002700
gallus_gallus ENSGALG00000004245
numida_meleagris ENSNMEG00000009074
anser_brachyrhynchus ENSABRG00000006340
anas_platyrhynchos ENSAPLG00000015893
taeniopygia_guttata ENSTGUG00000008180
lonchura_striata ENSLSDG00000001171
serinus_canaria ENSSCAG00000009514
cyanistes_caeruleus ENSCCEG00000022461
parus_major ENSPMJG00000017360
ficedula_albicollis ENSFALG00000013914
zonotrichia_albicollis ENSZALG00000005708
manacus_vitellinus ENSMVIG00005002583
lepidothrix_coronata ENSLCOG00000001631
calidris_pugnax ENSCPUG00000003107
melopsittacus_undulatus ENSMUNG00000005199
apteryx_rowi ENSARWG00000017709
apteryx_owenii ENSAOWG00000017398
dromaius_novaehollandiae ENSDNVG00000010449
crocodylus_porosus ENSCPRG00005016426
chelonoidis_abingdonii ENSCABG00000008080
gopherus_agassizii ENSGAGG00000003678
chrysemys_picta ENSCPBG00000020645
pelodiscus_sinensis ENSPSIG00000009664
anolis_carolinensis ENSACAG00000009065
pogona_vitticeps ENSPVIG00000012688
salvator_merianae ENSSMRG00000010899
apteryx_haastii ENSAHAG00000010283
nothoprocta_perdicaria ENSNPEG00000001528
calidris_pygmaea ENSCPGG00000007210
sphenodon_punctatus ENSSPUG00000001835
sarcophilus_harrisii ENSSHAG00000016961
phascolarctos_cinereus ENSPCIG00000003825
monodelphis_domestica ENSMODG00000009069
pan_troglodytes ENSPTRG00000018858
pan_paniscus ENSPPAG00000037640
homo_sapiens ENSG00000106268
gorilla_gorilla ENSGGOG00000011969
pongo_abelii ENSPPYG00000017311
nomascus_leucogenys ENSNLEG00000029411
rhinopithecus_roxellana ENSRROG00000027802
rhinopithecus_bieti ENSRBIG00000039727
piliocolobus_tephrosceles ENSPTEG00000039533
theropithecus_gelada ENSTGEG00000003674
mandrillus_leucophaeus ENSMLEG00000001935
papio_anubis ENSPANG00000029943
cercocebus_atys ENSCATG00000040024
macaca_fascicularis ENSMFAG00000039575
macaca_mulatta ENSMMUG00000022072
macaca_nemestrina ENSMNEG00000041382
chlorocebus_sabaeus ENSCSAG00000017586
callithrix_jacchus ENSCJAG00000040569
callithrix_jacchus ENSCJAG00000001429
cebus_capucinus ENSCCAG00000020483
saimiri_boliviensis ENSSBOG00000033662
aotus_nancymaae ENSANAG00000034728
aotus_nancymaae ENSANAG00000032369
colobus_angolensis ENSCANG00000041426
cebus_capucinus ENSCCAG00000024070
carlito_syrichta ENSTSYG00000033594
prolemur_simus ENSPSMG00000020991
microcebus_murinus ENSMICG00000037667
propithecus_coquereli ENSPCOG00000014011
otolemur_garnettii ENSOGAG00000033181
tupaia_belangeri ENSTBEG00000007840
ursus_americanus ENSUAMG00000001635
ursus_maritimus ENSUMAG00000007105
ailuropoda_melanoleuca ENSAMEG00000003657
mustela_putorius ENSMPUG00000017912
neovison_vison ENSNVIG00000003811
canis_lupus ENSCAFG00020020755
canis_lupus ENSCAFG00000016431
vulpes_vulpes ENSVVUG00000004154
panthera_pardus ENSPPRG00000003790
panthera_tigris ENSPTIG00000015755
felis_catus ENSFCAG00000005390
equus_asinus ENSEASG00005021157
equus_caballus ENSECAG00000009340
bos_mutus ENSBMUG00000019425
bos_taurus ENSBTAG00000002480
bison_bison ENSBBBG00000016255
ovis_aries ENSOARG00000005314
sus_scrofa ENSSSCG00000033926
tursiops_truncatus ENSTTRG00000010692
peromyscus_maniculatus ENSPEMG00000021429
peromyscus_maniculatus ENSPEMG00000014386
microtus_ochrogaster ENSMOCG00000013957
cricetulus_griseus ENSCGRG00000007703
cricetulus_griseus ENSCGRG00001017173
cricetulus_griseus ENSCGRG00001022152
cricetulus_griseus ENSCGRG00015012816
mus_musculus ENSMUSG00000036639
mus_spretus MGP_SPRETEiJ_G0028949
mus_spicilegus ENSMSIG00000029900
mus_caroli MGP_CAROLIEiJ_G0027945
mus_pahari MGP_PahariEiJ_G0024517
rattus_norvegicus ENSRNOG00000001260
meriones_unguiculatus ENSMUGG00000025251
nannospalax_galili ENSNGAG00000012077
jaculus_jaculus ENSJJAG00000018201
chinchilla_lanigera ENSCLAG00000011039
octodon_degus ENSODEG00000009745
cavia_porcellus ENSCPOG00000014567
cavia_aperea ENSCAPG00000002617
heterocephalus_glaber ENSHGLG00100017765
heterocephalus_glaber ENSHGLG00000006176
fukomys_damarensis ENSFDAG00000016246
castor_canadensis ENSCCNG00000018559
dipodomys_ordii ENSDORG00000003500
spermophilus_dauricus ENSSDAG00000016005
ictidomys_tridecemlineatus ENSSTOG00000015462
urocitellus_parryii ENSUPAG00010000109
marmota_marmota ENSMMMG00000008658
oryctolagus_cuniculus ENSOCUG00000009239
erinaceus_europaeus ENSEEUG00000009613
sorex_araneus ENSSARG00000005612
capra_hircus ENSCHIG00000024705
choloepus_hoffmanni ENSCHOG00000013253
procavia_capensis ENSPCAG00000007827
loxodonta_africana ENSLAFG00000006857
ornithorhynchus_anatinus ENSOANG00000001867
ornithorhynchus_anatinus ENSOANG00000009996
ornithorhynchus_anatinus ENSOANG00000002055
ornithorhynchus_anatinus ENSOANG00000007248
latimeria_chalumnae ENSLACG00000016569
astyanax_mexicanus ENSAMXG00000031431
pygocentrus_nattereri ENSPNAG00000021425
ictalurus_punctatus ENSIPUG00000018540
danio_rerio ENSDARG00000030573
tetraodon_nigroviridis ENSTNIG00000005556
takifugu_rubripes ENSTRUG00000013868
