pteropus_vampyrus ENSPVAG00000005423
myotis_lucifugus ENSMLUG00000010844
erinaceus_europaeus ENSEEUG00000004938
sorex_araneus ENSSARG00000014408
ursus_maritimus ENSUMAG00000015623
ursus_americanus ENSUAMG00000009834
ailuropoda_melanoleuca ENSAMEG00000005795
mustela_putorius ENSMPUG00000014849
panthera_tigris ENSPTIG00000019795
panthera_pardus ENSPPRG00000008979
felis_catus ENSFCAG00000032743
ovis_aries ENSOARG00000009184
capra_hircus ENSCHIG00000002408
bos_taurus ENSBTAG00000008832
tursiops_truncatus ENSTTRG00000010674
sus_scrofa ENSSSCG00000017720
equus_asinus ENSEASG00005010948
equus_caballus ENSECAG00000036873
microtus_ochrogaster ENSMOCG00000005819
peromyscus_maniculatus ENSPEMG00000022558
cricetulus_griseus ENSCGRG00015012904
mus_spretus MGP_SPRETEiJ_G0017696
mus_musculus ENSMUSG00000020702
mus_spicilegus ENSMSIG00000006904
mus_caroli MGP_CAROLIEiJ_G0016852
mus_pahari MGP_PahariEiJ_G0017989
rattus_norvegicus ENSRNOG00000021851
meriones_unguiculatus ENSMUGG00000024202
nannospalax_galili ENSNGAG00000003526
castor_canadensis ENSCCNG00000014676
urocitellus_parryii ENSUPAG00010005764
spermophilus_dauricus ENSSDAG00000021070
marmota_marmota ENSMMMG00000013542
heterocephalus_glaber ENSHGLG00000001062
heterocephalus_glaber ENSHGLG00100015512
chinchilla_lanigera ENSCLAG00000006411
octodon_degus ENSODEG00000013352
oryctolagus_cuniculus ENSOCUG00000013416
cebus_capucinus ENSCCAG00000027028
tupaia_belangeri ENSTBEG00000009370
loxodonta_africana ENSLAFG00000002372
echinops_telfairi ENSETEG00000007028
dasypus_novemcinctus ENSDNOG00000042008
sarcophilus_harrisii ENSSHAG00000013613
