oryzias_latipes_asm223469v1 ENSORLG00015000016
oryzias_latipes ENSORLG00000024008
oreochromis_niloticus ENSONIG00000009919
gasterosteus_aculeatus ENSGACG00000005150
xiphophorus_couchianus ENSXCOG00000009988
hippocampus_comes ENSHCOG00000012252
gadus_morhua ENSGMOG00000017275
astyanax_mexicanus ENSAMXG00000004045
pygocentrus_nattereri ENSPNAG00000004192
danio_rerio ENSDARG00000024561
scophthalmus_maximus ENSSMAG00000008865
cynoglossus_semilaevis ENSCSEG00000011981
mastacembelus_armatus ENSMAMG00000019888
anabas_testudineus ENSATEG00000017595
seriola_lalandi_dorsalis ENSSLDG00000023220
amphiprion_ocellaris ENSAOCG00000003475
acanthochromis_polyacanthus ENSAPOG00000001878
amphiprion_percula ENSAPEG00000015728
stegastes_partitus ENSSPAG00000010476
astatotilapia_calliptera ENSACLG00000026019
labrus_bergylta ENSLBEG00000015790
labrus_bergylta ENSLBEG00000012913
poecilia_latipinna ENSPLAG00000003868
poecilia_mexicana ENSPMEG00000020000
xiphophorus_maculatus ENSXMAG00000027289
gambusia_affinis ENSGAFG00000006530
fundulus_heteroclitus ENSFHEG00000005407
kryptolebias_marmoratus ENSKMAG00000015895
cyprinodon_variegatus ENSCVAG00000004115
takifugu_rubripes ENSTRUG00000021514
esox_lucius ENSELUG00000015896
paramormyrops_kingsleyae ENSPKIG00000006522
lepisosteus_oculatus ENSLOCG00000008634
latimeria_chalumnae ENSLACG00000014934
petromyzon_marinus ENSPMAG00000005413
apteryx_haastii ENSAHAG00000003472
apteryx_rowi ENSARWG00000003654
apteryx_owenii ENSAOWG00000009261
dromaius_novaehollandiae ENSDNVG00000003336
lepidothrix_coronata ENSLCOG00000004955
manacus_vitellinus ENSMVIG00005016641
zonotrichia_albicollis ENSZALG00000012926
junco_hyemalis ENSJHYG00000017970
serinus_canaria ENSSCAG00000000165
parus_major ENSPMJG00000015515
cyanistes_caeruleus ENSCCEG00000019087
calidris_pygmaea ENSCPGG00000015620
calidris_pugnax ENSCPUG00000013601
melopsittacus_undulatus ENSMUNG00000013705
anas_platyrhynchos_platyrhynchos ENSAPLG00000011816
anser_brachyrhynchus ENSABRG00000002047
meleagris_gallopavo ENSMGAG00000007197
coturnix_japonica ENSCJPG00005018313
gallus_gallus ENSGALG00000041124
numida_meleagris ENSNMEG00000002990
crocodylus_porosus ENSCPRG00005001895
chelonoidis_abingdonii ENSCABG00000006610
gopherus_agassizii ENSGAGG00000014661
pelodiscus_sinensis ENSPSIG00000015813
sphenodon_punctatus ENSSPUG00000017737
anolis_carolinensis ENSACAG00000014545
pogona_vitticeps ENSPVIG00000016663
notechis_scutatus ENSNSUG00000020246
salvator_merianae ENSSMRG00000001698
phascolarctos_cinereus ENSPCIG00000029012
sarcophilus_harrisii ENSSHAG00000002222
notamacropus_eugenii ENSMEUG00000013848
bos_mutus ENSBMUG00000001853
bos_taurus ENSBTAG00000007435
bison_bison_bison ENSBBBG00000005854
ovis_aries ENSOARG00000017556
capra_hircus ENSCHIG00000016755
tursiops_truncatus ENSTTRG00000014974
sus_scrofa ENSSSCG00000010576
vicugna_pacos ENSVPAG00000005767
sorex_araneus ENSSARG00000004111
erinaceus_europaeus ENSEEUG00000003212
myotis_lucifugus ENSMLUG00000001726
pteropus_vampyrus ENSPVAG00000004050
ursus_americanus ENSUAMG00000028059
ursus_maritimus ENSUMAG00000023063
ailuropoda_melanoleuca ENSAMEG00000017687
mustela_putorius_furo ENSMPUG00000016887
neovison_vison ENSNVIG00000017826
canis_lupus_familiaris ENSCAFG00000010062
canis_lupus_dingo ENSCAFG00020010146
vulpes_vulpes ENSVVUG00000002661
panthera_pardus ENSPPRG00000003072
panthera_tigris_altaica ENSPTIG00000014862
felis_catus ENSFCAG00000001239
equus_asinus_asinus ENSEASG00005007519
equus_caballus ENSECAG00000024700
heterocephalus_glaber_male ENSHGLG00100008172
heterocephalus_glaber_female ENSHGLG00000003156
fukomys_damarensis ENSFDAG00000006050
octodon_degus ENSODEG00000006304
cavia_porcellus ENSCPOG00000004504
cavia_aperea ENSCAPG00000008758
chinchilla_lanigera ENSCLAG00000001046
oryctolagus_cuniculus ENSOCUG00000021075
oryctolagus_cuniculus ENSOCUG00000000516
ochotona_princeps ENSOPRG00000009381
tupaia_belangeri ENSTBEG00000008884
carlito_syrichta ENSTSYG00000011322
macaca_mulatta ENSMMUG00000001183
macaca_fascicularis ENSMFAG00000044654
chlorocebus_sabaeus ENSCSAG00000005465
macaca_nemestrina ENSMNEG00000033199
cercocebus_atys ENSCATG00000020949
papio_anubis ENSPANG00000021014
