poecilia_latipinna ENSPLAG00000019692
poecilia_reticulata ENSPREG00000005329
poecilia_mexicana ENSPMEG00000021626
xiphophorus_maculatus ENSXMAG00000026633
fundulus_heteroclitus ENSFHEG00000013723
oryzias_latipes ENSORLG00000020776
oryzias_latipes ENSORLG00020003965
oryzias_melastigma ENSOMEG00000022149
amphiprion_ocellaris ENSAOCG00000004693
acanthochromis_polyacanthus ENSAPOG00000008204
stegastes_partitus ENSSPAG00000016494
astatotilapia_calliptera ENSACLG00000011467
maylandia_zebra ENSMZEG00005019389
haplochromis_burtoni ENSHBUG00000003794
pundamilia_nyererei ENSPNYG00000011690
neolamprologus_brichardi ENSNBRG00000014233
amphilophus_citrinellus ENSACIG00000014523
mola_mola ENSMMOG00000006068
takifugu_rubripes ENSTRUG00000025030
labrus_bergylta ENSLBEG00000013330
scophthalmus_maximus ENSSMAG00000009138
cynoglossus_semilaevis ENSCSEG00000004228
seriola_dumerili ENSSDUG00000015073
seriola_lalandi_dorsalis ENSSLDG00000017065
mastacembelus_armatus ENSMAMG00000019062
monopterus_albus ENSMALG00000000848
anabas_testudineus ENSATEG00000023378
