chrysemys_picta_bellii ENSCPBG00000009665
chelonoidis_abingdonii ENSCABG00000020267
pelodiscus_sinensis ENSPSIG00000004712
gallus_gallus ENSGALG00000031920
coturnix_japonica ENSCJPG00005015624
numida_meleagris ENSNMEG00000004697
anser_brachyrhynchus ENSABRG00000011864
calidris_pygmaea ENSCPGG00000006123
lonchura_striata_domestica ENSLSDG00000013489
taeniopygia_guttata ENSTGUG00000002129
serinus_canaria ENSSCAG00000002132
parus_major ENSPMJG00000018391
junco_hyemalis ENSJHYG00000001911
manacus_vitellinus ENSMVIG00005000132
lepidothrix_coronata ENSLCOG00000006016
melopsittacus_undulatus ENSMUNG00000009669
apteryx_haastii ENSAHAG00000004076
apteryx_owenii ENSAOWG00000012005
apteryx_rowi ENSARWG00000001216
nothoprocta_perdicaria ENSNPEG00000009780
dromaius_novaehollandiae ENSDNVG00000017748
crocodylus_porosus ENSCPRG00005017746
pogona_vitticeps ENSPVIG00000022474
notechis_scutatus ENSNSUG00000002470
salvator_merianae ENSSMRG00000008387
pan_troglodytes ENSPTRG00000017662
pan_paniscus ENSPPAG00000039358
homo_sapiens ENSG00000137273
gorilla_gorilla ENSGGOG00000013479
pongo_abelii ENSPPYG00000016166
nomascus_leucogenys ENSNLEG00000010829
macaca_nemestrina ENSMNEG00000018597
cercocebus_atys ENSCATG00000005462
theropithecus_gelada ENSTGEG00000012921
chlorocebus_sabaeus ENSCSAG00000007180
piliocolobus_tephrosceles ENSPTEG00000016552
rhinopithecus_roxellana ENSRROG00000030889
rhinopithecus_bieti ENSRBIG00000040570
macaca_mulatta ENSMMUG00000004540
macaca_fascicularis ENSMFAG00000036369
cebus_capucinus ENSCCAG00000033175
callithrix_jacchus ENSCJAG00000038579
aotus_nancymaae ENSANAG00000029212
saimiri_boliviensis_boliviensis ENSSBOG00000030093
microcebus_murinus ENSMICG00000029665
prolemur_simus ENSPSMG00000025261
propithecus_coquereli ENSPCOG00000022131
otolemur_garnettii ENSOGAG00000005954
carlito_syrichta ENSTSYG00000033449
mus_spicilegus ENSMSIG00000012814
mus_musculus ENSMUSG00000038402
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019268
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018399
mus_pahari MGP_PahariEiJ_G0019463
meriones_unguiculatus ENSMUGG00000025555
cricetulus_griseus_crigri-picr ENSCGRG00015004016
cricetulus_griseus_chok1gshd ENSCGRG00001022972
cricetulus_griseus_crigri ENSCGRG00000014437
mesocricetus_auratus ENSMAUG00000012470
peromyscus_maniculatus_bairdii ENSPEMG00000017102
microtus_ochrogaster ENSMOCG00000010276
nannospalax_galili ENSNGAG00000011181
jaculus_jaculus ENSJJAG00000017530
urocitellus_parryii ENSUPAG00010004332
ictidomys_tridecemlineatus ENSSTOG00000020735
dipodomys_ordii ENSDORG00000001552
castor_canadensis ENSCCNG00000030640
ursus_americanus ENSUAMG00000027971
ailuropoda_melanoleuca ENSAMEG00000007498
neovison_vison ENSNVIG00000011356
mustela_putorius_furo ENSMPUG00000000392
panthera_pardus ENSPPRG00000011053
felis_catus ENSFCAG00000005901
pteropus_vampyrus ENSPVAG00000013383
myotis_lucifugus ENSMLUG00000030088
equus_asinus_asinus ENSEASG00005012206
capra_hircus ENSCHIG00000020355
ovis_aries ENSOARG00000002813
bos_taurus ENSBTAG00000026896
tursiops_truncatus ENSTTRG00000005804
sus_scrofa ENSSSCG00000037195
vulpes_vulpes ENSVVUG00000026922
oryctolagus_cuniculus ENSOCUG00000013970
ochotona_princeps ENSOPRG00000010077
heterocephalus_glaber_female ENSHGLG00000007914
octodon_degus ENSODEG00000007607
chinchilla_lanigera ENSCLAG00000002746
canis_lupus_dingo ENSCAFG00020000598
canis_lupus_familiaris ENSCAFG00000009195
dasypus_novemcinctus ENSDNOG00000031153
procavia_capensis ENSPCAG00000007786
echinops_telfairi ENSETEG00000019667
loxodonta_africana ENSLAFG00000002074
phascolarctos_cinereus ENSPCIG00000011639
notamacropus_eugenii ENSMEUG00000008968
sarcophilus_harrisii ENSSHAG00000012720
monodelphis_domestica ENSMODG00000008307
