paramormyrops_kingsleyae ENSPKIG00000012598
scleropages_formosus ENSSFOG00015015887
poecilia_formosa ENSPFOG00000009109
poecilia_latipinna ENSPLAG00000010816
poecilia_mexicana ENSPMEG00000023105
gambusia_affinis ENSGAFG00000012267
xiphophorus_maculatus ENSXMAG00000019186
fundulus_heteroclitus ENSFHEG00000015354
kryptolebias_marmoratus ENSKMAG00000022039
oryzias_melastigma ENSOMEG00000016886
takifugu_rubripes ENSTRUG00000021742
tetraodon_nigroviridis ENSTNIG00000009437
seriola_lalandi_dorsalis ENSSLDG00000000985
seriola_dumerili ENSSDUG00000006496
cynoglossus_semilaevis ENSCSEG00000006187
mastacembelus_armatus ENSMAMG00000003073
monopterus_albus ENSMALG00000016282
anabas_testudineus ENSATEG00000012546
labrus_bergylta ENSLBEG00000013225
scophthalmus_maximus ENSSMAG00000021325
amphiprion_ocellaris ENSAOCG00000005913
acanthochromis_polyacanthus ENSAPOG00000003798
stegastes_partitus ENSSPAG00000017247
maylandia_zebra ENSMZEG00005000738
astatotilapia_calliptera ENSACLG00000024287
haplochromis_burtoni ENSHBUG00000001592
oreochromis_niloticus ENSONIG00000003119
hippocampus_comes ENSHCOG00000003509
esox_lucius ENSELUG00000002610
pygocentrus_nattereri ENSPNAG00000010449
astyanax_mexicanus ENSAMXG00000014679
ictalurus_punctatus ENSIPUG00000009944
lepisosteus_oculatus ENSLOCG00000010976
calidris_pygmaea ENSCPGG00000000691
calidris_pugnax ENSCPUG00000013730
melopsittacus_undulatus ENSMUNG00000010583
taeniopygia_guttata ENSTGUG00000013258
lonchura_striata_domestica ENSLSDG00000006038
serinus_canaria ENSSCAG00000014246
junco_hyemalis ENSJHYG00000005546
zonotrichia_albicollis ENSZALG00000016392
ficedula_albicollis ENSFALG00000012725
cyanistes_caeruleus ENSCCEG00000001701
cyanistes_caeruleus ENSCCEG00000020994
parus_major ENSPMJG00000012999
manacus_vitellinus ENSMVIG00005000811
lepidothrix_coronata ENSLCOG00000010451
anas_platyrhynchos_platyrhynchos ENSAPLG00000015001
anser_brachyrhynchus ENSABRG00000003478
meleagris_gallopavo ENSMGAG00000014257
gallus_gallus ENSGALG00000016692
coturnix_japonica ENSCJPG00005002511
numida_meleagris ENSNMEG00000008529
apteryx_haastii ENSAHAG00000002316
apteryx_owenii ENSAOWG00000019196
apteryx_rowi ENSARWG00000002611
dromaius_novaehollandiae ENSDNVG00000011791
nothoprocta_perdicaria ENSNPEG00000012049
crocodylus_porosus ENSCPRG00005001090
chrysemys_picta_bellii ENSCPBG00000016356
gopherus_agassizii ENSGAGG00000005746
pelodiscus_sinensis ENSPSIG00000014207
pogona_vitticeps ENSPVIG00000004497
anolis_carolinensis ENSACAG00000029549
salvator_merianae ENSSMRG00000006082
sarcophilus_harrisii ENSSHAG00000003275
phascolarctos_cinereus ENSPCIG00000012996
monodelphis_domestica ENSMODG00000025438
pteropus_vampyrus ENSPVAG00000008165
myotis_lucifugus ENSMLUG00000006046
erinaceus_europaeus ENSEEUG00000007408
ursus_americanus ENSUAMG00000020773
ursus_maritimus ENSUMAG00000004933
ailuropoda_melanoleuca ENSAMEG00000008903
neovison_vison ENSNVIG00000024164
mustela_putorius_furo ENSMPUG00000009552
canis_lupus_dingo ENSCAFG00020012888
canis_lupus_familiaris ENSCAFG00000002126
vulpes_vulpes ENSVVUG00000029327
panthera_pardus ENSPPRG00000002113
panthera_tigris_altaica ENSPTIG00000005493
panthera_pardus ENSPPRG00000003843
panthera_tigris_altaica ENSPTIG00000006249
felis_catus ENSFCAG00000022301
bos_mutus ENSBMUG00000011535
bos_taurus ENSBTAG00000020710
bison_bison_bison ENSBBBG00000019831
ovis_aries ENSOARG00000012137
capra_hircus ENSCHIG00000021694
tursiops_truncatus ENSTTRG00000003505
sus_scrofa ENSSSCG00000001731
vicugna_pacos ENSVPAG00000009956
equus_caballus ENSECAG00000011226
equus_asinus_asinus ENSEASG00005004059
peromyscus_maniculatus_bairdii ENSPEMG00000013318
microtus_ochrogaster ENSMOCG00000020003
cricetulus_griseus_crigri-picr ENSCGRG00015006660
cricetulus_griseus_chok1gshd ENSCGRG00001010699
cricetulus_griseus_crigri ENSCGRG00000006393
mesocricetus_auratus ENSMAUG00000013423
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022531
mus_musculus ENSMUSG00000023919
mus_spicilegus ENSMSIG00000014822
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021619
mus_pahari MGP_PahariEiJ_G0020611
rattus_norvegicus ENSRNOG00000056226
meriones_unguiculatus ENSMUGG00000022875
nannospalax_galili ENSNGAG00000006423
jaculus_jaculus ENSJJAG00000016270
castor_canadensis ENSCCNG00000007517
spermophilus_dauricus ENSSDAG00000005888
urocitellus_parryii ENSUPAG00010014933
ictidomys_tridecemlineatus ENSSTOG00000001426
marmota_marmota_marmota ENSMMMG00000024612
marmota_marmota_marmota ENSMMMG00000009117
marmota_marmota_marmota ENSMMMG00000022147
chinchilla_lanigera ENSCLAG00000008256
octodon_degus ENSODEG00000010568
cavia_porcellus ENSCPOG00000008301
heterocephalus_glaber_male ENSHGLG00100005552
heterocephalus_glaber_female ENSHGLG00000009099
fukomys_damarensis ENSFDAG00000018986
oryctolagus_cuniculus ENSOCUG00000021978
oryctolagus_cuniculus ENSOCUG00000006103
ochotona_princeps ENSOPRG00000014663
cebus_capucinus ENSCCAG00000001112
saimiri_boliviensis_boliviensis ENSSBOG00000007847
callithrix_jacchus ENSCJAG00000011759
aotus_nancymaae ENSANAG00000035608
aotus_nancymaae ENSANAG00000035832
pan_paniscus ENSPPAG00000038636
pan_troglodytes ENSPTRG00000018257
gorilla_gorilla ENSGGOG00000024998
homo_sapiens ENSG00000031691
pongo_abelii ENSPPYG00000016686
nomascus_leucogenys ENSNLEG00000035124
theropithecus_gelada ENSTGEG00000029709
mandrillus_leucophaeus ENSMLEG00000005086
papio_anubis ENSPANG00000009023
cercocebus_atys ENSCATG00000010208
macaca_mulatta ENSMMUG00000048193
macaca_fascicularis ENSMFAG00000045783
macaca_nemestrina ENSMNEG00000043083
chlorocebus_sabaeus ENSCSAG00000012726
rhinopithecus_roxellana ENSRROG00000030481
rhinopithecus_bieti ENSRBIG00000033511
piliocolobus_tephrosceles ENSPTEG00000009529
colobus_angolensis_palliatus ENSCANG00000043774
carlito_syrichta ENSTSYG00000014260
microcebus_murinus ENSMICG00000042405
prolemur_simus ENSPSMG00000015727
propithecus_coquereli ENSPCOG00000016015
otolemur_garnettii ENSOGAG00000028630
tupaia_belangeri ENSTBEG00000004322
sorex_araneus ENSSARG00000009506
dasypus_novemcinctus ENSDNOG00000038551
dasypus_novemcinctus ENSDNOG00000038216
choloepus_hoffmanni ENSCHOG00000000345
loxodonta_africana ENSLAFG00000003858
procavia_capensis ENSPCAG00000016223
echinops_telfairi ENSETEG00000018283
ornithorhynchus_anatinus ENSOANG00000008259
