astatotilapia_calliptera ENSACLG00000015726
maylandia_zebra ENSMZEG00005001687
haplochromis_burtoni ENSHBUG00000018498
oreochromis_niloticus ENSONIG00000006991
mola_mola ENSMMOG00000009398
danio_rerio ENSDARG00000057869
ailuropoda_melanoleuca ENSAMEG00000005939
canis_lupus_familiaris ENSCAFG00000012631
neovison_vison ENSNVIG00000023196
microcebus_murinus ENSMICG00000007742
dasypus_novemcinctus ENSDNOG00000032859
sorex_araneus ENSSARG00000006775
dasypus_novemcinctus ENSDNOG00000040696
pan_paniscus ENSPPAG00000035927
gorilla_gorilla ENSGGOG00000043054
rhinopithecus_roxellana ENSRROG00000031169
rhinopithecus_bieti ENSRBIG00000032163
rhinopithecus_roxellana ENSRROG00000045138
piliocolobus_tephrosceles ENSPTEG00000011468
cercocebus_atys ENSCATG00000032449
mandrillus_leucophaeus ENSMLEG00000033524
papio_anubis ENSPANG00000034053
macaca_fascicularis ENSMFAG00000043411
saimiri_boliviensis_boliviensis ENSSBOG00000036232
cebus_capucinus ENSCCAG00000034613
ictidomys_tridecemlineatus ENSSTOG00000031290
canis_lupus_dingo ENSCAFG00020007554
canis_lupus_familiaris ENSCAFG00000017518
vulpes_vulpes ENSVVUG00000014761
felis_catus ENSFCAG00000035981
cebus_capucinus ENSCCAG00000007624
saimiri_boliviensis_boliviensis ENSSBOG00000016740
cricetulus_griseus_chok1gshd ENSCGRG00001007353
cricetulus_griseus_crigri ENSCGRG00000000989
microcebus_murinus ENSMICG00000034203
sorex_araneus ENSSARG00000007276
heterocephalus_glaber_female ENSHGLG00000003664
heterocephalus_glaber_male ENSHGLG00100011837
fukomys_damarensis ENSFDAG00000005085
echinops_telfairi ENSETEG00000004443
loxodonta_africana ENSLAFG00000005817
monodelphis_domestica ENSMODG00000024073
peromyscus_maniculatus_bairdii ENSPEMG00000013747
neovison_vison ENSNVIG00000002798
monodelphis_domestica ENSMODG00000014223
