acanthochromis_polyacanthus ENSAPOG00000009734
amphiprion_ocellaris ENSAOCG00000007382
amphiprion_percula ENSAPEG00000021328
maylandia_zebra ENSMZEG00005024630
oryzias_latipes ENSORLG00020000181
oryzias_latipes ENSORLG00000027054
oryzias_latipes ENSORLG00015017539
oryzias_melastigma ENSOMEG00000013771
xiphophorus_maculatus ENSXMAG00000027300
gouania_willdenowi ENSGWIG00000018488
erpetoichthys_calabaricus ENSECRG00000021684
erpetoichthys_calabaricus ENSECRG00000001495
erpetoichthys_calabaricus ENSECRG00000019285
erpetoichthys_calabaricus ENSECRG00000019272
propithecus_coquereli ENSPCOG00000015292
prolemur_simus ENSPSMG00000011156
microcebus_murinus ENSMICG00000016725
otolemur_garnettii ENSOGAG00000001912
pan_troglodytes ENSPTRG00000011111
pan_paniscus ENSPPAG00000030145
homo_sapiens ENSG00000159915
gorilla_gorilla ENSGGOG00000013940
pongo_abelii ENSPPYG00000010085
macaca_mulatta ENSMMUG00000012797
macaca_fascicularis ENSMFAG00000039215
theropithecus_gelada ENSTGEG00000017012
papio_anubis ENSPANG00000010670
cercocebus_atys ENSCATG00000015076
chlorocebus_sabaeus ENSCSAG00000003326
piliocolobus_tephrosceles ENSPTEG00000031923
colobus_angolensis ENSCANG00000032081
rhinopithecus_bieti ENSRBIG00000035218
rhinopithecus_roxellana ENSRROG00000030619
ursus_maritimus ENSUMAG00000023065
ursus_americanus ENSUAMG00000013689
ailuropoda_melanoleuca ENSAMEG00000006122
pteropus_vampyrus ENSPVAG00000004388
tursiops_truncatus ENSTTRG00000011818
vicugna_pacos ENSVPAG00000007465
equus_asinus ENSEASG00005013634
equus_caballus ENSECAG00000028633
dasypus_novemcinctus ENSDNOG00000038729
choloepus_hoffmanni ENSCHOG00000010443
procavia_capensis ENSPCAG00000001173
manacus_vitellinus ENSMVIG00005016271
cricetulus_griseus ENSCGRG00015009474
cricetulus_griseus ENSCGRG00000015809
mus_spicilegus ENSMSIG00000000889
mus_musculus ENSMUSG00000068962
mus_spretus MGP_SPRETEiJ_G0030417
mus_caroli MGP_CAROLIEiJ_G0029323
meriones_unguiculatus ENSMUGG00000022996
mus_pahari MGP_PahariEiJ_G0021174
mus_spicilegus ENSMSIG00000000832
mus_spretus MGP_SPRETEiJ_G0030419
mus_musculus ENSMUSG00000074283
mus_caroli MGP_CAROLIEiJ_G0029325
mus_pahari MGP_PahariEiJ_G0021176
mustela_putorius ENSMPUG00000006481
meriones_unguiculatus ENSMUGG00000004380
meriones_unguiculatus ENSMUGG00000004371
mus_spicilegus ENSMSIG00000000907
mus_musculus ENSMUSG00000047603
mus_spretus MGP_SPRETEiJ_G0030416
mus_caroli MGP_CAROLIEiJ_G0029322
mus_pahari MGP_PahariEiJ_G0021173
mus_spicilegus ENSMSIG00000000760
mus_spretus MGP_SPRETEiJ_G0030421
mus_musculus ENSMUSG00000055305
mus_caroli MGP_CAROLIEiJ_G0029327
mus_pahari MGP_PahariEiJ_G0021178
mus_spretus MGP_SPRETEiJ_G0030420
mus_spicilegus ENSMSIG00000000782
mus_musculus ENSMUSG00000030486
mus_caroli MGP_CAROLIEiJ_G0029326
mus_pahari MGP_PahariEiJ_G0021177
peromyscus_maniculatus ENSPEMG00000018022
cricetulus_griseus ENSCGRG00000015629
ficedula_albicollis ENSFALG00000009044
parus_major ENSPMJG00000003570
serinus_canaria ENSSCAG00000003933
nothoprocta_perdicaria ENSNPEG00000015959
chrysemys_picta ENSCPBG00000010281
