dipodomys_ordii ENSDORG00000008861
castor_canadensis ENSCCNG00000028641
mus_spicilegus ENSMSIG00000009540
mus_musculus ENSMUSG00000002486
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028599
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027601
mus_pahari MGP_PahariEiJ_G0024183
rattus_norvegicus ENSRNOG00000001191
meriones_unguiculatus ENSMUGG00000026323
meriones_unguiculatus ENSMUGG00000026330
cricetulus_griseus_crigri ENSCGRG00000012674
cricetulus_griseus_crigri-picr ENSCGRG00015024371
cricetulus_griseus_chok1gshd ENSCGRG00001001048
mesocricetus_auratus ENSMAUG00000012818
microtus_ochrogaster ENSMOCG00000020137
peromyscus_maniculatus_bairdii ENSPEMG00000016405
spermophilus_dauricus ENSSDAG00000016803
theropithecus_gelada ENSTGEG00000014560
