myotis_lucifugus ENSMLUG00000017766
pteropus_vampyrus ENSPVAG00000012698
ursus_americanus ENSUAMG00000012876
ursus_maritimus ENSUMAG00000019967
ailuropoda_melanoleuca ENSAMEG00000015553
mustela_putorius_furo ENSMPUG00000015648
neovison_vison ENSNVIG00000024224
canis_lupus_dingo ENSCAFG00020017381
canis_lupus_familiaris ENSCAFG00000014590
vulpes_vulpes ENSVVUG00000014519
panthera_tigris_altaica ENSPTIG00000005628
panthera_pardus ENSPPRG00000018325
felis_catus ENSFCAG00000041001
bos_mutus ENSBMUG00000004705
bos_taurus ENSBTAG00000047412
bison_bison_bison ENSBBBG00000005979
ovis_aries ENSOARG00000014645
capra_hircus ENSCHIG00000011929
sus_scrofa ENSSSCG00000015487
vicugna_pacos ENSVPAG00000006497
vicugna_pacos ENSVPAG00000007850
erinaceus_europaeus ENSEEUG00000006255
sorex_araneus ENSSARG00000014305
equus_asinus_asinus ENSEASG00005017116
equus_caballus ENSECAG00000035592
pan_paniscus ENSPPAG00000003685
pan_troglodytes ENSPTRG00000052336
homo_sapiens ENSG00000120337
gorilla_gorilla ENSGGOG00000005850
pongo_abelii ENSPPYG00000000502
nomascus_leucogenys ENSNLEG00000015274
macaca_nemestrina ENSMNEG00000032674
macaca_mulatta ENSMMUG00000010597
macaca_fascicularis ENSMFAG00000005132
cercocebus_atys ENSCATG00000007921
mandrillus_leucophaeus ENSMLEG00000034255
papio_anubis ENSPANG00000021431
theropithecus_gelada ENSTGEG00000004350
chlorocebus_sabaeus ENSCSAG00000011711
colobus_angolensis_palliatus ENSCANG00000020089
piliocolobus_tephrosceles ENSPTEG00000014387
rhinopithecus_roxellana ENSRROG00000039945
rhinopithecus_bieti ENSRBIG00000036864
cebus_capucinus ENSCCAG00000026379
saimiri_boliviensis_boliviensis ENSSBOG00000025177
callithrix_jacchus ENSCJAG00000042588
aotus_nancymaae ENSANAG00000027224
carlito_syrichta ENSTSYG00000004816
prolemur_simus ENSPSMG00000010635
propithecus_coquereli ENSPCOG00000020840
microcebus_murinus ENSMICG00000017762
heterocephalus_glaber_male ENSHGLG00100006115
heterocephalus_glaber_female ENSHGLG00000010584
fukomys_damarensis ENSFDAG00000006736
cavia_porcellus ENSCPOG00000033073
cavia_aperea ENSCAPG00000015081
ictidomys_tridecemlineatus ENSSTOG00000010210
urocitellus_parryii ENSUPAG00010001546
spermophilus_dauricus ENSSDAG00000004243
marmota_marmota_marmota ENSMMMG00000017735
castor_canadensis ENSCCNG00000011275
jaculus_jaculus ENSJJAG00000024372
oryctolagus_cuniculus ENSOCUG00000021634
ochotona_princeps ENSOPRG00000015666
tupaia_belangeri ENSTBEG00000011440
procavia_capensis ENSPCAG00000007319
echinops_telfairi ENSETEG00000011520
dasypus_novemcinctus ENSDNOG00000033091
mus_spicilegus ENSMSIG00000020687
mus_musculus ENSMUSG00000066755
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015572
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014765
mus_pahari MGP_PahariEiJ_G0028002
rattus_norvegicus ENSRNOG00000026607
meriones_unguiculatus ENSMUGG00000018297
cricetulus_griseus_chok1gshd ENSCGRG00001013049
cricetulus_griseus_crigri ENSCGRG00000008329
cricetulus_griseus_crigri-picr ENSCGRG00015011684
mesocricetus_auratus ENSMAUG00000011424
microtus_ochrogaster ENSMOCG00000021434
peromyscus_maniculatus_bairdii ENSPEMG00000000142
ornithorhynchus_anatinus ENSOANG00000000914
