callithrix_jacchus ENSCJAG00000045760
cebus_capucinus ENSCCAG00000000779
aotus_nancymaae ENSANAG00000011220
homo_sapiens ENSG00000211776
pan_troglodytes ENSPTRG00000046090
nomascus_leucogenys ENSNLEG00000028142
macaca_mulatta ENSMMUG00000044665
macaca_nemestrina ENSMNEG00000009807
macaca_fascicularis ENSMFAG00000028804
theropithecus_gelada ENSTGEG00000016746
chlorocebus_sabaeus ENSCSAG00000016448
papio_anubis ENSPANG00000020008
mandrillus_leucophaeus ENSMLEG00000020305
rhinopithecus_bieti ENSRBIG00000029270
rhinopithecus_roxellana ENSRROG00000013627
colobus_angolensis_palliatus ENSCANG00000017980
piliocolobus_tephrosceles ENSPTEG00000022495
carlito_syrichta ENSTSYG00000034569
propithecus_coquereli ENSPCOG00000013662
equus_asinus_asinus ENSEASG00005011595
equus_caballus ENSECAG00000031650
ursus_americanus ENSUAMG00000002883
dasypus_novemcinctus ENSDNOG00000044855
