ictalurus_punctatus ENSIPUG00000000518
pygocentrus_nattereri ENSPNAG00000017092
labrus_bergylta ENSLBEG00000014645
mola_mola ENSMMOG00000009112
seriola_lalandi_dorsalis ENSSLDG00000013038
seriola_dumerili ENSSDUG00000001068
anabas_testudineus ENSATEG00000023906
hippocampus_comes ENSHCOG00000008653
amphiprion_ocellaris ENSAOCG00000022143
amphiprion_percula ENSAPEG00000022119
acanthochromis_polyacanthus ENSAPOG00000004137
stegastes_partitus ENSSPAG00000014494
pundamilia_nyererei ENSPNYG00000013562
haplochromis_burtoni ENSHBUG00000011806
maylandia_zebra ENSMZEG00005026413
neolamprologus_brichardi ENSNBRG00000007565
poecilia_reticulata ENSPREG00000001694
poecilia_mexicana ENSPMEG00000001682
xiphophorus_couchianus ENSXCOG00000014325
xiphophorus_maculatus ENSXMAG00000028035
gambusia_affinis ENSGAFG00000002620
fundulus_heteroclitus ENSFHEG00000005160
cyprinodon_variegatus ENSCVAG00000020515
kryptolebias_marmoratus ENSKMAG00000005186
oryzias_latipes_asm223469v1 ENSORLG00015006117
oryzias_melastigma ENSOMEG00000002818
takifugu_rubripes ENSTRUG00000021436
cynoglossus_semilaevis ENSCSEG00000021558
periophthalmus_magnuspinnatus ENSPMGG00000004369
lepisosteus_oculatus ENSLOCG00000005596
