scophthalmus_maximus ENSSMAG00000004350
cynoglossus_semilaevis ENSCSEG00000003060
tetraodon_nigroviridis ENSTNIG00000019145
tetraodon_nigroviridis ENSTNIG00000000331
xiphophorus_maculatus ENSXMAG00000021765
fundulus_heteroclitus ENSFHEG00000009258
cyprinodon_variegatus ENSCVAG00000016302
xiphophorus_couchianus ENSXCOG00000019035
xiphophorus_maculatus ENSXMAG00000026953
gambusia_affinis ENSGAFG00000005658
poecilia_formosa ENSPFOG00000005369
poecilia_latipinna ENSPLAG00000008968
poecilia_mexicana ENSPMEG00000001310
poecilia_reticulata ENSPREG00000017530
kryptolebias_marmoratus ENSKMAG00000016885
oryzias_latipes ENSORLG00000017683
oryzias_latipes ENSORLG00020017624
oryzias_latipes_asm223469v1 ENSORLG00015015937
oryzias_melastigma ENSOMEG00000022544
labrus_bergylta ENSLBEG00000024486
gasterosteus_aculeatus ENSGACG00000006766
mola_mola ENSMMOG00000015281
mastacembelus_armatus ENSMAMG00000021215
monopterus_albus ENSMALG00000003543
anabas_testudineus ENSATEG00000019283
seriola_lalandi_dorsalis ENSSLDG00000006174
seriola_dumerili ENSSDUG00000004632
stegastes_partitus ENSSPAG00000000890
stegastes_partitus ENSSPAG00000023542
amphiprion_ocellaris ENSAOCG00000002273
amphiprion_percula ENSAPEG00000011375
acanthochromis_polyacanthus ENSAPOG00000006957
maylandia_zebra ENSMZEG00005006131
astatotilapia_calliptera ENSACLG00000000696
haplochromis_burtoni ENSHBUG00000014244
pundamilia_nyererei ENSPNYG00000021522
neolamprologus_brichardi ENSNBRG00000009747
oreochromis_niloticus ENSONIG00000018320
amphilophus_citrinellus ENSACIG00000017461
hippocampus_comes ENSHCOG00000013444
periophthalmus_magnuspinnatus ENSPMGG00000002713
gadus_morhua ENSGMOG00000000467
esox_lucius ENSELUG00000020946
pygocentrus_nattereri ENSPNAG00000014394
astyanax_mexicanus ENSAMXG00000017945
ictalurus_punctatus ENSIPUG00000021110
danio_rerio ENSDARG00000005652
paramormyrops_kingsleyae ENSPKIG00000013823
scleropages_formosus ENSSFOG00015016486
lepisosteus_oculatus ENSLOCG00000017248
sarcophilus_harrisii ENSSHAG00000011472
monodelphis_domestica ENSMODG00000017780
phascolarctos_cinereus ENSPCIG00000021057
notamacropus_eugenii ENSMEUG00000011985
castor_canadensis ENSCCNG00000004010
dipodomys_ordii ENSDORG00000012046
meriones_unguiculatus ENSMUGG00000025641
meriones_unguiculatus ENSMUGG00000023474
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016133
mus_spicilegus ENSMSIG00000001730
mus_musculus ENSMUSG00000003746
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015323
mus_pahari MGP_PahariEiJ_G0030740
rattus_norvegicus ENSRNOG00000000800
peromyscus_maniculatus_bairdii ENSPEMG00000023840
microtus_ochrogaster ENSMOCG00000015229
cricetulus_griseus_crigri ENSCGRG00000013293
cricetulus_griseus_crigri-picr ENSCGRG00015024433
