monopterus_albus ENSMALG00000016103
mastacembelus_armatus ENSMAMG00000006524
anabas_testudineus ENSATEG00000019954
maylandia_zebra ENSMZEG00005024325
astatotilapia_calliptera ENSACLG00000008307
pundamilia_nyererei ENSPNYG00000005946
neolamprologus_brichardi ENSNBRG00000014113
haplochromis_burtoni ENSHBUG00000000205
amphilophus_citrinellus ENSACIG00000021017
stegastes_partitus ENSSPAG00000016252
mola_mola ENSMMOG00000021006
takifugu_rubripes ENSTRUG00000022189
labrus_bergylta ENSLBEG00000014350
seriola_dumerili ENSSDUG00000008894
seriola_lalandi_dorsalis ENSSLDG00000022119
amphiprion_percula ENSAPEG00000023638
amphiprion_ocellaris ENSAOCG00000010688
acanthochromis_polyacanthus ENSAPOG00000023948
cyprinodon_variegatus ENSCVAG00000003779
fundulus_heteroclitus ENSFHEG00000004056
gambusia_affinis ENSGAFG00000020917
kryptolebias_marmoratus ENSKMAG00000020213
oryzias_melastigma ENSOMEG00000020818
cynoglossus_semilaevis ENSCSEG00000016728
hippocampus_comes ENSHCOG00000013623
esox_lucius ENSELUG00000006772
esox_lucius ENSELUG00000019386
paramormyrops_kingsleyae ENSPKIG00000008947
scleropages_formosus ENSSFOG00015010883
scleropages_formosus ENSSFOG00015013094
paramormyrops_kingsleyae ENSPKIG00000002935
