ursus_americanus ENSUAMG00000027251
ursus_maritimus ENSUMAG00000025226
ailuropoda_melanoleuca ENSAMEG00000014276
mustela_putorius_furo ENSMPUG00000004798
neovison_vison ENSNVIG00000014489
canis_lupus_dingo ENSCAFG00020005795
canis_lupus_familiaris ENSCAFG00000011790
vulpes_vulpes ENSVVUG00000022486
panthera_tigris_altaica ENSPTIG00000014260
panthera_pardus ENSPPRG00000014081
felis_catus ENSFCAG00000008717
sorex_araneus ENSSARG00000006779
equus_caballus ENSECAG00000024712
equus_asinus_asinus ENSEASG00005015466
pteropus_vampyrus ENSPVAG00000012702
myotis_lucifugus ENSMLUG00000009054
capra_hircus ENSCHIG00000026972
ovis_aries ENSOARG00000020119
bos_mutus ENSBMUG00000014466
bos_taurus ENSBTAG00000003865
bison_bison_bison ENSBBBG00000002235
tursiops_truncatus ENSTTRG00000001409
sus_scrofa ENSSSCG00000011878
vicugna_pacos ENSVPAG00000002145
dasypus_novemcinctus ENSDNOG00000015243
choloepus_hoffmanni ENSCHOG00000013449
castor_canadensis ENSCCNG00000004093
castor_canadensis ENSCCNG00000022656
dipodomys_ordii ENSDORG00000003162
mus_musculus ENSMUSG00000051980
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021616
mus_spicilegus ENSMSIG00000016850
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020716
mus_pahari MGP_PahariEiJ_G0016417
rattus_norvegicus ENSRNOG00000002265
meriones_unguiculatus ENSMUGG00000005832
cricetulus_griseus_crigri ENSCGRG00000012634
cricetulus_griseus_chok1gshd ENSCGRG00001016487
cricetulus_griseus_crigri-picr ENSCGRG00015018282
mesocricetus_auratus ENSMAUG00000007398
peromyscus_maniculatus_bairdii ENSPEMG00000008816
microtus_ochrogaster ENSMOCG00000010550
nannospalax_galili ENSNGAG00000015593
jaculus_jaculus ENSJJAG00000009683
chinchilla_lanigera ENSCLAG00000014611
octodon_degus ENSODEG00000009812
cavia_aperea ENSCAPG00000014739
cavia_porcellus ENSCPOG00000013000
heterocephalus_glaber_female ENSHGLG00000001536
heterocephalus_glaber_male ENSHGLG00100002662
fukomys_damarensis ENSFDAG00000018271
urocitellus_parryii ENSUPAG00010020494
ictidomys_tridecemlineatus ENSSTOG00000004400
spermophilus_dauricus ENSSDAG00000006757
marmota_marmota_marmota ENSMMMG00000013617
oryctolagus_cuniculus ENSOCUG00000005085
ochotona_princeps ENSOPRG00000000288
pan_paniscus ENSPPAG00000036287
pan_troglodytes ENSPTRG00000015289
homo_sapiens ENSG00000036828
gorilla_gorilla ENSGGOG00000002159
pongo_abelii ENSPPYG00000013489
nomascus_leucogenys ENSNLEG00000000284
theropithecus_gelada ENSTGEG00000007202
papio_anubis ENSPANG00000019728
mandrillus_leucophaeus ENSMLEG00000028566
cercocebus_atys ENSCATG00000037595
macaca_fascicularis ENSMFAG00000039832
macaca_mulatta ENSMMUG00000007886
macaca_nemestrina ENSMNEG00000035840
chlorocebus_sabaeus ENSCSAG00000007371
colobus_angolensis_palliatus ENSCANG00000043812
piliocolobus_tephrosceles ENSPTEG00000017690
