dromaius_novaehollandiae ENSDNVG00000009878
apteryx_rowi ENSARWG00000003403
nothoprocta_perdicaria ENSNPEG00000005051
meleagris_gallopavo ENSMGAG00000003277
coturnix_japonica ENSCJPG00005011227
numida_meleagris ENSNMEG00000009906
anser_brachyrhynchus ENSABRG00000007172
anas_platyrhynchos_platyrhynchos ENSAPLG00000002326
calidris_pugnax ENSCPUG00000012642
crocodylus_porosus ENSCPRG00005001824
gopherus_agassizii ENSGAGG00000001964
chelonoidis_abingdonii ENSCABG00000022064
chrysemys_picta_bellii ENSCPBG00000022203
pelodiscus_sinensis ENSPSIG00000002409
anolis_carolinensis ENSACAG00000011625
pogona_vitticeps ENSPVIG00000022463
notechis_scutatus ENSNSUG00000001568
salvator_merianae ENSSMRG00000009175
sphenodon_punctatus ENSSPUG00000018853
pteropus_vampyrus ENSPVAG00000001007
ochotona_princeps ENSOPRG00000016301
dasypus_novemcinctus ENSDNOG00000034694
urocitellus_parryii ENSUPAG00010016013
spermophilus_dauricus ENSSDAG00000004006
cavia_porcellus ENSCPOG00000026364
cavia_aperea ENSCAPG00000011692
chinchilla_lanigera ENSCLAG00000008793
octodon_degus ENSODEG00000010677
heterocephalus_glaber_male ENSHGLG00100008423
heterocephalus_glaber_female ENSHGLG00000004156
castor_canadensis ENSCCNG00000011373
dipodomys_ordii ENSDORG00000014808
mus_musculus ENSMUSG00000029074
mus_spicilegus ENSMSIG00000015817
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027914
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026919
mus_pahari MGP_PahariEiJ_G0029268
rattus_norvegicus ENSRNOG00000020132
meriones_unguiculatus ENSMUGG00000004015
peromyscus_maniculatus_bairdii ENSPEMG00000017651
microtus_ochrogaster ENSMOCG00000011403
cricetulus_griseus_crigri ENSCGRG00000014661
cricetulus_griseus_chok1gshd ENSCGRG00001015535
cricetulus_griseus_crigri-picr ENSCGRG00015015393
mesocricetus_auratus ENSMAUG00000011977
nannospalax_galili ENSNGAG00000021396
jaculus_jaculus ENSJJAG00000020850
tupaia_belangeri ENSTBEG00000014466
otolemur_garnettii ENSOGAG00000025539
canis_lupus_dingo ENSCAFG00020011620
canis_lupus_familiaris ENSCAFG00000019331
vulpes_vulpes ENSVVUG00000004058
ailuropoda_melanoleuca ENSAMEG00000013574
ursus_americanus ENSUAMG00000017873
neovison_vison ENSNVIG00000007257
mustela_putorius_furo ENSMPUG00000014027
panthera_pardus ENSPPRG00000007404
panthera_tigris_altaica ENSPTIG00000008943
felis_catus ENSFCAG00000003365
bos_mutus ENSBMUG00000024612
marmota_marmota_marmota ENSMMMG00000020987
loxodonta_africana ENSLAFG00000021523
procavia_capensis ENSPCAG00000012881
erinaceus_europaeus ENSEEUG00000002114
bos_taurus ENSBTAG00000018028
bison_bison_bison ENSBBBG00000004038
capra_hircus ENSCHIG00000014583
ovis_aries ENSOARG00000006383
tursiops_truncatus ENSTTRG00000017008
sus_scrofa ENSSSCG00000003336
equus_caballus ENSECAG00000021628
equus_asinus_asinus ENSEASG00005015029
propithecus_coquereli ENSPCOG00000026951
microcebus_murinus ENSMICG00000011270
prolemur_simus ENSPSMG00000012536
pan_paniscus ENSPPAG00000035260
pan_troglodytes ENSPTRG00000000008
gorilla_gorilla ENSGGOG00000009551
homo_sapiens ENSG00000162571
pongo_abelii ENSPPYG00000002022
nomascus_leucogenys ENSNLEG00000000029
macaca_nemestrina ENSMNEG00000032030
macaca_mulatta ENSMMUG00000045769
macaca_fascicularis ENSMFAG00000003014
theropithecus_gelada ENSTGEG00000010782
papio_anubis ENSPANG00000012551
cercocebus_atys ENSCATG00000042489
mandrillus_leucophaeus ENSMLEG00000034578
chlorocebus_sabaeus ENSCSAG00000000672
colobus_angolensis_palliatus ENSCANG00000033303
rhinopithecus_roxellana ENSRROG00000001573
piliocolobus_tephrosceles ENSPTEG00000014637
cebus_capucinus ENSCCAG00000027677
saimiri_boliviensis_boliviensis ENSSBOG00000026356
aotus_nancymaae ENSANAG00000019948
carlito_syrichta ENSTSYG00000035672
notamacropus_eugenii ENSMEUG00000008634
phascolarctos_cinereus ENSPCIG00000010563
sarcophilus_harrisii ENSSHAG00000006394
monodelphis_domestica ENSMODG00000016438
latimeria_chalumnae ENSLACG00000018573
xiphophorus_maculatus ENSXMAG00000012468
xiphophorus_couchianus ENSXCOG00000002282
gambusia_affinis ENSGAFG00000015961
poecilia_mexicana ENSPMEG00000010955
poecilia_formosa ENSPFOG00000023253
poecilia_latipinna ENSPLAG00000021641
poecilia_reticulata ENSPREG00000010137
fundulus_heteroclitus ENSFHEG00000012746
cyprinodon_variegatus ENSCVAG00000001814
kryptolebias_marmoratus ENSKMAG00000004356
