ovis_aries ENSOARG00000011862
bos_taurus ENSBTAG00000033377
sus_scrofa ENSSSCG00000033649
equus_caballus ENSECAG00000031647
equus_asinus ENSEASG00005001803
ursus_americanus ENSUAMG00000014769
ursus_americanus ENSUAMG00000000108
ursus_maritimus ENSUMAG00000001785
ailuropoda_melanoleuca ENSAMEG00000000151
neovison_vison ENSNVIG00000020064
mustela_putorius ENSMPUG00000006549
canis_lupus ENSCAFG00020010661
vulpes_vulpes ENSVVUG00000020163
panthera_pardus ENSPPRG00000005781
panthera_tigris ENSPTIG00000007358
ursus_americanus ENSUAMG00000010749
ursus_maritimus ENSUMAG00000001747
ailuropoda_melanoleuca ENSAMEG00000000153
neovison_vison ENSNVIG00000020087
vulpes_vulpes ENSVVUG00000020173
canis_lupus ENSCAFG00020010669
myotis_lucifugus ENSMLUG00000022927
cricetulus_griseus ENSCGRG00000003800
cricetulus_griseus ENSCGRG00015008628
cricetulus_griseus ENSCGRG00001020068
mesocricetus_auratus ENSMAUG00000014338
microtus_ochrogaster ENSMOCG00000017438
peromyscus_maniculatus ENSPEMG00000014238
mus_spicilegus ENSMSIG00000008418
mus_spicilegus ENSMSIG00000008934
mus_musculus ENSMUSG00000078934
rattus_norvegicus ENSRNOG00000030188
meriones_unguiculatus ENSMUGG00000010970
nannospalax_galili ENSNGAG00000018626
chinchilla_lanigera ENSCLAG00000013836
cavia_aperea ENSCAPG00000005237
fukomys_damarensis ENSFDAG00000000949
ictidomys_tridecemlineatus ENSSTOG00000026387
spermophilus_dauricus ENSSDAG00000004388
prolemur_simus ENSPSMG00000003724
otolemur_garnettii ENSOGAG00000029669
colobus_angolensis ENSCANG00000023413
piliocolobus_tephrosceles ENSPTEG00000003616
rhinopithecus_bieti ENSRBIG00000044350
rhinopithecus_roxellana ENSRROG00000034353
papio_anubis ENSPANG00000035766
cercocebus_atys ENSCATG00000040866
macaca_fascicularis ENSMFAG00000038824
macaca_mulatta ENSMMUG00000014120
mandrillus_leucophaeus ENSMLEG00000032059
theropithecus_gelada ENSTGEG00000028112
nomascus_leucogenys ENSNLEG00000033582
loxodonta_africana ENSLAFG00000030114
