denticeps_clupeoides ENSDCDG00000034934
clupea_harengus ENSCHAG00000007074
astyanax_mexicanus ENSAMXG00005012776
astyanax_mexicanus ENSAMXG00000041754
pygocentrus_nattereri ENSPNAG00000009651
ictalurus_punctatus ENSIPUG00000021737
electrophorus_electricus ENSEEEG00000020574
danio_rerio ENSDARG00000016088
cynoglossus_semilaevis ENSCSEG00000008206
gouania_willdenowi ENSGWIG00000013457
hippocampus_comes ENSHCOG00000006977
monopterus_albus ENSMALG00000004869
betta_splendens ENSBSLG00000007224
cottoperca_gobio ENSCGOG00000008701
gasterosteus_aculeatus ENSGACG00000009589
larimichthys_crocea ENSLCRG00005002680
labrus_bergylta ENSLBEG00000026400
seriola_dumerili ENSSDUG00000005515
seriola_lalandi ENSSLDG00000022267
lates_calcarifer ENSLCAG00010019017
amphiprion_percula ENSAPEG00000011030
amphiprion_ocellaris ENSAOCG00000011904
acanthochromis_polyacanthus ENSAPOG00000017202
stegastes_partitus ENSSPAG00000015802
cyprinodon_variegatus ENSCVAG00000020443
fundulus_heteroclitus ENSFHEG00000016486
gambusia_affinis ENSGAFG00000012074
xiphophorus_maculatus ENSXMAG00000022638
poecilia_mexicana ENSPMEG00000013812
poecilia_formosa ENSPFOG00000009216
poecilia_latipinna ENSPLAG00000004612
poecilia_reticulata ENSPREG00000022893
maylandia_zebra ENSMZEG00005016385
pundamilia_nyererei ENSPNYG00000018916
astatotilapia_calliptera ENSACLG00000017475
haplochromis_burtoni ENSHBUG00000019300
neolamprologus_brichardi ENSNBRG00000005652
oreochromis_niloticus ENSONIG00000005982
amphilophus_citrinellus ENSACIG00000019660
anabas_testudineus ENSATEG00000012893
mastacembelus_armatus ENSMAMG00000011037
periophthalmus_magnuspinnatus ENSPMGG00000008144
kryptolebias_marmoratus ENSKMAG00000021396
takifugu_rubripes ENSTRUG00000011895
tetraodon_nigroviridis ENSTNIG00000000564
mola_mola ENSMMOG00000012337
oryzias_latipes ENSORLG00020000045
oryzias_latipes ENSORLG00015004812
oryzias_latipes ENSORLG00000027944
oryzias_melastigma ENSOMEG00000000735
parambassis_ranga ENSPRNG00000006870
scophthalmus_maximus ENSSMAG00000014108
gadus_morhua ENSGMOG00000019122
hucho_hucho ENSHHUG00000041595
hucho_hucho ENSHHUG00000004319
esox_lucius ENSELUG00000013859
scleropages_formosus ENSSFOG00015007054
paramormyrops_kingsleyae ENSPKIG00000010174
