periophthalmus_magnuspinnatus ENSPMGG00000010712
hippocampus_comes ENSHCOG00000005809
labrus_bergylta ENSLBEG00000014769
mola_mola ENSMMOG00000001664
monopterus_albus ENSMALG00000017861
mastacembelus_armatus ENSMAMG00000009206
anabas_testudineus ENSATEG00000019930
seriola_lalandi_dorsalis ENSSLDG00000002393
seriola_dumerili ENSSDUG00000013363
scophthalmus_maximus ENSSMAG00000020635
amphiprion_percula ENSAPEG00000011064
amphiprion_ocellaris ENSAOCG00000006630
acanthochromis_polyacanthus ENSAPOG00000016799
stegastes_partitus ENSSPAG00000019938
kryptolebias_marmoratus ENSKMAG00000011356
astatotilapia_calliptera ENSACLG00000001579
maylandia_zebra ENSMZEG00005012504
haplochromis_burtoni ENSHBUG00000001008
pundamilia_nyererei ENSPNYG00000017537
neolamprologus_brichardi ENSNBRG00000018471
oreochromis_niloticus ENSONIG00000008819
amphilophus_citrinellus ENSACIG00000011953
takifugu_rubripes ENSTRUG00000018527
tetraodon_nigroviridis ENSTNIG00000018103
gasterosteus_aculeatus ENSGACG00000006949
cynoglossus_semilaevis ENSCSEG00000017946
fundulus_heteroclitus ENSFHEG00000001397
cyprinodon_variegatus ENSCVAG00000002607
poecilia_formosa ENSPFOG00000008536
poecilia_mexicana ENSPMEG00000015617
poecilia_latipinna ENSPLAG00000011367
poecilia_reticulata ENSPREG00000020648
xiphophorus_couchianus ENSXCOG00000008259
xiphophorus_maculatus ENSXMAG00000002173
gambusia_affinis ENSGAFG00000008678
oryzias_latipes ENSORLG00020010622
oryzias_latipes ENSORLG00000010304
oryzias_latipes_asm223469v1 ENSORLG00015006701
oryzias_melastigma ENSOMEG00000008114
gadus_morhua ENSGMOG00000018277
esox_lucius ENSELUG00000022175
danio_rerio ENSDARG00000020279
scleropages_formosus ENSSFOG00015001069
paramormyrops_kingsleyae ENSPKIG00000013694
apteryx_haastii ENSAHAG00000004201
apteryx_owenii ENSAOWG00000012490
apteryx_rowi ENSARWG00000014287
dromaius_novaehollandiae ENSDNVG00000009559
nothoprocta_perdicaria ENSNPEG00000000568
anser_brachyrhynchus ENSABRG00000018592
anas_platyrhynchos_platyrhynchos ENSAPLG00000014663
gallus_gallus ENSGALG00000010998
meleagris_gallopavo ENSMGAG00000011762
coturnix_japonica ENSCJPG00005014490
numida_meleagris ENSNMEG00000009567
taeniopygia_guttata ENSTGUG00000009906
taeniopygia_guttata ENSTGUG00000016847
lonchura_striata_domestica ENSLSDG00000016865
serinus_canaria ENSSCAG00000006806
junco_hyemalis ENSJHYG00000003308
zonotrichia_albicollis ENSZALG00000011568
ficedula_albicollis ENSFALG00000012572
cyanistes_caeruleus ENSCCEG00000008265
parus_major ENSPMJG00000012335
lepidothrix_coronata ENSLCOG00000003548
manacus_vitellinus ENSMVIG00005008165
taeniopygia_guttata ENSTGUG00000016873
melopsittacus_undulatus ENSMUNG00000012247
calidris_pygmaea ENSCPGG00000016014
calidris_pugnax ENSCPUG00000011221
crocodylus_porosus ENSCPRG00005011001
gopherus_agassizii ENSGAGG00000000609
chelonoidis_abingdonii ENSCABG00000023116
chrysemys_picta_bellii ENSCPBG00000014221
pelodiscus_sinensis ENSPSIG00000010482
anolis_carolinensis ENSACAG00000008144
pogona_vitticeps ENSPVIG00000019186
salvator_merianae ENSSMRG00000018276
sphenodon_punctatus ENSSPUG00000016231
dipodomys_ordii ENSDORG00000013731
castor_canadensis ENSCCNG00000002970
cricetulus_griseus_chok1gshd ENSCGRG00001013291
cricetulus_griseus_crigri ENSCGRG00000013120
mesocricetus_auratus ENSMAUG00000012770
microtus_ochrogaster ENSMOCG00000005332
peromyscus_maniculatus_bairdii ENSPEMG00000018535
mus_musculus ENSMUSG00000073791
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027165
mus_spicilegus ENSMSIG00000026059
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026196
mus_pahari MGP_PahariEiJ_G0028533
rattus_norvegicus ENSRNOG00000009782
nannospalax_galili ENSNGAG00000004878
jaculus_jaculus ENSJJAG00000011831
urocitellus_parryii ENSUPAG00010016164
spermophilus_dauricus ENSSDAG00000021609
ictidomys_tridecemlineatus ENSSTOG00000013534
marmota_marmota_marmota ENSMMMG00000013790
heterocephalus_glaber_male ENSHGLG00100006934
heterocephalus_glaber_female ENSHGLG00000017587
fukomys_damarensis ENSFDAG00000012713
chinchilla_lanigera ENSCLAG00000009320
octodon_degus ENSODEG00000005465
cavia_porcellus ENSCPOG00000015458
cavia_aperea ENSCAPG00000008891
ochotona_princeps ENSOPRG00000013102
pan_troglodytes ENSPTRG00000030579
pan_paniscus ENSPPAG00000043777
homo_sapiens ENSG00000203965
gorilla_gorilla ENSGGOG00000012467
pongo_abelii ENSPPYG00000001275
nomascus_leucogenys ENSNLEG00000015076
macaca_fascicularis ENSMFAG00000039892
macaca_mulatta ENSMMUG00000020048
macaca_nemestrina ENSMNEG00000042983
theropithecus_gelada ENSTGEG00000011484
cercocebus_atys ENSCATG00000034513
mandrillus_leucophaeus ENSMLEG00000041472
papio_anubis ENSPANG00000015480
chlorocebus_sabaeus ENSCSAG00000001345
piliocolobus_tephrosceles ENSPTEG00000017596
colobus_angolensis_palliatus ENSCANG00000007767
rhinopithecus_bieti ENSRBIG00000029286
rhinopithecus_roxellana ENSRROG00000040009
cebus_capucinus ENSCCAG00000030206
callithrix_jacchus ENSCJAG00000016565
saimiri_boliviensis_boliviensis ENSSBOG00000024450
aotus_nancymaae ENSANAG00000026634
carlito_syrichta ENSTSYG00000012077
propithecus_coquereli ENSPCOG00000022247
prolemur_simus ENSPSMG00000006885
microcebus_murinus ENSMICG00000013626
otolemur_garnettii ENSOGAG00000005254
tupaia_belangeri ENSTBEG00000000201
myotis_lucifugus ENSMLUG00000011542
pteropus_vampyrus ENSPVAG00000006978
ursus_maritimus ENSUMAG00000008804
ursus_americanus ENSUAMG00000016422
ailuropoda_melanoleuca ENSAMEG00000015027
neovison_vison ENSNVIG00000010114
mustela_putorius_furo ENSMPUG00000008091
canis_lupus_familiaris ENSCAFG00000018702
canis_lupus_dingo ENSCAFG00020017957
vulpes_vulpes ENSVVUG00000016297
panthera_pardus ENSPPRG00000012738
panthera_tigris_altaica ENSPTIG00000020117
felis_catus ENSFCAG00000024580
capra_hircus ENSCHIG00000020023
ovis_aries ENSOARG00000009743
bos_mutus ENSBMUG00000021012
bos_taurus ENSBTAG00000002600
bison_bison_bison ENSBBBG00000021157
tursiops_truncatus ENSTTRG00000007481
sus_scrofa ENSSSCG00000003814
vicugna_pacos ENSVPAG00000008456
equus_caballus ENSECAG00000028115
equus_asinus_asinus ENSEASG00005008181
erinaceus_europaeus ENSEEUG00000008795
sorex_araneus ENSSARG00000004432
loxodonta_africana ENSLAFG00000004814
procavia_capensis ENSPCAG00000003645
echinops_telfairi ENSETEG00000003240
choloepus_hoffmanni ENSCHOG00000006752
dasypus_novemcinctus ENSDNOG00000002814
notamacropus_eugenii ENSMEUG00000009262
phascolarctos_cinereus ENSPCIG00000007250
sarcophilus_harrisii ENSSHAG00000017313
monodelphis_domestica ENSMODG00000001374
ornithorhynchus_anatinus ENSOANG00000008334
ornithorhynchus_anatinus ENSOANG00000030634
latimeria_chalumnae ENSLACG00000014919
petromyzon_marinus ENSPMAG00000009001
ciona_savignyi ENSCSAVG00000005098
ciona_intestinalis ENSCING00000001504
