sphenodon_punctatus ENSSPUG00000013084
crocodylus_porosus ENSCPRG00005018914
ursus_americanus ENSUAMG00000000531
ursus_maritimus ENSUMAG00000019612
ailuropoda_melanoleuca ENSAMEG00000002998
mustela_putorius_furo ENSMPUG00000016535
neovison_vison ENSNVIG00000022355
canis_lupus_dingo ENSCAFG00020027076
canis_lupus_familiaris ENSCAFG00000014686
vulpes_vulpes ENSVVUG00000004095
panthera_pardus ENSPPRG00000000854
panthera_tigris_altaica ENSPTIG00000007734
felis_catus ENSFCAG00000002379
equus_asinus_asinus ENSEASG00005012350
equus_caballus ENSECAG00000010006
ovis_aries ENSOARG00000019575
capra_hircus ENSCHIG00000016310
bos_mutus ENSBMUG00000025916
bos_taurus ENSBTAG00000018543
bison_bison_bison ENSBBBG00000009616
tursiops_truncatus ENSTTRG00000010749
sus_scrofa ENSSSCG00000016196
vicugna_pacos ENSVPAG00000012266
pteropus_vampyrus ENSPVAG00000017149
homo_sapiens ENSG00000127831
gorilla_gorilla ENSGGOG00000014322
pan_paniscus ENSPPAG00000005529
pan_troglodytes ENSPTRG00000012919
pongo_abelii ENSPPYG00000013174
nomascus_leucogenys ENSNLEG00000008619
mandrillus_leucophaeus ENSMLEG00000044064
theropithecus_gelada ENSTGEG00000010637
macaca_nemestrina ENSMNEG00000034956
macaca_fascicularis ENSMFAG00000043203
cercocebus_atys ENSCATG00000036175
papio_anubis ENSPANG00000005751
macaca_mulatta ENSMMUG00000016899
chlorocebus_sabaeus ENSCSAG00000008837
colobus_angolensis_palliatus ENSCANG00000023799
piliocolobus_tephrosceles ENSPTEG00000038794
rhinopithecus_roxellana ENSRROG00000041887
rhinopithecus_bieti ENSRBIG00000044160
saimiri_boliviensis_boliviensis ENSSBOG00000031003
cebus_capucinus ENSCCAG00000026608
callithrix_jacchus ENSCJAG00000010950
aotus_nancymaae ENSANAG00000020565
carlito_syrichta ENSTSYG00000026232
prolemur_simus ENSPSMG00000024810
microcebus_murinus ENSMICG00000005119
propithecus_coquereli ENSPCOG00000002346
otolemur_garnettii ENSOGAG00000004160
tupaia_belangeri ENSTBEG00000017096
castor_canadensis ENSCCNG00000001673
dipodomys_ordii ENSDORG00000014838
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015069
mus_musculus ENSMUSG00000026175
mus_spicilegus ENSMSIG00000019586
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014263
mus_pahari MGP_PahariEiJ_G0027501
rattus_norvegicus ENSRNOG00000015408
meriones_unguiculatus ENSMUGG00000002935
peromyscus_maniculatus_bairdii ENSPEMG00000012484
microtus_ochrogaster ENSMOCG00000018545
cricetulus_griseus_chok1gshd ENSCGRG00001022375
cricetulus_griseus_crigri-picr ENSCGRG00015002891
cricetulus_griseus_crigri ENSCGRG00000016768
mesocricetus_auratus ENSMAUG00000001066
nannospalax_galili ENSNGAG00000007441
jaculus_jaculus ENSJJAG00000017015
heterocephalus_glaber_female ENSHGLG00000013203
heterocephalus_glaber_male ENSHGLG00100008946
fukomys_damarensis ENSFDAG00000009788
chinchilla_lanigera ENSCLAG00000008436
octodon_degus ENSODEG00000009742
cavia_porcellus ENSCPOG00000022642
cavia_aperea ENSCAPG00000010968
ictidomys_tridecemlineatus ENSSTOG00000026327
spermophilus_dauricus ENSSDAG00000020592
urocitellus_parryii ENSUPAG00010012061
marmota_marmota_marmota ENSMMMG00000019546
ochotona_princeps ENSOPRG00000005918
oryctolagus_cuniculus ENSOCUG00000027685
erinaceus_europaeus ENSEEUG00000003996
sorex_araneus ENSSARG00000006786
dasypus_novemcinctus ENSDNOG00000012053
loxodonta_africana ENSLAFG00000026446
procavia_capensis ENSPCAG00000008884
notamacropus_eugenii ENSMEUG00000011042
phascolarctos_cinereus ENSPCIG00000016393
sarcophilus_harrisii ENSSHAG00000016062
monodelphis_domestica ENSMODG00000015428
eptatretus_burgeri ENSEBUG00000015190
gallus_gallus ENSGALG00000037286
coturnix_japonica ENSCJPG00005013096
meleagris_gallopavo ENSMGAG00000011483
numida_meleagris ENSNMEG00000022903
anser_brachyrhynchus ENSABRG00000022126
melopsittacus_undulatus ENSMUNG00000012994
anas_platyrhynchos_platyrhynchos ENSAPLG00000025266
parus_major ENSPMJG00000019744
cyanistes_caeruleus ENSCCEG00000024480
ficedula_albicollis ENSFALG00000004061
lonchura_striata_domestica ENSLSDG00000013183
taeniopygia_guttata ENSTGUG00000005367
serinus_canaria ENSSCAG00000013018
zonotrichia_albicollis ENSZALG00000015285
junco_hyemalis ENSJHYG00000012168
lepidothrix_coronata ENSLCOG00000006096
manacus_vitellinus ENSMVIG00005011208
calidris_pygmaea ENSCPGG00000013261
calidris_pugnax ENSCPUG00000000726
apteryx_haastii ENSAHAG00000009882
apteryx_owenii ENSAOWG00000012584
apteryx_rowi ENSARWG00000016467
dromaius_novaehollandiae ENSDNVG00000018720
nothoprocta_perdicaria ENSNPEG00000008176
anolis_carolinensis ENSACAG00000002214
anolis_carolinensis ENSACAG00000002087
pogona_vitticeps ENSPVIG00000021410
notechis_scutatus ENSNSUG00000012097
salvator_merianae ENSSMRG00000011298
gopherus_agassizii ENSGAGG00000006761
chelonoidis_abingdonii ENSCABG00000009440
chrysemys_picta_bellii ENSCPBG00000013251
astyanax_mexicanus ENSAMXG00000006174
pygocentrus_nattereri ENSPNAG00000013471
ictalurus_punctatus ENSIPUG00000008763
danio_rerio ENSDARG00000040466
esox_lucius ENSELUG00000013040
scleropages_formosus ENSSFOG00015016742
paramormyrops_kingsleyae ENSPKIG00000014665
lepisosteus_oculatus ENSLOCG00000008995
latimeria_chalumnae ENSLACG00000001107
eptatretus_burgeri ENSEBUG00000007871
eptatretus_burgeri ENSEBUG00000002620
xenopus_tropicalis ENSXETG00000014965
