amphilophus_citrinellus ENSACIG00000023549
fundulus_heteroclitus ENSFHEG00000014249
anabas_testudineus ENSATEG00000014878
anabas_testudineus ENSATEG00000004750
anabas_testudineus ENSATEG00000022320
anabas_testudineus ENSATEG00000016341
anabas_testudineus ENSATEG00000004970
anabas_testudineus ENSATEG00000020892
anabas_testudineus ENSATEG00000020898
anabas_testudineus ENSATEG00000005063
anabas_testudineus ENSATEG00000004796
anabas_testudineus ENSATEG00000016283
anabas_testudineus ENSATEG00000016352
anabas_testudineus ENSATEG00000007625
mastacembelus_armatus ENSMAMG00000010566
mastacembelus_armatus ENSMAMG00000010493
mastacembelus_armatus ENSMAMG00000010513
anabas_testudineus ENSATEG00000004671
seriola_dumerili ENSSDUG00000017672
seriola_lalandi_dorsalis ENSSLDG00000006048
seriola_dumerili ENSSDUG00000017478
