homo_sapiens ENSG00000184895
pan_troglodytes ENSPTRG00000022469
chlorocebus_sabaeus ENSCSAG00000019528
macaca_mulatta ENSMMUG00000041853
prolemur_simus ENSPSMG00000007749
urocitellus_parryii ENSUPAG00010003147
marmota_marmota_marmota ENSMMMG00000003577
mus_musculus ENSMUSG00000069036
rattus_norvegicus ENSRNOG00000062090
fukomys_damarensis ENSFDAG00000005411
ursus_americanus ENSUAMG00000001475
ursus_americanus ENSUAMG00000001500
ursus_maritimus ENSUMAG00000024805
vulpes_vulpes ENSVVUG00000012441
panthera_tigris_altaica ENSPTIG00000008138
equus_asinus_asinus ENSEASG00005014273
bison_bison_bison ENSBBBG00000022990
capra_hircus ENSCHIG00000018898
sus_scrofa ENSSSCG00000037443
sus_scrofa ENSSSCG00000037088
