phascolarctos_cinereus ENSPCIG00000028748
sarcophilus_harrisii ENSSHAG00000001684
monodelphis_domestica ENSMODG00000005200
castor_canadensis ENSCCNG00000005123
dipodomys_ordii ENSDORG00000008166
cricetulus_griseus_crigri ENSCGRG00000019768
cricetulus_griseus_crigri-picr ENSCGRG00015003258
cricetulus_griseus_chok1gshd ENSCGRG00001015473
mesocricetus_auratus ENSMAUG00000019685
microtus_ochrogaster ENSMOCG00000003092
peromyscus_maniculatus_bairdii ENSPEMG00000006492
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020121
mus_musculus ENSMUSG00000068392
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019230
mus_pahari MGP_PahariEiJ_G0030251
rattus_norvegicus ENSRNOG00000039500
meriones_unguiculatus ENSMUGG00000017856
nannospalax_galili ENSNGAG00000016564
cavia_aperea ENSCAPG00000002872
cavia_porcellus ENSCPOG00000019970
chinchilla_lanigera ENSCLAG00000001669
heterocephalus_glaber_male ENSHGLG00100019656
heterocephalus_glaber_female ENSHGLG00000020365
fukomys_damarensis ENSFDAG00000002192
urocitellus_parryii ENSUPAG00010002141
ictidomys_tridecemlineatus ENSSTOG00000003861
spermophilus_dauricus ENSSDAG00000003148
marmota_marmota_marmota ENSMMMG00000014964
oryctolagus_cuniculus ENSOCUG00000007105
ochotona_princeps ENSOPRG00000004856
tupaia_belangeri ENSTBEG00000013798
homo_sapiens ENSG00000206150
pongo_abelii ENSPPYG00000005586
chlorocebus_sabaeus ENSCSAG00000000343
otolemur_garnettii ENSOGAG00000033468
otolemur_garnettii ENSOGAG00000033773
myotis_lucifugus ENSMLUG00000014600
pteropus_vampyrus ENSPVAG00000001617
ursus_americanus ENSUAMG00000011123
ailuropoda_melanoleuca ENSAMEG00000020056
canis_lupus_dingo ENSCAFG00020014438
canis_lupus_familiaris ENSCAFG00000024269
equus_asinus_asinus ENSEASG00005010379
equus_caballus ENSECAG00000031881
capra_hircus ENSCHIG00000006567
ovis_aries ENSOARG00000019696
bos_taurus ENSBTAG00000046189
sus_scrofa ENSSSCG00000023519
loxodonta_africana ENSLAFG00000007087
procavia_capensis ENSPCAG00000014093
echinops_telfairi ENSETEG00000015416
dasypus_novemcinctus ENSDNOG00000036572
erinaceus_europaeus ENSEEUG00000010845
ornithorhynchus_anatinus ENSOANG00000002977
