rhinopithecus_bieti ENSRBIG00000043385
rhinopithecus_roxellana ENSRROG00000040350
piliocolobus_tephrosceles ENSPTEG00000030924
colobus_angolensis_palliatus ENSCANG00000029357
macaca_nemestrina ENSMNEG00000034812
macaca_fascicularis ENSMFAG00000039645
papio_anubis ENSPANG00000034540
cercocebus_atys ENSCATG00000043299
theropithecus_gelada ENSTGEG00000004330
mandrillus_leucophaeus ENSMLEG00000032440
pan_paniscus ENSPPAG00000028301
pan_troglodytes ENSPTRG00000051466
gorilla_gorilla ENSGGOG00000037301
homo_sapiens ENSG00000240045
nomascus_leucogenys ENSNLEG00000028242
saimiri_boliviensis_boliviensis ENSSBOG00000010194
callithrix_jacchus ENSCJAG00000042341
cebus_capucinus ENSCCAG00000034361
aotus_nancymaae ENSANAG00000035345
carlito_syrichta ENSTSYG00000026033
propithecus_coquereli ENSPCOG00000015379
prolemur_simus ENSPSMG00000003191
nannospalax_galili ENSNGAG00000020116
panthera_pardus ENSPPRG00000023798
panthera_tigris_altaica ENSPTIG00000010401
felis_catus ENSFCAG00000046459
neovison_vison ENSNVIG00000012323
bison_bison_bison ENSBBBG00000015180
