anabas_testudineus ENSATEG00000021252
monopterus_albus ENSMALG00000016671
amphiprion_percula ENSAPEG00000022712
amphiprion_ocellaris ENSAOCG00000004683
acanthochromis_polyacanthus ENSAPOG00000003546
stegastes_partitus ENSSPAG00000014218
maylandia_zebra ENSMZEG00005024394
astatotilapia_calliptera ENSACLG00000010020
haplochromis_burtoni ENSHBUG00000012404
pundamilia_nyererei ENSPNYG00000007075
oreochromis_niloticus ENSONIG00000018570
neolamprologus_brichardi ENSNBRG00000002877
amphilophus_citrinellus ENSACIG00000008243
takifugu_rubripes ENSTRUG00000011329
tetraodon_nigroviridis ENSTNIG00000014889
xiphophorus_maculatus ENSXMAG00000000676
gambusia_affinis ENSGAFG00000020132
poecilia_formosa ENSPFOG00000000891
poecilia_latipinna ENSPLAG00000005103
poecilia_mexicana ENSPMEG00000019873
poecilia_reticulata ENSPREG00000011887
xiphophorus_couchianus ENSXCOG00000018912
cyprinodon_variegatus ENSCVAG00000012090
fundulus_heteroclitus ENSFHEG00000010376
kryptolebias_marmoratus ENSKMAG00000021357
oryzias_latipes ENSORLG00020003378
oryzias_latipes ENSORLG00000018039
oryzias_latipes_asm223469v1 ENSORLG00015003114
oryzias_melastigma ENSOMEG00000013062
mastacembelus_armatus ENSMAMG00000005453
labrus_bergylta ENSLBEG00000016536
gasterosteus_aculeatus ENSGACG00000016825
mola_mola ENSMMOG00000020898
scophthalmus_maximus ENSSMAG00000014567
cynoglossus_semilaevis ENSCSEG00000015885
seriola_dumerili ENSSDUG00000009893
seriola_lalandi_dorsalis ENSSLDG00000009200
hippocampus_comes ENSHCOG00000002201
periophthalmus_magnuspinnatus ENSPMGG00000014674
gadus_morhua ENSGMOG00000012476
esox_lucius ENSELUG00000014572
pygocentrus_nattereri ENSPNAG00000027857
astyanax_mexicanus ENSAMXG00000001354
ictalurus_punctatus ENSIPUG00000016831
danio_rerio ENSDARG00000069056
scleropages_formosus ENSSFOG00015007683
paramormyrops_kingsleyae ENSPKIG00000025677
paramormyrops_kingsleyae ENSPKIG00000009164
scleropages_formosus ENSSFOG00015019527
astyanax_mexicanus ENSAMXG00000018967
pygocentrus_nattereri ENSPNAG00000023805
esox_lucius ENSELUG00000021738
lepisosteus_oculatus ENSLOCG00000003225
phascolarctos_cinereus ENSPCIG00000001143
phascolarctos_cinereus ENSPCIG00000008455
notamacropus_eugenii ENSMEUG00000011189
sarcophilus_harrisii ENSSHAG00000004082
monodelphis_domestica ENSMODG00000001371
castor_canadensis ENSCCNG00000025837
dipodomys_ordii ENSDORG00000003144
mus_musculus ENSMUSG00000002372
mus_spicilegus ENSMSIG00000022350
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022696
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021785
mus_pahari MGP_PahariEiJ_G0020774
rattus_norvegicus ENSRNOG00000049785
meriones_unguiculatus ENSMUGG00000006048
microtus_ochrogaster ENSMOCG00000000298
peromyscus_maniculatus_bairdii ENSPEMG00000020448
cricetulus_griseus_crigri-picr ENSCGRG00015002200
cricetulus_griseus_chok1gshd ENSCGRG00001022677
cricetulus_griseus_crigri ENSCGRG00000013140
mesocricetus_auratus ENSMAUG00000011228
nannospalax_galili ENSNGAG00000015130
jaculus_jaculus ENSJJAG00000007163
chinchilla_lanigera ENSCLAG00000011775
octodon_degus ENSODEG00000015257
cavia_aperea ENSCAPG00000015008
cavia_porcellus ENSCPOG00000021646
heterocephalus_glaber_female ENSHGLG00000015535
heterocephalus_glaber_male ENSHGLG00100003264
fukomys_damarensis ENSFDAG00000008604
ictidomys_tridecemlineatus ENSSTOG00000006462
marmota_marmota_marmota ENSMMMG00000019085
spermophilus_dauricus ENSSDAG00000009492
urocitellus_parryii ENSUPAG00010023645
oryctolagus_cuniculus ENSOCUG00000001530
ochotona_princeps ENSOPRG00000007333
pan_paniscus ENSPPAG00000040739
pan_troglodytes ENSPTRG00000010351
homo_sapiens ENSG00000031823
gorilla_gorilla ENSGGOG00000006300
pongo_abelii ENSPPYG00000009444
nomascus_leucogenys ENSNLEG00000015710
colobus_angolensis_palliatus ENSCANG00000029126
piliocolobus_tephrosceles ENSPTEG00000022603
rhinopithecus_bieti ENSRBIG00000027814
rhinopithecus_roxellana ENSRROG00000032677
cercocebus_atys ENSCATG00000044346
mandrillus_leucophaeus ENSMLEG00000028374
theropithecus_gelada ENSTGEG00000018994
papio_anubis ENSPANG00000031036
macaca_fascicularis ENSMFAG00000031395
