dromaius_novaehollandiae ENSDNVG00000004089
apteryx_owenii ENSAOWG00000009294
meleagris_gallopavo ENSMGAG00000003599
gallus_gallus ENSGALG00000014861
coturnix_japonica ENSCJPG00005010997
numida_meleagris ENSNMEG00000006171
anser_brachyrhynchus ENSABRG00000011548
anas_platyrhynchos ENSAPLG00000015565
taeniopygia_guttata ENSTGUG00000002277
lonchura_striata ENSLSDG00000005835
parus_major ENSPMJG00000015862
cyanistes_caeruleus ENSCCEG00000014624
zonotrichia_albicollis ENSZALG00000003356
ficedula_albicollis ENSFALG00000011136
manacus_vitellinus ENSMVIG00005009227
lepidothrix_coronata ENSLCOG00000007095
calidris_pygmaea ENSCPGG00000016688
calidris_pugnax ENSCPUG00000015173
apteryx_rowi ENSARWG00000016026
apteryx_rowi ENSARWG00000016027
apteryx_haastii ENSAHAG00000000733
nothoprocta_perdicaria ENSNPEG00000001093
nothoprocta_perdicaria ENSNPEG00000001102
melopsittacus_undulatus ENSMUNG00000013611
serinus_canaria ENSSCAG00000016487
crocodylus_porosus ENSCPRG00005016179
chrysemys_picta ENSCPBG00000007709
gopherus_agassizii ENSGAGG00000010738
pelodiscus_sinensis ENSPSIG00000018228
pogona_vitticeps ENSPVIG00000011495
anolis_carolinensis ENSACAG00000010721
notechis_scutatus ENSNSUG00000017073
salvator_merianae ENSSMRG00000018889
sphenodon_punctatus ENSSPUG00000017455
vombatus_ursinus ENSVURG00010000879
phascolarctos_cinereus ENSPCIG00000030603
notamacropus_eugenii ENSMEUG00000010426
sarcophilus_harrisii ENSSHAG00000010958
monodelphis_domestica ENSMODG00000020280
tupaia_belangeri ENSTBEG00000015539
jaculus_jaculus ENSJJAG00000011286
castor_canadensis ENSCCNG00000012080
dipodomys_ordii ENSDORG00000001716
cavia_aperea ENSCAPG00000013794
cavia_porcellus ENSCPOG00000019426
chinchilla_lanigera ENSCLAG00000016609
octodon_degus ENSODEG00000000571
heterocephalus_glaber ENSHGLG00000003434
heterocephalus_glaber ENSHGLG00100008954
fukomys_damarensis ENSFDAG00000008263
peromyscus_maniculatus ENSPEMG00000024204
microtus_ochrogaster ENSMOCG00000013523
cricetulus_griseus ENSCGRG00001021680
cricetulus_griseus ENSCGRG00000015830
cricetulus_griseus ENSCGRG00015020091
mesocricetus_auratus ENSMAUG00000017026
mus_musculus ENSMUSG00000095930
mus_spicilegus ENSMSIG00000024902
mus_spretus MGP_SPRETEiJ_G0019810
mus_caroli MGP_CAROLIEiJ_G0018932
mus_pahari MGP_PahariEiJ_G0016001
rattus_norvegicus ENSRNOG00000016353
meriones_unguiculatus ENSMUGG00000001582
nannospalax_galili ENSNGAG00000012494
spermophilus_dauricus ENSSDAG00000000613
ictidomys_tridecemlineatus ENSSTOG00000025018
urocitellus_parryii ENSUPAG00010003276
marmota_marmota ENSMMMG00000010469
oryctolagus_cuniculus ENSOCUG00000017808
ochotona_princeps ENSOPRG00000015083
homo_sapiens ENSG00000177453
gorilla_gorilla ENSGGOG00000001138
pan_paniscus ENSPPAG00000034065
pan_troglodytes ENSPTRG00000016843
pongo_abelii ENSPPYG00000015438
nomascus_leucogenys ENSNLEG00000010407
piliocolobus_tephrosceles ENSPTEG00000020339
colobus_angolensis ENSCANG00000037278
rhinopithecus_roxellana ENSRROG00000020429
rhinopithecus_bieti ENSRBIG00000031228
macaca_fascicularis ENSMFAG00000000337
macaca_mulatta ENSMMUG00000001224
macaca_nemestrina ENSMNEG00000028182
cercocebus_atys ENSCATG00000038385
mandrillus_leucophaeus ENSMLEG00000038967
papio_anubis ENSPANG00000023594
theropithecus_gelada ENSTGEG00000010867
chlorocebus_sabaeus ENSCSAG00000016775
callithrix_jacchus ENSCJAG00000001300
saimiri_boliviensis ENSSBOG00000024438
cebus_capucinus ENSCCAG00000022110
aotus_nancymaae ENSANAG00000038378
carlito_syrichta ENSTSYG00000002631
microcebus_murinus ENSMICG00000009901
propithecus_coquereli ENSPCOG00000001729
prolemur_simus ENSPSMG00000014492
otolemur_garnettii ENSOGAG00000009096
ovis_aries ENSOARG00000008720
capra_hircus ENSCHIG00000017425
bos_indicus ENSBIXG00000007347
bos_indicus ENSBIXG00005010305
bos_taurus ENSBTAG00000006233
bos_mutus ENSBMUG00000023168
bison_bison ENSBBBG00000001415
tursiops_truncatus ENSTTRG00000009679
sus_scrofa ENSSSCG00000016873
equus_caballus ENSECAG00000018784
equus_asinus ENSEASG00005013507
ursus_americanus ENSUAMG00000008759
ursus_maritimus ENSUMAG00000007155
ailuropoda_melanoleuca ENSAMEG00000003899
neovison_vison ENSNVIG00000003566
mustela_putorius ENSMPUG00000014431
canis_lupus ENSCAFG00000018576
canis_lupus ENSCAFG00020022511
vulpes_vulpes ENSVVUG00000025384
panthera_pardus ENSPPRG00000009359
panthera_tigris ENSPTIG00000021312
felis_catus ENSFCAG00000011986
pteropus_vampyrus ENSPVAG00000014932
erinaceus_europaeus ENSEEUG00000007519
myotis_lucifugus ENSMLUG00000010370
sorex_araneus ENSSARG00000005364
loxodonta_africana ENSLAFG00000031346
procavia_capensis ENSPCAG00000009907
dasypus_novemcinctus ENSDNOG00000047533
choloepus_hoffmanni ENSCHOG00000010270
xenopus_tropicalis ENSXETG00000012655
serinus_canaria ENSSCAG00000016494
latimeria_chalumnae ENSLACG00000017484
callorhinchus_milii ENSCMIG00000011278
callorhinchus_milii ENSCMIG00000004238
petromyzon_marinus ENSPMAG00000009056
eptatretus_burgeri ENSEBUG00000002390
ciona_savignyi ENSCSAVG00000001010
ciona_intestinalis ENSCING00000009985
caenorhabditis_elegans WBGene00009867
drosophila_melanogaster FBgn0031299
