cricetulus_griseus ENSCGRG00015011619
mesocricetus_auratus ENSMAUG00000009975
microtus_ochrogaster ENSMOCG00000016372
mus_spicilegus ENSMSIG00000012323
nannospalax_galili ENSNGAG00000017535
jaculus_jaculus ENSJJAG00000023138
spermophilus_dauricus ENSSDAG00000021701
marmota_marmota ENSMMMG00000019125
chinchilla_lanigera ENSCLAG00000016754
octodon_degus ENSODEG00000013109
cavia_porcellus ENSCPOG00000035230
bos_taurus ENSBTAG00000046944
bos_mutus ENSBMUG00000012461
bison_bison ENSBBBG00000014876
equus_caballus ENSECAG00000032844
equus_asinus ENSEASG00005011259
equus_asinus ENSEASG00005011266
equus_caballus ENSECAG00000022988
equus_asinus ENSEASG00005011265
equus_asinus ENSEASG00005011262
equus_caballus ENSECAG00000034942
bos_mutus ENSBMUG00000005914
bison_bison ENSBBBG00000014826
sus_scrofa ENSSSCG00000031292
prolemur_simus ENSPSMG00000020094
