macaca_fascicularis ENSMFAG00000002661
macaca_nemestrina ENSMNEG00000031759
macaca_mulatta ENSMMUG00000043693
theropithecus_gelada ENSTGEG00000009265
papio_anubis ENSPANG00000025339
chlorocebus_sabaeus ENSCSAG00000010194
mandrillus_leucophaeus ENSMLEG00000027872
cercocebus_atys ENSCATG00000017371
rhinopithecus_bieti ENSRBIG00000026569
rhinopithecus_roxellana ENSRROG00000017915
colobus_angolensis_palliatus ENSCANG00000034116
piliocolobus_tephrosceles ENSPTEG00000017725
pan_troglodytes ENSPTRG00000042745
pan_paniscus ENSPPAG00000043507
homo_sapiens ENSG00000187186
gorilla_gorilla ENSGGOG00000038318
nomascus_leucogenys ENSNLEG00000027087
cebus_capucinus ENSCCAG00000027042
saimiri_boliviensis_boliviensis ENSSBOG00000020775
callithrix_jacchus ENSCJAG00000039110
aotus_nancymaae ENSANAG00000021044
carlito_syrichta ENSTSYG00000028136
prolemur_simus ENSPSMG00000016711
propithecus_coquereli ENSPCOG00000028797
microcebus_murinus ENSMICG00000043891
dipodomys_ordii ENSDORG00000001738
castor_canadensis ENSCCNG00000019529
urocitellus_parryii ENSUPAG00010006748
ictidomys_tridecemlineatus ENSSTOG00000028035
spermophilus_dauricus ENSSDAG00000024474
microtus_ochrogaster ENSMOCG00000000825
mesocricetus_auratus ENSMAUG00000020540
mus_musculus ENSMUSG00000078747
mus_musculus ENSMUSG00000094695
mus_musculus ENSMUSG00000079773
mus_musculus ENSMUSG00000095234
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026879
mus_spicilegus ENSMSIG00000019466
mus_pahari MGP_PahariEiJ_G0024057
nannospalax_galili ENSNGAG00000015032
jaculus_jaculus ENSJJAG00000013492
heterocephalus_glaber_male ENSHGLG00100016982
heterocephalus_glaber_female ENSHGLG00000017744
fukomys_damarensis ENSFDAG00000005141
cavia_porcellus ENSCPOG00000030830
chinchilla_lanigera ENSCLAG00000004046
octodon_degus ENSODEG00000014493
bos_taurus ENSBTAG00000049217
bos_mutus ENSBMUG00000018252
bison_bison_bison ENSBBBG00000012240
capra_hircus ENSCHIG00000025603
tursiops_truncatus ENSTTRG00000005682
sus_scrofa ENSSSCG00000034888
equus_caballus ENSECAG00000033460
equus_asinus_asinus ENSEASG00005003920
pteropus_vampyrus ENSPVAG00000014833
vulpes_vulpes ENSVVUG00000020963
canis_lupus_dingo ENSCAFG00020016067
neovison_vison ENSNVIG00000024041
ursus_americanus ENSUAMG00000017588
ursus_maritimus ENSUMAG00000006330
felis_catus ENSFCAG00000019109
panthera_pardus ENSPPRG00000023968
dasypus_novemcinctus ENSDNOG00000025416
mus_pahari MGP_PahariEiJ_G0024058
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026880
monodelphis_domestica ENSMODG00000025500
ornithorhynchus_anatinus ENSOANG00000002083
