amphilophus_citrinellus ENSACIG00000002422
mola_mola ENSMMOG00000019932
danio_rerio ENSDARG00000067717
saimiri_boliviensis_boliviensis ENSSBOG00000025925
saimiri_boliviensis_boliviensis ENSSBOG00000003308
callithrix_jacchus ENSCJAG00000047573
tupaia_belangeri ENSTBEG00000002076
dipodomys_ordii ENSDORG00000011908
ursus_americanus ENSUAMG00000022143
ursus_maritimus ENSUMAG00000024503
neovison_vison ENSNVIG00000021521
propithecus_coquereli ENSPCOG00000004214
piliocolobus_tephrosceles ENSPTEG00000037377
sorex_araneus ENSSARG00000006389
choloepus_hoffmanni ENSCHOG00000001967
echinops_telfairi ENSETEG00000012200
monodelphis_domestica ENSMODG00000023928
manacus_vitellinus ENSMVIG00005000179
