cricetulus_griseus_crigri ENSCGRG00000008146
cricetulus_griseus_crigri-picr ENSCGRG00015024757
cricetulus_griseus_chok1gshd ENSCGRG00001006376
mesocricetus_auratus ENSMAUG00000020080
peromyscus_maniculatus_bairdii ENSPEMG00000013087
microtus_ochrogaster ENSMOCG00000021710
mus_musculus ENSMUSG00000038304
mus_spicilegus ENSMSIG00000021872
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026339
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025392
mus_pahari MGP_PahariEiJ_G0026837
rattus_norvegicus ENSRNOG00000000097
castor_canadensis ENSCCNG00000030778
marmota_marmota_marmota ENSMMMG00000015256
urocitellus_parryii ENSUPAG00010009794
spermophilus_dauricus ENSSDAG00000018927
ochotona_princeps ENSOPRG00000004297
tupaia_belangeri ENSTBEG00000006772
pan_paniscus ENSPPAG00000032554
pan_troglodytes ENSPTRG00000001211
gorilla_gorilla ENSGGOG00000024675
homo_sapiens ENSG00000117281
pongo_abelii ENSPPYG00000000938
nomascus_leucogenys ENSNLEG00000005622
piliocolobus_tephrosceles ENSPTEG00000009764
colobus_angolensis_palliatus ENSCANG00000034121
rhinopithecus_roxellana ENSRROG00000033492
rhinopithecus_bieti ENSRBIG00000029966
macaca_mulatta ENSMMUG00000007969
macaca_fascicularis ENSMFAG00000043835
macaca_nemestrina ENSMNEG00000043287
mandrillus_leucophaeus ENSMLEG00000033371
theropithecus_gelada ENSTGEG00000009829
papio_anubis ENSPANG00000018116
cercocebus_atys ENSCATG00000044591
chlorocebus_sabaeus ENSCSAG00000001758
saimiri_boliviensis_boliviensis ENSSBOG00000017632
callithrix_jacchus ENSCJAG00000002349
cebus_capucinus ENSCCAG00000034950
aotus_nancymaae ENSANAG00000037284
carlito_syrichta ENSTSYG00000004869
propithecus_coquereli ENSPCOG00000021195
prolemur_simus ENSPSMG00000013433
microcebus_murinus ENSMICG00000038733
otolemur_garnettii ENSOGAG00000027280
pteropus_vampyrus ENSPVAG00000014488
myotis_lucifugus ENSMLUG00000002901
erinaceus_europaeus ENSEEUG00000011701
equus_caballus ENSECAG00000010888
equus_asinus_asinus ENSEASG00005007404
ursus_americanus ENSUAMG00000009781
ursus_maritimus ENSUMAG00000010155
ailuropoda_melanoleuca ENSAMEG00000017521
neovison_vison ENSNVIG00000024174
mustela_putorius_furo ENSMPUG00000000634
canis_lupus_dingo ENSCAFG00020020071
canis_lupus_familiaris ENSCAFG00000011178
panthera_tigris_altaica ENSPTIG00000010081
panthera_pardus ENSPPRG00000008891
felis_catus ENSFCAG00000013367
tursiops_truncatus ENSTTRG00000009222
loxodonta_africana ENSLAFG00000008333
procavia_capensis ENSPCAG00000010675
dasypus_novemcinctus ENSDNOG00000036112
phascolarctos_cinereus ENSPCIG00000011960
notamacropus_eugenii ENSMEUG00000000041
