myotis_lucifugus ENSMLUG00000008735
pteropus_vampyrus ENSPVAG00000008072
equus_caballus ENSECAG00000025174
equus_asinus_asinus ENSEASG00005017233
neovison_vison ENSNVIG00000011037
mustela_putorius_furo ENSMPUG00000003515
canis_lupus_familiaris ENSCAFG00000028975
canis_lupus_dingo ENSCAFG00020000393
vulpes_vulpes ENSVVUG00000029929
ursus_americanus ENSUAMG00000024631
felis_catus ENSFCAG00000044418
panthera_pardus ENSPPRG00000022773
bos_taurus ENSBTAG00000007866
capra_hircus ENSCHIG00000024456
ovis_aries ENSOARG00000016403
ovis_aries ENSOARG00000016450
bos_mutus ENSBMUG00000013716
tursiops_truncatus ENSTTRG00000005979
sus_scrofa ENSSSCG00000039318
pan_troglodytes ENSPTRG00000008792
pan_paniscus ENSPPAG00000044002
homo_sapiens ENSG00000125430
gorilla_gorilla ENSGGOG00000024121
pongo_abelii ENSPPYG00000008001
nomascus_leucogenys ENSNLEG00000014635
rhinopithecus_roxellana ENSRROG00000016077
colobus_angolensis_palliatus ENSCANG00000000209
piliocolobus_tephrosceles ENSPTEG00000036554
macaca_nemestrina ENSMNEG00000044535
macaca_fascicularis ENSMFAG00000037693
cercocebus_atys ENSCATG00000044623
chlorocebus_sabaeus ENSCSAG00000009017
theropithecus_gelada ENSTGEG00000000030
papio_anubis ENSPANG00000023721
callithrix_jacchus ENSCJAG00000043789
saimiri_boliviensis_boliviensis ENSSBOG00000025504
cebus_capucinus ENSCCAG00000023505
aotus_nancymaae ENSANAG00000021778
carlito_syrichta ENSTSYG00000027612
tupaia_belangeri ENSTBEG00000013665
castor_canadensis ENSCCNG00000008233
dipodomys_ordii ENSDORG00000028834
mus_musculus ENSMUSG00000070407
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017342
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016505
mus_pahari MGP_PahariEiJ_G0017634
rattus_norvegicus ENSRNOG00000003384
meriones_unguiculatus ENSMUGG00000015713
cricetulus_griseus_crigri-picr ENSCGRG00015014384
cricetulus_griseus_chok1gshd ENSCGRG00001014480
mesocricetus_auratus ENSMAUG00000005757
microtus_ochrogaster ENSMOCG00000010807
peromyscus_maniculatus_bairdii ENSPEMG00000026126
nannospalax_galili ENSNGAG00000019437
jaculus_jaculus ENSJJAG00000008018
ictidomys_tridecemlineatus ENSSTOG00000009851
urocitellus_parryii ENSUPAG00010022826
marmota_marmota_marmota ENSMMMG00000020935
spermophilus_dauricus ENSSDAG00000005012
chinchilla_lanigera ENSCLAG00000007932
octodon_degus ENSODEG00000000297
cavia_porcellus ENSCPOG00000038753
heterocephalus_glaber_male ENSHGLG00100018796
heterocephalus_glaber_female ENSHGLG00000000551
fukomys_damarensis ENSFDAG00000012557
prolemur_simus ENSPSMG00000024354
propithecus_coquereli ENSPCOG00000009490
microcebus_murinus ENSMICG00000047459
otolemur_garnettii ENSOGAG00000031063
oryctolagus_cuniculus ENSOCUG00000012432
ochotona_princeps ENSOPRG00000001136
dasypus_novemcinctus ENSDNOG00000034403
loxodonta_africana ENSLAFG00000027137
echinops_telfairi ENSETEG00000008566
erinaceus_europaeus ENSEEUG00000002007
notamacropus_eugenii ENSMEUG00000007482
gopherus_agassizii ENSGAGG00000001620
