lonchura_striata_domestica ENSLSDG00000000169
taeniopygia_guttata ENSTGUG00000012832
junco_hyemalis ENSJHYG00000014812
zonotrichia_albicollis ENSZALG00000017318
serinus_canaria ENSSCAG00000010956
parus_major ENSPMJG00000008912
cyanistes_caeruleus ENSCCEG00000001392
ficedula_albicollis ENSFALG00000001827
lepidothrix_coronata ENSLCOG00000001364
calidris_pygmaea ENSCPGG00000004850
numida_meleagris ENSNMEG00000021182
coturnix_japonica ENSCJPG00005007799
anser_brachyrhynchus ENSABRG00000020125
melopsittacus_undulatus ENSMUNG00000013658
calidris_pugnax ENSCPUG00000014300
manacus_vitellinus ENSMVIG00005012036
meleagris_gallopavo ENSMGAG00000013908
gallus_gallus ENSGALG00000016294
apteryx_haastii ENSAHAG00000014678
apteryx_owenii ENSAOWG00000017350
apteryx_rowi ENSARWG00000008674
dromaius_novaehollandiae ENSDNVG00000016807
nothoprocta_perdicaria ENSNPEG00000004806
crocodylus_porosus ENSCPRG00005010772
chelonoidis_abingdonii ENSCABG00000007726
gopherus_agassizii ENSGAGG00000022746
chrysemys_picta_bellii ENSCPBG00000022071
pelodiscus_sinensis ENSPSIG00000012546
sphenodon_punctatus ENSSPUG00000006564
ornithorhynchus_anatinus ENSOANG00000029135
salvator_merianae ENSSMRG00000011567
anas_platyrhynchos_platyrhynchos ENSAPLG00000014814
latimeria_chalumnae ENSLACG00000007775
anolis_carolinensis ENSACAG00000016794
pogona_vitticeps ENSPVIG00000005092
notechis_scutatus ENSNSUG00000006838
xenopus_tropicalis ENSXETG00000007070
sarcophilus_harrisii ENSSHAG00000005186
phascolarctos_cinereus ENSPCIG00000032883
notamacropus_eugenii ENSMEUG00000004383
monodelphis_domestica ENSMODG00000018784
dasypus_novemcinctus ENSDNOG00000049321
choloepus_hoffmanni ENSCHOG00000007258
loxodonta_africana ENSLAFG00000022387
procavia_capensis ENSPCAG00000007536
tupaia_belangeri ENSTBEG00000009182
ictidomys_tridecemlineatus ENSSTOG00000003393
urocitellus_parryii ENSUPAG00010005615
spermophilus_dauricus ENSSDAG00000022145
marmota_marmota_marmota ENSMMMG00000000886
heterocephalus_glaber_female ENSHGLG00000001993
heterocephalus_glaber_male ENSHGLG00100009696
fukomys_damarensis ENSFDAG00000016956
chinchilla_lanigera ENSCLAG00000010394
octodon_degus ENSODEG00000001557
cavia_porcellus ENSCPOG00000006209
cavia_aperea ENSCAPG00000006766
castor_canadensis ENSCCNG00000008889
oryctolagus_cuniculus ENSOCUG00000029661
cebus_capucinus ENSCCAG00000019117
saimiri_boliviensis_boliviensis ENSSBOG00000035484
callithrix_jacchus ENSCJAG00000010832
aotus_nancymaae ENSANAG00000034775
pan_troglodytes ENSPTRG00000018299
pan_paniscus ENSPPAG00000031355
homo_sapiens ENSG00000146151
pongo_abelii ENSPPYG00000016732
nomascus_leucogenys ENSNLEG00000003266
macaca_mulatta ENSMMUG00000001399
macaca_fascicularis ENSMFAG00000044934
macaca_nemestrina ENSMNEG00000038896
chlorocebus_sabaeus ENSCSAG00000013243
mandrillus_leucophaeus ENSMLEG00000018567
theropithecus_gelada ENSTGEG00000003655
papio_anubis ENSPANG00000000755
cercocebus_atys ENSCATG00000030227
piliocolobus_tephrosceles ENSPTEG00000004241
colobus_angolensis_palliatus ENSCANG00000042381
rhinopithecus_bieti ENSRBIG00000012664
rhinopithecus_roxellana ENSRROG00000037696
carlito_syrichta ENSTSYG00000009162
propithecus_coquereli ENSPCOG00000016006
prolemur_simus ENSPSMG00000021879
microcebus_murinus ENSMICG00000015183
erinaceus_europaeus ENSEEUG00000011694
sorex_araneus ENSSARG00000005084
ursus_maritimus ENSUMAG00000003997
ailuropoda_melanoleuca ENSAMEG00000006515
neovison_vison ENSNVIG00000007691
mustela_putorius_furo ENSMPUG00000002812
canis_lupus_dingo ENSCAFG00020013433
canis_lupus_familiaris ENSCAFG00000002341
vulpes_vulpes ENSVVUG00000001404
panthera_pardus ENSPPRG00000004039
panthera_tigris_altaica ENSPTIG00000010174
felis_catus ENSFCAG00000006787
bison_bison_bison ENSBBBG00000016300
