clupea_harengus ENSCHAG00000006743
paramormyrops_kingsleyae ENSPKIG00000008273
meleagris_gallopavo ENSMGAG00000005875
gallus_gallus ENSGALG00000005628
melopsittacus_undulatus ENSMUNG00000007428
taeniopygia_guttata ENSTGUG00000007624
ficedula_albicollis ENSFALG00000010500
cyanistes_caeruleus ENSCCEG00000021551
pelodiscus_sinensis ENSPSIG00000004702
bos_mutus ENSBMUG00000022351
bos_indicus ENSBIXG00005020674
bison_bison ENSBBBG00000017417
sus_scrofa ENSSSCG00000040554
pteropus_vampyrus ENSPVAG00000003809
neovison_vison ENSNVIG00000019962
mustela_putorius ENSMPUG00000007936
ailuropoda_melanoleuca ENSAMEG00000017342
felis_catus ENSFCAG00000001332
panthera_pardus ENSPPRG00000010419
pan_paniscus ENSPPAG00000031491
homo_sapiens ENSG00000092758
gorilla_gorilla ENSGGOG00000017028
mandrillus_leucophaeus ENSMLEG00000041767
theropithecus_gelada ENSTGEG00000009619
papio_anubis ENSPANG00000024126
cercocebus_atys ENSCATG00000030703
cebus_capucinus ENSCCAG00000026899
callithrix_jacchus ENSCJAG00000009909
aotus_nancymaae ENSANAG00000029986
prolemur_simus ENSPSMG00000016799
fukomys_damarensis ENSFDAG00000007844
sarcophilus_harrisii ENSSHAG00000010063
ornithorhynchus_anatinus ENSOANG00000004975
latimeria_chalumnae ENSLACG00000017042
lepisosteus_oculatus ENSLOCG00000003885
pongo_abelii ENSPPYG00000013899
otolemur_garnettii ENSOGAG00000014351
erinaceus_europaeus ENSEEUG00000005980
mesocricetus_auratus ENSMAUG00000001258
ficedula_albicollis ENSFALG00000008066
anas_platyrhynchos ENSAPLG00000017276
ochotona_princeps ENSOPRG00000005537
gallus_gallus ENSGALG00000006708
crocodylus_porosus ENSCPRG00005006693
oryzias_latipes ENSORLG00015013097
xiphophorus_couchianus ENSXCOG00000013087
betta_splendens ENSBSLG00000006720
pogona_vitticeps ENSPVIG00000022999
taeniopygia_guttata ENSTGUG00000003295
erpetoichthys_calabaricus ENSECRG00000014860
macaca_fascicularis ENSMFAG00000038649
eptatretus_burgeri ENSEBUG00000016130
latimeria_chalumnae ENSLACG00000017400
eptatretus_burgeri ENSEBUG00000000842
