cyprinodon_variegatus ENSCVAG00000000521
fundulus_heteroclitus ENSFHEG00000020060
poecilia_mexicana ENSPMEG00000015958
poecilia_latipinna ENSPLAG00000010417
poecilia_reticulata ENSPREG00000015895
xiphophorus_couchianus ENSXCOG00000003409
xiphophorus_maculatus ENSXMAG00000026977
gambusia_affinis ENSGAFG00000015510
kryptolebias_marmoratus ENSKMAG00000014221
oryzias_latipes ENSORLG00000014939
oryzias_latipes_asm223469v1 ENSORLG00015012715
oryzias_latipes ENSORLG00020015094
oryzias_melastigma ENSOMEG00000019410
stegastes_partitus ENSSPAG00000022881
seriola_lalandi_dorsalis ENSSLDG00000016965
seriola_dumerili ENSSDUG00000015115
maylandia_zebra ENSMZEG00005010583
astatotilapia_calliptera ENSACLG00000018023
pundamilia_nyererei ENSPNYG00000011413
haplochromis_burtoni ENSHBUG00000006861
neolamprologus_brichardi ENSNBRG00000002160
amphilophus_citrinellus ENSACIG00000023201
labrus_bergylta ENSLBEG00000014391
mola_mola ENSMMOG00000009187
takifugu_rubripes ENSTRUG00000025125
scophthalmus_maximus ENSSMAG00000013074
cynoglossus_semilaevis ENSCSEG00000002400
amphiprion_percula ENSAPEG00000010766
amphiprion_ocellaris ENSAOCG00000022766
acanthochromis_polyacanthus ENSAPOG00000019876
mastacembelus_armatus ENSMAMG00000009943
monopterus_albus ENSMALG00000013373
anabas_testudineus ENSATEG00000012964
poecilia_formosa ENSPFOG00000024052
periophthalmus_magnuspinnatus ENSPMGG00000018285
esox_lucius ENSELUG00000001320
astyanax_mexicanus ENSAMXG00000031384
ictalurus_punctatus ENSIPUG00000012427
danio_rerio ENSDARG00000105527
scleropages_formosus ENSSFOG00015004183
paramormyrops_kingsleyae ENSPKIG00000014410
