pygocentrus_nattereri ENSPNAG00000019880
astyanax_mexicanus ENSAMXG00000018985
ictalurus_punctatus ENSIPUG00000008198
danio_rerio ENSDARG00000043304
esox_lucius ENSELUG00000017384
scleropages_formosus ENSSFOG00015002458
acanthochromis_polyacanthus ENSAPOG00000023186
amphiprion_percula ENSAPEG00000011152
stegastes_partitus ENSSPAG00000005491
cynoglossus_semilaevis ENSCSEG00000020126
scophthalmus_maximus ENSSMAG00000011738
mastacembelus_armatus ENSMAMG00000001909
cyprinodon_variegatus ENSCVAG00000001162
fundulus_heteroclitus ENSFHEG00000014327
poecilia_mexicana ENSPMEG00000016775
poecilia_formosa ENSPFOG00000013054
poecilia_latipinna ENSPLAG00000005975
poecilia_reticulata ENSPREG00000010428
xiphophorus_maculatus ENSXMAG00000011483
oryzias_latipes ENSORLG00020005484
oryzias_melastigma ENSOMEG00000012751
pundamilia_nyererei ENSPNYG00000023163
maylandia_zebra ENSMZEG00005017552
haplochromis_burtoni ENSHBUG00000014908
neolamprologus_brichardi ENSNBRG00000001113
oreochromis_niloticus ENSONIG00000012896
amphilophus_citrinellus ENSACIG00000011803
labrus_bergylta ENSLBEG00000007281
gasterosteus_aculeatus ENSGACG00000010317
takifugu_rubripes ENSTRUG00000002011
tetraodon_nigroviridis ENSTNIG00000008046
hippocampus_comes ENSHCOG00000017852
gadus_morhua ENSGMOG00000011005
lepisosteus_oculatus ENSLOCG00000007050
pogona_vitticeps ENSPVIG00000012394
anolis_carolinensis ENSACAG00000006397
notechis_scutatus ENSNSUG00000015753
salvator_merianae ENSSMRG00000011771
sphenodon_punctatus ENSSPUG00000015240
lonchura_striata_domestica ENSLSDG00000006873
taeniopygia_guttata ENSTGUG00000013336
zonotrichia_albicollis ENSZALG00000017999
junco_hyemalis ENSJHYG00000009854
serinus_canaria ENSSCAG00000014175
parus_major ENSPMJG00000007352
cyanistes_caeruleus ENSCCEG00000013914
ficedula_albicollis ENSFALG00000004797
lepidothrix_coronata ENSLCOG00000002009
manacus_vitellinus ENSMVIG00005013261
calidris_pugnax ENSCPUG00000005962
calidris_pygmaea ENSCPGG00000005815
melopsittacus_undulatus ENSMUNG00000001989
meleagris_gallopavo ENSMGAG00000014082
gallus_gallus ENSGALG00000037807
numida_meleagris ENSNMEG00000016902
anas_platyrhynchos_platyrhynchos ENSAPLG00000020826
apteryx_haastii ENSAHAG00000012741
apteryx_owenii ENSAOWG00000008489
dromaius_novaehollandiae ENSDNVG00000015858
crocodylus_porosus ENSCPRG00005007691
chelonoidis_abingdonii ENSCABG00000010042
chrysemys_picta_bellii ENSCPBG00000027725
gopherus_agassizii ENSGAGG00000001438
pelodiscus_sinensis ENSPSIG00000016127
