equus_asinus_asinus ENSEASG00005010972
equus_caballus ENSECAG00000024884
sus_scrofa ENSSSCG00000022161
pan_paniscus ENSPPAG00000008982
pan_troglodytes ENSPTRG00000024143
homo_sapiens ENSG00000198169
gorilla_gorilla ENSGGOG00000006838
pongo_abelii ENSPPYG00000018989
nomascus_leucogenys ENSNLEG00000010932
mandrillus_leucophaeus ENSMLEG00000043122
cercocebus_atys ENSCATG00000018659
macaca_nemestrina ENSMNEG00000030624
macaca_fascicularis ENSMFAG00000010896
macaca_mulatta ENSMMUG00000028881
theropithecus_gelada ENSTGEG00000019597
papio_anubis ENSPANG00000010537
chlorocebus_sabaeus ENSCSAG00000008222
rhinopithecus_roxellana ENSRROG00000042452
rhinopithecus_bieti ENSRBIG00000034458
colobus_angolensis_palliatus ENSCANG00000039011
piliocolobus_tephrosceles ENSPTEG00000022854
cebus_capucinus ENSCCAG00000037699
saimiri_boliviensis_boliviensis ENSSBOG00000027385
callithrix_jacchus ENSCJAG00000021390
aotus_nancymaae ENSANAG00000035942
carlito_syrichta ENSTSYG00000008450
prolemur_simus ENSPSMG00000024969
microcebus_murinus ENSMICG00000011171
marmota_marmota_marmota ENSMMMG00000008446
urocitellus_parryii ENSUPAG00010000040
ictidomys_tridecemlineatus ENSSTOG00000029400
spermophilus_dauricus ENSSDAG00000012501
heterocephalus_glaber_female ENSHGLG00000012998
fukomys_damarensis ENSFDAG00000016021
castor_canadensis ENSCCNG00000011872
dipodomys_ordii ENSDORG00000029790
peromyscus_maniculatus_bairdii ENSPEMG00000027021
microtus_ochrogaster ENSMOCG00000021383
cricetulus_griseus_chok1gshd ENSCGRG00001021157
cricetulus_griseus_crigri ENSCGRG00000000181
cricetulus_griseus_crigri-picr ENSCGRG00015022172
mesocricetus_auratus ENSMAUG00000009691
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020852
mus_spicilegus ENSMSIG00000024719
mus_musculus ENSMUSG00000022526
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019949
mus_pahari MGP_PahariEiJ_G0019959
rattus_norvegicus ENSRNOG00000030308
meriones_unguiculatus ENSMUGG00000012255
nannospalax_galili ENSNGAG00000018267
oryctolagus_cuniculus ENSOCUG00000029051
dasypus_novemcinctus ENSDNOG00000044659
dasypus_novemcinctus ENSDNOG00000043817
phascolarctos_cinereus ENSPCIG00000008972
gopherus_agassizii ENSGAGG00000013957
