coturnix_japonica ENSCJPG00005015906
gallus_gallus ENSGALG00000002959
meleagris_gallopavo ENSMGAG00000011635
numida_meleagris ENSNMEG00000014980
anser_brachyrhynchus ENSABRG00000020703
anas_platyrhynchos_platyrhynchos ENSAPLG00000011341
calidris_pygmaea ENSCPGG00000016609
calidris_pugnax ENSCPUG00000011316
melopsittacus_undulatus ENSMUNG00000008327
manacus_vitellinus ENSMVIG00005018811
lepidothrix_coronata ENSLCOG00000005649
taeniopygia_guttata ENSTGUG00000005217
taeniopygia_guttata ENSTGUG00000005219
lonchura_striata_domestica ENSLSDG00000013749
serinus_canaria ENSSCAG00000003840
zonotrichia_albicollis ENSZALG00000010462
junco_hyemalis ENSJHYG00000015864
ficedula_albicollis ENSFALG00000013271
parus_major ENSPMJG00000015399
cyanistes_caeruleus ENSCCEG00000019678
apteryx_owenii ENSAOWG00000016091
apteryx_rowi ENSARWG00000001245
apteryx_haastii ENSAHAG00000009000
dromaius_novaehollandiae ENSDNVG00000010829
nothoprocta_perdicaria ENSNPEG00000001316
crocodylus_porosus ENSCPRG00005006040
gopherus_agassizii ENSGAGG00000012828
chelonoidis_abingdonii ENSCABG00000008653
chrysemys_picta_bellii ENSCPBG00000015433
pelodiscus_sinensis ENSPSIG00000007829
pogona_vitticeps ENSPVIG00000025611
anolis_carolinensis ENSACAG00000010317
notechis_scutatus ENSNSUG00000020077
salvator_merianae ENSSMRG00000016464
sphenodon_punctatus ENSSPUG00000007912
urocitellus_parryii ENSUPAG00010015104
ictidomys_tridecemlineatus ENSSTOG00000022469
ictidomys_tridecemlineatus ENSSTOG00000011341
spermophilus_dauricus ENSSDAG00000002626
marmota_marmota_marmota ENSMMMG00000005568
dipodomys_ordii ENSDORG00000013962
heterocephalus_glaber_female ENSHGLG00000006705
heterocephalus_glaber_male ENSHGLG00100017891
fukomys_damarensis ENSFDAG00000005980
chinchilla_lanigera ENSCLAG00000011072
octodon_degus ENSODEG00000004485
cavia_porcellus ENSCPOG00000031723
cavia_aperea ENSCAPG00000005339
jaculus_jaculus ENSJJAG00000000936
pan_troglodytes ENSPTRG00000002539
homo_sapiens ENSG00000148572
pongo_abelii ENSPPYG00000002411
pan_paniscus ENSPPAG00000032646
pan_troglodytes ENSPTRG00000045192
nomascus_leucogenys ENSNLEG00000018230
piliocolobus_tephrosceles ENSPTEG00000028990
macaca_mulatta ENSMMUG00000017726
macaca_nemestrina ENSMNEG00000025366
theropithecus_gelada ENSTGEG00000029289
chlorocebus_sabaeus ENSCSAG00000007449
colobus_angolensis_palliatus ENSCANG00000011420
macaca_fascicularis ENSMFAG00000031882
cercocebus_atys ENSCATG00000033855
mandrillus_leucophaeus ENSMLEG00000034970
papio_anubis ENSPANG00000022063
rhinopithecus_bieti ENSRBIG00000023798
rhinopithecus_roxellana ENSRROG00000031923
pan_paniscus ENSPPAG00000034564
pan_troglodytes ENSPTRG00000048191
gorilla_gorilla ENSGGOG00000038937
gorilla_gorilla ENSGGOG00000013016
pan_paniscus ENSPPAG00000028338
nomascus_leucogenys ENSNLEG00000032454
nomascus_leucogenys ENSNLEG00000028047
macaca_mulatta ENSMMUG00000040852
papio_anubis ENSPANG00000030046
mandrillus_leucophaeus ENSMLEG00000041595
rhinopithecus_bieti ENSRBIG00000040285
rhinopithecus_roxellana ENSRROG00000033858
nomascus_leucogenys ENSNLEG00000031157
colobus_angolensis_palliatus ENSCANG00000040188
saimiri_boliviensis_boliviensis ENSSBOG00000035726
cebus_capucinus ENSCCAG00000025021
aotus_nancymaae ENSANAG00000028667
callithrix_jacchus ENSCJAG00000043457
cebus_capucinus ENSCCAG00000001577
saimiri_boliviensis_boliviensis ENSSBOG00000028523
