poecilia_latipinna ENSPLAG00000018507
poecilia_mexicana ENSPMEG00000006598
poecilia_reticulata ENSPREG00000003797
cyprinodon_variegatus ENSCVAG00000006687
fundulus_heteroclitus ENSFHEG00000017846
amphilophus_citrinellus ENSACIG00000005237
amphiprion_ocellaris ENSAOCG00000016203
amphiprion_percula ENSAPEG00000014715
acanthochromis_polyacanthus ENSAPOG00000008694
stegastes_partitus ENSSPAG00000003131
monopterus_albus ENSMALG00000018767
anabas_testudineus ENSATEG00000002193
periophthalmus_magnuspinnatus ENSPMGG00000002651
paramormyrops_kingsleyae ENSPKIG00000009455
anolis_carolinensis ENSACAG00000022837
