seriola_lalandi_dorsalis ENSSLDG00000012355
scophthalmus_maximus ENSSMAG00000014938
esox_lucius ENSELUG00000010491
acanthochromis_polyacanthus ENSAPOG00000019569
gambusia_affinis ENSGAFG00000014213
astatotilapia_calliptera ENSACLG00000012783
cyprinodon_variegatus ENSCVAG00000008671
kryptolebias_marmoratus ENSKMAG00000018019
periophthalmus_magnuspinnatus ENSPMGG00000018221
kryptolebias_marmoratus ENSKMAG00000015173
scophthalmus_maximus ENSSMAG00000018516
esox_lucius ENSELUG00000005819
ictalurus_punctatus ENSIPUG00000018610
cynoglossus_semilaevis ENSCSEG00000000766
parus_major ENSPMJG00000006474
