poecilia_formosa ENSPFOG00000023179
poecilia_latipinna ENSPLAG00000007755
poecilia_mexicana ENSPMEG00000008106
poecilia_reticulata ENSPREG00000002276
gambusia_affinis ENSGAFG00000012911
xiphophorus_couchianus ENSXCOG00000012461
xiphophorus_maculatus ENSXMAG00000021586
cyprinodon_variegatus ENSCVAG00000004966
fundulus_heteroclitus ENSFHEG00000000835
kryptolebias_marmoratus ENSKMAG00000020225
oryzias_latipes ENSORLG00000006058
oryzias_latipes_asm223469v1 ENSORLG00015006594
oryzias_melastigma ENSOMEG00000011813
anabas_testudineus ENSATEG00000014931
hippocampus_comes ENSHCOG00000004088
astatotilapia_calliptera ENSACLG00000015083
haplochromis_burtoni ENSHBUG00000001651
maylandia_zebra ENSMZEG00005000855
pundamilia_nyererei ENSPNYG00000007053
neolamprologus_brichardi ENSNBRG00000002989
amphilophus_citrinellus ENSACIG00000015894
periophthalmus_magnuspinnatus ENSPMGG00000013999
labrus_bergylta ENSLBEG00000022742
takifugu_rubripes ENSTRUG00000025454
seriola_dumerili ENSSDUG00000023728
seriola_lalandi_dorsalis ENSSLDG00000006179
scophthalmus_maximus ENSSMAG00000012498
mastacembelus_armatus ENSMAMG00000012705
monopterus_albus ENSMALG00000009661
amphiprion_percula ENSAPEG00000000802
amphiprion_ocellaris ENSAOCG00000020846
acanthochromis_polyacanthus ENSAPOG00000021146
acanthochromis_polyacanthus ENSAPOG00000024198
stegastes_partitus ENSSPAG00000014697
mola_mola ENSMMOG00000012783
esox_lucius ENSELUG00000023930
lepisosteus_oculatus ENSLOCG00000017386
paramormyrops_kingsleyae ENSPKIG00000009533
canis_lupus_familiaris ENSCAFG00000032417
