spermophilus_dauricus ENSSDAG00000013836
marmota_marmota ENSMMMG00000020187
castor_canadensis ENSCCNG00000031740
nomascus_leucogenys ENSNLEG00000001645
nomascus_leucogenys ENSNLEG00000030268
colobus_angolensis ENSCANG00000027711
mus_spretus MGP_SPRETEiJ_G0026492
mus_musculus ENSMUSG00000027881
mus_caroli MGP_CAROLIEiJ_G0025542
mus_pahari MGP_PahariEiJ_G0026988
meriones_unguiculatus ENSMUGG00000024274
cricetulus_griseus ENSCGRG00000002972
cricetulus_griseus ENSCGRG00001018841
mesocricetus_auratus ENSMAUG00000019131
peromyscus_maniculatus ENSPEMG00000025269
sarcophilus_harrisii ENSSHAG00000016924
eptatretus_burgeri ENSEBUG00000001683
