echinops_telfairi ENSETEG00000010662
loxodonta_africana ENSLAFG00000029772
procavia_capensis ENSPCAG00000001539
capra_hircus ENSCHIG00000018705
ovis_aries ENSOARG00000020207
bison_bison_bison ENSBBBG00000023742
bos_mutus ENSBMUG00000026177
bos_taurus ENSBTAG00000020537
tursiops_truncatus ENSTTRG00000011695
sus_scrofa ENSSSCG00000029968
ursus_americanus ENSUAMG00000023834
ursus_maritimus ENSUMAG00000018256
ailuropoda_melanoleuca ENSAMEG00000016852
mustela_putorius_furo ENSMPUG00000016651
neovison_vison ENSNVIG00000022948
canis_lupus_dingo ENSCAFG00020026960
canis_lupus_familiaris ENSCAFG00000015597
vulpes_vulpes ENSVVUG00000025729
panthera_pardus ENSPPRG00000002174
panthera_tigris_altaica ENSPTIG00000013757
felis_catus ENSFCAG00000006664
pteropus_vampyrus ENSPVAG00000010812
equus_caballus ENSECAG00000019427
equus_asinus_asinus ENSEASG00005011321
myotis_lucifugus ENSMLUG00000010308
erinaceus_europaeus ENSEEUG00000004569
dipodomys_ordii ENSDORG00000002690
castor_canadensis ENSCCNG00000016581
mus_spicilegus ENSMSIG00000017477
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015106
mus_musculus ENSMUSG00000033007
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014300
mus_pahari MGP_PahariEiJ_G0027538
rattus_norvegicus ENSRNOG00000019985
meriones_unguiculatus ENSMUGG00000005218
microtus_ochrogaster ENSMOCG00000000824
peromyscus_maniculatus_bairdii ENSPEMG00000010490
cricetulus_griseus_crigri ENSCGRG00000017773
cricetulus_griseus_chok1gshd ENSCGRG00001022497
cricetulus_griseus_crigri-picr ENSCGRG00015005185
mesocricetus_auratus ENSMAUG00000009764
nannospalax_galili ENSNGAG00000003829
jaculus_jaculus ENSJJAG00000017265
urocitellus_parryii ENSUPAG00010013332
ictidomys_tridecemlineatus ENSSTOG00000012402
marmota_marmota_marmota ENSMMMG00000020805
spermophilus_dauricus ENSSDAG00000007700
chinchilla_lanigera ENSCLAG00000008013
octodon_degus ENSODEG00000008072
cavia_porcellus ENSCPOG00000021247
cavia_aperea ENSCAPG00000010490
heterocephalus_glaber_male ENSHGLG00100018975
heterocephalus_glaber_female ENSHGLG00000018373
fukomys_damarensis ENSFDAG00000013189
oryctolagus_cuniculus ENSOCUG00000026600
ochotona_princeps ENSOPRG00000009944
rhinopithecus_roxellana ENSRROG00000000119
piliocolobus_tephrosceles ENSPTEG00000039475
colobus_angolensis_palliatus ENSCANG00000039245
mandrillus_leucophaeus ENSMLEG00000037469
cercocebus_atys ENSCATG00000034900
macaca_fascicularis ENSMFAG00000045990
macaca_nemestrina ENSMNEG00000030896
macaca_mulatta ENSMMUG00000013244
papio_anubis ENSPANG00000008820
theropithecus_gelada ENSTGEG00000013250
gorilla_gorilla ENSGGOG00000002730
homo_sapiens ENSG00000072182
pan_troglodytes ENSPTRG00000012960
pan_paniscus ENSPPAG00000040744
pongo_abelii ENSPPYG00000013210
nomascus_leucogenys ENSNLEG00000009517
rhinopithecus_bieti ENSRBIG00000019146
chlorocebus_sabaeus ENSCSAG00000007964
cebus_capucinus ENSCCAG00000019312
saimiri_boliviensis_boliviensis ENSSBOG00000034586
aotus_nancymaae ENSANAG00000006064
callithrix_jacchus ENSCJAG00000011864
carlito_syrichta ENSTSYG00000035540
microcebus_murinus ENSMICG00000001336
prolemur_simus ENSPSMG00000025506
propithecus_coquereli ENSPCOG00000024887
otolemur_garnettii ENSOGAG00000032856
tupaia_belangeri ENSTBEG00000005972
dasypus_novemcinctus ENSDNOG00000042876
phascolarctos_cinereus ENSPCIG00000010140
notamacropus_eugenii ENSMEUG00000004086
monodelphis_domestica ENSMODG00000029506
monodelphis_domestica ENSMODG00000024908
sarcophilus_harrisii ENSSHAG00000011907
ornithorhynchus_anatinus ENSOANG00000021816
poecilia_reticulata ENSPREG00000014242
anolis_carolinensis ENSACAG00000014142
notechis_scutatus ENSNSUG00000012444
salvator_merianae ENSSMRG00000010786
sphenodon_punctatus ENSSPUG00000006236
ornithorhynchus_anatinus ENSOANG00000028426
parus_major ENSPMJG00000019703
ficedula_albicollis ENSFALG00000004297
lonchura_striata_domestica ENSLSDG00000013461
taeniopygia_guttata ENSTGUG00000006157
junco_hyemalis ENSJHYG00000010556
manacus_vitellinus ENSMVIG00005013113
anas_platyrhynchos_platyrhynchos ENSAPLG00000020592
anser_brachyrhynchus ENSABRG00000019886
numida_meleagris ENSNMEG00000022860
coturnix_japonica ENSCJPG00005013545
apteryx_owenii ENSAOWG00000007666
apteryx_rowi ENSARWG00000016401
apteryx_haastii ENSAHAG00000011037
dromaius_novaehollandiae ENSDNVG00000018564
cyanistes_caeruleus ENSCCEG00000019069
gopherus_agassizii ENSGAGG00000005053
zonotrichia_albicollis ENSZALG00000015481
lepidothrix_coronata ENSLCOG00000005787
cyanistes_caeruleus ENSCCEG00000008333
calidris_pugnax ENSCPUG00000002081
calidris_pygmaea ENSCPGG00000014273
gallus_gallus ENSGALG00000011250
meleagris_gallopavo ENSMGAG00000011242
nothoprocta_perdicaria ENSNPEG00000005939
gopherus_agassizii ENSGAGG00000003076
chrysemys_picta_bellii ENSCPBG00000017528
pogona_vitticeps ENSPVIG00000021480
xenopus_tropicalis ENSXETG00000013897
serinus_canaria ENSSCAG00000013718
melopsittacus_undulatus ENSMUNG00000013204
latimeria_chalumnae ENSLACG00000011881
latimeria_chalumnae ENSLACG00000013176
scleropages_formosus ENSSFOG00015023629
paramormyrops_kingsleyae ENSPKIG00000025609
lepisosteus_oculatus ENSLOCG00000000689
oryzias_latipes ENSORLG00020008237
oryzias_latipes ENSORLG00000020519
oryzias_latipes_asm223469v1 ENSORLG00015005162
oryzias_melastigma ENSOMEG00000016180
kryptolebias_marmoratus ENSKMAG00000014750
amphiprion_percula ENSAPEG00000011839
amphiprion_ocellaris ENSAOCG00000011359
poecilia_latipinna ENSPLAG00000004588
cyprinodon_variegatus ENSCVAG00000016801
stegastes_partitus ENSSPAG00000007214
astatotilapia_calliptera ENSACLG00000021434
haplochromis_burtoni ENSHBUG00000001237
oreochromis_niloticus ENSONIG00000004379
neolamprologus_brichardi ENSNBRG00000019966
scophthalmus_maximus ENSSMAG00000006912
cynoglossus_semilaevis ENSCSEG00000013878
poecilia_mexicana ENSPMEG00000016134
poecilia_reticulata ENSPREG00000014248
gambusia_affinis ENSGAFG00000013913
gasterosteus_aculeatus ENSGACG00000007052
xiphophorus_maculatus ENSXMAG00000003624
xiphophorus_couchianus ENSXCOG00000014355
poecilia_formosa ENSPFOG00000010865
monopterus_albus ENSMALG00000006077
labrus_bergylta ENSLBEG00000000829
seriola_lalandi_dorsalis ENSSLDG00000022741
seriola_dumerili ENSSDUG00000012646
mola_mola ENSMMOG00000005686
fundulus_heteroclitus ENSFHEG00000011782
anabas_testudineus ENSATEG00000002639
pundamilia_nyererei ENSPNYG00000016210
maylandia_zebra ENSMZEG00005012361
amphilophus_citrinellus ENSACIG00000009693
mastacembelus_armatus ENSMAMG00000017296
takifugu_rubripes ENSTRUG00000009778
tetraodon_nigroviridis ENSTNIG00000010994
hippocampus_comes ENSHCOG00000018829
gadus_morhua ENSGMOG00000012740
esox_lucius ENSELUG00000014811
astyanax_mexicanus ENSAMXG00000017831
pygocentrus_nattereri ENSPNAG00000023562
ictalurus_punctatus ENSIPUG00000010329
danio_rerio ENSDARG00000025162
acanthochromis_polyacanthus ENSAPOG00000006339
periophthalmus_magnuspinnatus ENSPMGG00000018226
paramormyrops_kingsleyae ENSPKIG00000011378
ictalurus_punctatus ENSIPUG00000013144
astyanax_mexicanus ENSAMXG00000037643
danio_rerio ENSDARG00000004243
scleropages_formosus ENSSFOG00015013161
pygocentrus_nattereri ENSPNAG00000021498
periophthalmus_magnuspinnatus ENSPMGG00000018498
