seriola_lalandi_dorsalis ENSSLDG00000019847
seriola_dumerili ENSSDUG00000015280
scophthalmus_maximus ENSSMAG00000001799
monopterus_albus ENSMALG00000014302
mastacembelus_armatus ENSMAMG00000022838
anabas_testudineus ENSATEG00000008467
amphiprion_percula ENSAPEG00000020502
amphiprion_ocellaris ENSAOCG00000009404
acanthochromis_polyacanthus ENSAPOG00000018579
stegastes_partitus ENSSPAG00000022006
pundamilia_nyererei ENSPNYG00000011096
haplochromis_burtoni ENSHBUG00000015894
astatotilapia_calliptera ENSACLG00000014261
maylandia_zebra ENSMZEG00005022591
neolamprologus_brichardi ENSNBRG00000012476
amphilophus_citrinellus ENSACIG00000001536
kryptolebias_marmoratus ENSKMAG00000000627
fundulus_heteroclitus ENSFHEG00000008434
takifugu_rubripes ENSTRUG00000016156
tetraodon_nigroviridis ENSTNIG00000010403
mola_mola ENSMMOG00000018961
gasterosteus_aculeatus ENSGACG00000008835
labrus_bergylta ENSLBEG00000005437
hippocampus_comes ENSHCOG00000010106
periophthalmus_magnuspinnatus ENSPMGG00000009283
gadus_morhua ENSGMOG00000020057
esox_lucius ENSELUG00000016829
danio_rerio ENSDARG00000013907
