stegastes_partitus ENSSPAG00000020135
periophthalmus_magnuspinnatus ENSPMGG00000021915
amphiprion_percula ENSAPEG00000021139
cyprinodon_variegatus ENSCVAG00000013066
periophthalmus_magnuspinnatus ENSPMGG00000011078
periophthalmus_magnuspinnatus ENSPMGG00000022547
labrus_bergylta ENSLBEG00000013006
labrus_bergylta ENSLBEG00000022407
labrus_bergylta ENSLBEG00000024577
labrus_bergylta ENSLBEG00000016979
labrus_bergylta ENSLBEG00000028875
labrus_bergylta ENSLBEG00000014660
labrus_bergylta ENSLBEG00000006329
labrus_bergylta ENSLBEG00000017594
labrus_bergylta ENSLBEG00000008020
cottoperca_gobio ENSCGOG00000009041
seriola_dumerili ENSSDUG00000011660
seriola_dumerili ENSSDUG00000011694
seriola_dumerili ENSSDUG00000011652
seriola_lalandi ENSSLDG00000015961
lates_calcarifer ENSLCAG00010005808
betta_splendens ENSBSLG00000018173
betta_splendens ENSBSLG00000018276
anabas_testudineus ENSATEG00000004482
