monodelphis_domestica ENSMODG00000018984
phascolarctos_cinereus ENSPCIG00000020559
sarcophilus_harrisii ENSSHAG00000015030
bison_bison_bison ENSBBBG00000021641
bos_mutus ENSBMUG00000005451
bos_taurus ENSBTAG00000005454
capra_hircus ENSCHIG00000025805
ovis_aries ENSOARG00000000349
tursiops_truncatus ENSTTRG00000016072
sus_scrofa ENSSSCG00000038178
vicugna_pacos ENSVPAG00000006016
sorex_araneus ENSSARG00000008260
ailuropoda_melanoleuca ENSAMEG00000002880
ursus_maritimus ENSUMAG00000021137
mustela_putorius_furo ENSMPUG00000010189
neovison_vison ENSNVIG00000006674
canis_lupus_dingo ENSCAFG00020001315
canis_lupus_familiaris ENSCAFG00000006336
vulpes_vulpes ENSVVUG00000019925
panthera_pardus ENSPPRG00000002861
panthera_tigris_altaica ENSPTIG00000014430
felis_catus ENSFCAG00000003845
equus_caballus ENSECAG00000020319
equus_asinus_asinus ENSEASG00005016764
pteropus_vampyrus ENSPVAG00000004688
myotis_lucifugus ENSMLUG00000002754
chlorocebus_sabaeus ENSCSAG00000015793
theropithecus_gelada ENSTGEG00000006071
macaca_fascicularis ENSMFAG00000000813
macaca_mulatta ENSMMUG00000022511
papio_anubis ENSPANG00000016988
cercocebus_atys ENSCATG00000042006
mandrillus_leucophaeus ENSMLEG00000033496
colobus_angolensis_palliatus ENSCANG00000039309
rhinopithecus_roxellana ENSRROG00000032225
pan_troglodytes ENSPTRG00000020148
pan_paniscus ENSPPAG00000034485
pongo_abelii ENSPPYG00000018500
piliocolobus_tephrosceles ENSPTEG00000032870
rhinopithecus_bieti ENSRBIG00000028023
macaca_nemestrina ENSMNEG00000020932
homo_sapiens ENSG00000172728
gorilla_gorilla ENSGGOG00000028574
nomascus_leucogenys ENSNLEG00000012071
cebus_capucinus ENSCCAG00000030510
saimiri_boliviensis_boliviensis ENSSBOG00000027017
callithrix_jacchus ENSCJAG00000007543
aotus_nancymaae ENSANAG00000036539
carlito_syrichta ENSTSYG00000007626
propithecus_coquereli ENSPCOG00000025506
prolemur_simus ENSPSMG00000008612
microcebus_murinus ENSMICG00000013099
otolemur_garnettii ENSOGAG00000027030
castor_canadensis ENSCCNG00000010265
dipodomys_ordii ENSDORG00000015226
mus_spicilegus ENSMSIG00000030089
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032076
