acanthochromis_polyacanthus ENSAPOG00000021858
stegastes_partitus ENSSPAG00000009795
maylandia_zebra ENSMZEG00005028139
maylandia_zebra ENSMZEG00005024906
astatotilapia_calliptera ENSACLG00000027493
fundulus_heteroclitus ENSFHEG00000001431
monopterus_albus ENSMALG00000003262
seriola_dumerili ENSSDUG00000001805
seriola_lalandi_dorsalis ENSSLDG00000001141
seriola_lalandi_dorsalis ENSSLDG00000002472
seriola_lalandi_dorsalis ENSSLDG00000009622
mola_mola ENSMMOG00000011166
amphilophus_citrinellus ENSACIG00000021250
amphilophus_citrinellus ENSACIG00000005545
amphilophus_citrinellus ENSACIG00000018014
neolamprologus_brichardi ENSNBRG00000016247
neolamprologus_brichardi ENSNBRG00000000558
amphilophus_citrinellus ENSACIG00000005533
maylandia_zebra ENSMZEG00005023799
maylandia_zebra ENSMZEG00005008717
amphilophus_citrinellus ENSACIG00000012108
oryzias_latipes ENSORLG00020020032
oryzias_latipes ENSORLG00000023629
esox_lucius ENSELUG00000005277
