chrysemys_picta_bellii ENSCPBG00000012245
gopherus_agassizii ENSGAGG00000007239
sphenodon_punctatus ENSSPUG00000013135
pogona_vitticeps ENSPVIG00000001440
pogona_vitticeps ENSPVIG00000001443
anolis_carolinensis ENSACAG00000010687
notechis_scutatus ENSNSUG00000005679
salvator_merianae ENSSMRG00000016643
loxodonta_africana ENSLAFG00000008164
procavia_capensis ENSPCAG00000000558
echinops_telfairi ENSETEG00000020235
dasypus_novemcinctus ENSDNOG00000037836
ovis_aries ENSOARG00000003992
capra_hircus ENSCHIG00000022933
bos_mutus ENSBMUG00000004437
bos_taurus ENSBTAG00000005675
bison_bison_bison ENSBBBG00000004359
tursiops_truncatus ENSTTRG00000014144
sus_scrofa ENSSSCG00000001419
vicugna_pacos ENSVPAG00000008107
equus_asinus_asinus ENSEASG00005015659
equus_caballus ENSECAG00000009701
pteropus_vampyrus ENSPVAG00000005126
myotis_lucifugus ENSMLUG00000004887
ursus_americanus ENSUAMG00000024481
ursus_maritimus ENSUMAG00000013388
ailuropoda_melanoleuca ENSAMEG00000012956
neovison_vison ENSNVIG00000015028
mustela_putorius_furo ENSMPUG00000010774
canis_lupus_familiaris ENSCAFG00000000658
canis_lupus_dingo ENSCAFG00020000124
vulpes_vulpes ENSVVUG00000022262
vulpes_vulpes ENSVVUG00000003234
panthera_tigris_altaica ENSPTIG00000008418
panthera_pardus ENSPPRG00000024415
felis_catus ENSFCAG00000004514
erinaceus_europaeus ENSEEUG00000014909
sorex_araneus ENSSARG00000006770
pan_paniscus ENSPPAG00000039346
pan_troglodytes ENSPTRG00000017991
homo_sapiens ENSG00000204385
gorilla_gorilla ENSGGOG00000008972
nomascus_leucogenys ENSNLEG00000006406
pongo_abelii ENSPPYG00000016466
papio_anubis ENSPANG00000005766
theropithecus_gelada ENSTGEG00000029410
macaca_fascicularis ENSMFAG00000041119
macaca_mulatta ENSMMUG00000021708
macaca_nemestrina ENSMNEG00000039530
cercocebus_atys ENSCATG00000034509
mandrillus_leucophaeus ENSMLEG00000014458
chlorocebus_sabaeus ENSCSAG00000008833
rhinopithecus_bieti ENSRBIG00000030820
rhinopithecus_roxellana ENSRROG00000030634
colobus_angolensis_palliatus ENSCANG00000037068
piliocolobus_tephrosceles ENSPTEG00000037523
cebus_capucinus ENSCCAG00000024839
saimiri_boliviensis_boliviensis ENSSBOG00000031690
callithrix_jacchus ENSCJAG00000002493
aotus_nancymaae ENSANAG00000025696
carlito_syrichta ENSTSYG00000001852
propithecus_coquereli ENSPCOG00000025102
microcebus_murinus ENSMICG00000044872
prolemur_simus ENSPSMG00000018499
otolemur_garnettii ENSOGAG00000014170
castor_canadensis ENSCCNG00000028843
dipodomys_ordii ENSDORG00000011396
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022389
mus_spicilegus ENSMSIG00000016390
mus_musculus ENSMUSG00000007034
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021484
mus_pahari MGP_PahariEiJ_G0020479
rattus_norvegicus ENSRNOG00000000878
meriones_unguiculatus ENSMUGG00000002062
peromyscus_maniculatus_bairdii ENSPEMG00000011491
microtus_ochrogaster ENSMOCG00000016917
cricetulus_griseus_chok1gshd ENSCGRG00001020159
cricetulus_griseus_crigri-picr ENSCGRG00015028440
cricetulus_griseus_crigri ENSCGRG00000014035
mesocricetus_auratus ENSMAUG00000016147
nannospalax_galili ENSNGAG00000021975
jaculus_jaculus ENSJJAG00000017469
chinchilla_lanigera ENSCLAG00000006728
octodon_degus ENSODEG00000017567
cavia_porcellus ENSCPOG00000014782
cavia_aperea ENSCAPG00000017131
heterocephalus_glaber_male ENSHGLG00100018055
heterocephalus_glaber_female ENSHGLG00000018523
fukomys_damarensis ENSFDAG00000004765
ictidomys_tridecemlineatus ENSSTOG00000020040
marmota_marmota_marmota ENSMMMG00000010455
spermophilus_dauricus ENSSDAG00000005256
ochotona_princeps ENSOPRG00000003759
oryctolagus_cuniculus ENSOCUG00000006970
phascolarctos_cinereus ENSPCIG00000018569
notamacropus_eugenii ENSMEUG00000003657
sarcophilus_harrisii ENSSHAG00000008048
monodelphis_domestica ENSMODG00000015138
xenopus_tropicalis ENSXETG00000010924
latimeria_chalumnae ENSLACG00000022221
fundulus_heteroclitus ENSFHEG00000008615
cyprinodon_variegatus ENSCVAG00000003161
xiphophorus_maculatus ENSXMAG00000014065
gambusia_affinis ENSGAFG00000002214
poecilia_latipinna ENSPLAG00000018097
poecilia_mexicana ENSPMEG00000006878
poecilia_formosa ENSPFOG00000003315
poecilia_reticulata ENSPREG00000002439
xiphophorus_couchianus ENSXCOG00000019509
kryptolebias_marmoratus ENSKMAG00000002311
oryzias_latipes ENSORLG00020009666
oryzias_latipes_asm223469v1 ENSORLG00015016939
oryzias_latipes ENSORLG00000001907
oryzias_melastigma ENSOMEG00000008715
amphilophus_citrinellus ENSACIG00000016889
amphiprion_ocellaris ENSAOCG00000001823
amphiprion_percula ENSAPEG00000001277
acanthochromis_polyacanthus ENSAPOG00000019050
stegastes_partitus ENSSPAG00000012998
haplochromis_burtoni ENSHBUG00000023604
maylandia_zebra ENSMZEG00005026402
pundamilia_nyererei ENSPNYG00000017693
neolamprologus_brichardi ENSNBRG00000019010
oreochromis_niloticus ENSONIG00000013519
amphilophus_citrinellus ENSACIG00000016903
monopterus_albus ENSMALG00000010806
cynoglossus_semilaevis ENSCSEG00000011388
seriola_dumerili ENSSDUG00000020183
seriola_lalandi_dorsalis ENSSLDG00000000476
scophthalmus_maximus ENSSMAG00000020366
mastacembelus_armatus ENSMAMG00000003151
anabas_testudineus ENSATEG00000007521
labrus_bergylta ENSLBEG00000012915
gasterosteus_aculeatus ENSGACG00000002956
tetraodon_nigroviridis ENSTNIG00000003871
takifugu_rubripes ENSTRUG00000002050
mola_mola ENSMMOG00000014504
hippocampus_comes ENSHCOG00000007053
periophthalmus_magnuspinnatus ENSPMGG00000019759
gadus_morhua ENSGMOG00000004191
esox_lucius ENSELUG00000005710
astyanax_mexicanus ENSAMXG00000033658
ictalurus_punctatus ENSIPUG00000004125
danio_rerio ENSDARG00000102381
scleropages_formosus ENSSFOG00015017173
scleropages_formosus ENSSFOG00015017324
paramormyrops_kingsleyae ENSPKIG00000012220
esox_lucius ENSELUG00000006235
pygocentrus_nattereri ENSPNAG00000004039
lepisosteus_oculatus ENSLOCG00000000132
eptatretus_burgeri ENSEBUG00000010339
ciona_savignyi ENSCSAVG00000004838
