piliocolobus_tephrosceles ENSPTEG00000026109
carlito_syrichta ENSTSYG00000031829
castor_canadensis ENSCCNG00000031622
castor_canadensis ENSCCNG00000005357
spermophilus_dauricus ENSSDAG00000008878
peromyscus_maniculatus_bairdii ENSPEMG00000024520
mus_spicilegus ENSMSIG00000018824
capra_hircus ENSCHIG00000021317
ovis_aries ENSOARG00000015701
bos_mutus ENSBMUG00000010105
sus_scrofa ENSSSCG00000032326
ursus_americanus ENSUAMG00000016040
canis_lupus_dingo ENSCAFG00020004654
equus_caballus ENSECAG00000040421
equus_asinus_asinus ENSEASG00005020117
dasypus_novemcinctus ENSDNOG00000035028
sphenodon_punctatus ENSSPUG00000000626
salvator_merianae ENSSMRG00000020262
chrysemys_picta_bellii ENSCPBG00000022051
chelonoidis_abingdonii ENSCABG00000006992
junco_hyemalis ENSJHYG00000008350
lepidothrix_coronata ENSLCOG00000007212
