acanthochromis_polyacanthus ENSAPOG00000000230
amphiprion_percula ENSAPEG00000012385
fundulus_heteroclitus ENSFHEG00000007942
mola_mola ENSMMOG00000007715
anabas_testudineus ENSATEG00000020721
gasterosteus_aculeatus ENSGACG00000006065
xiphophorus_maculatus ENSXMAG00000020165
xiphophorus_couchianus ENSXCOG00000011814
poecilia_reticulata ENSPREG00000022554
poecilia_formosa ENSPFOG00000011844
kryptolebias_marmoratus ENSKMAG00000018115
labrus_bergylta ENSLBEG00000013005
oryzias_melastigma ENSOMEG00000001659
oryzias_latipes_asm223469v1 ENSORLG00015003880
stegastes_partitus ENSSPAG00000007770
mastacembelus_armatus ENSMAMG00000021833
monopterus_albus ENSMALG00000002266
seriola_dumerili ENSSDUG00000023524
seriola_lalandi_dorsalis ENSSLDG00000019418
periophthalmus_magnuspinnatus ENSPMGG00000008594
pygocentrus_nattereri ENSPNAG00000029510
scleropages_formosus ENSSFOG00015012390
paramormyrops_kingsleyae ENSPKIG00000003677
