xiphophorus_couchianus ENSXCOG00000013073
poecilia_latipinna ENSPLAG00000014992
fundulus_heteroclitus ENSFHEG00000010820
amphilophus_citrinellus ENSACIG00000008177
oryzias_latipes ENSORLG00020022343
neolamprologus_brichardi ENSNBRG00000017525
acanthochromis_polyacanthus ENSAPOG00000021182
gambusia_affinis ENSGAFG00000007410
astatotilapia_calliptera ENSACLG00000014207
pundamilia_nyererei ENSPNYG00000015216
amphilophus_citrinellus ENSACIG00000021808
seriola_dumerili ENSSDUG00000020993
seriola_lalandi_dorsalis ENSSLDG00000008602
scophthalmus_maximus ENSSMAG00000015701
astyanax_mexicanus ENSAMXG00000036709
scleropages_formosus ENSSFOG00015012818
caenorhabditis_elegans_strain_n2 WBGene00012186
caenorhabditis_elegans_strain_n2 WBGene00008304
