esox_lucius ENSELUG00000013790
scleropages_formosus ENSSFOG00015000545
poecilia_latipinna ENSPLAG00000004487
poecilia_mexicana ENSPMEG00000002957
poecilia_reticulata ENSPREG00000014193
xiphophorus_maculatus ENSXMAG00000024325
gambusia_affinis ENSGAFG00000015055
fundulus_heteroclitus ENSFHEG00000019526
kryptolebias_marmoratus ENSKMAG00000000778
oryzias_latipes ENSORLG00020013634
oryzias_latipes_asm223469v1 ENSORLG00015012270
oryzias_latipes ENSORLG00000029425
mola_mola ENSMMOG00000004345
labrus_bergylta ENSLBEG00000008993
seriola_dumerili ENSSDUG00000007992
scophthalmus_maximus ENSSMAG00000000255
anabas_testudineus ENSATEG00000009893
periophthalmus_magnuspinnatus ENSPMGG00000015368
pelodiscus_sinensis ENSPSIG00000014075
pelodiscus_sinensis ENSPSIG00000014334
chelonoidis_abingdonii ENSCABG00000007505
calidris_pygmaea ENSCPGG00000003721
calidris_pugnax ENSCPUG00000018586
serinus_canaria ENSSCAG00000011633
junco_hyemalis ENSJHYG00000012366
lonchura_striata_domestica ENSLSDG00000006822
taeniopygia_guttata ENSTGUG00000006878
ficedula_albicollis ENSFALG00000001620
manacus_vitellinus ENSMVIG00005013640
lepidothrix_coronata ENSLCOG00000003643
melopsittacus_undulatus ENSMUNG00000009652
numida_meleagris ENSNMEG00000018378
meleagris_gallopavo ENSMGAG00000014633
anas_platyrhynchos_platyrhynchos ENSAPLG00000008241
anas_platyrhynchos_platyrhynchos ENSAPLG00000017102
apteryx_haastii ENSAHAG00000001445
apteryx_owenii ENSAOWG00000005711
dromaius_novaehollandiae ENSDNVG00000014336
nothoprocta_perdicaria ENSNPEG00000001028
crocodylus_porosus ENSCPRG00005003012
pogona_vitticeps ENSPVIG00000011744
notechis_scutatus ENSNSUG00000008645
salvator_merianae ENSSMRG00000022856
rhinopithecus_roxellana ENSRROG00000040429
rhinopithecus_bieti ENSRBIG00000044434
chlorocebus_sabaeus ENSCSAG00000014077
pongo_abelii ENSPPYG00000020228
callithrix_jacchus ENSCJAG00000031923
saimiri_boliviensis_boliviensis ENSSBOG00000030123
aotus_nancymaae ENSANAG00000005641
otolemur_garnettii ENSOGAG00000005724
tupaia_belangeri ENSTBEG00000003476
heterocephalus_glaber_male ENSHGLG00100018044
fukomys_damarensis ENSFDAG00000003076
chinchilla_lanigera ENSCLAG00000000280
octodon_degus ENSODEG00000000252
cavia_porcellus ENSCPOG00000036968
cricetulus_griseus_crigri ENSCGRG00000003854
mus_spicilegus ENSMSIG00000031689
spermophilus_dauricus ENSSDAG00000001202
pteropus_vampyrus ENSPVAG00000011264
myotis_lucifugus ENSMLUG00000017119
sorex_araneus ENSSARG00000000437
erinaceus_europaeus ENSEEUG00000007904
bos_mutus ENSBMUG00000021085
bos_taurus ENSBTAG00000047410
ovis_aries ENSOARG00000018821
sus_scrofa ENSSSCG00000030800
vicugna_pacos ENSVPAG00000009877
canis_lupus_familiaris ENSCAFG00000013840
ailuropoda_melanoleuca ENSAMEG00000006385
dasypus_novemcinctus ENSDNOG00000019528
procavia_capensis ENSPCAG00000016708
echinops_telfairi ENSETEG00000002508
notamacropus_eugenii ENSMEUG00000005682
phascolarctos_cinereus ENSPCIG00000015786
sarcophilus_harrisii ENSSHAG00000013339
ornithorhynchus_anatinus ENSOANG00000030617
ficedula_albicollis ENSFALG00000001626
taeniopygia_guttata ENSTGUG00000006879
anolis_carolinensis ENSACAG00000021077
petromyzon_marinus ENSPMAG00000000460
