poecilia_reticulata ENSPREG00000008603
poecilia_latipinna ENSPLAG00000021397
poecilia_mexicana ENSPMEG00000006272
xiphophorus_couchianus ENSXCOG00000018813
xiphophorus_maculatus ENSXMAG00000030028
gambusia_affinis ENSGAFG00000021236
cyprinodon_variegatus ENSCVAG00000018298
poecilia_formosa ENSPFOG00000022661
kryptolebias_marmoratus ENSKMAG00000001442
oryzias_latipes ENSORLG00000012269
oryzias_latipes ENSORLG00015014312
oryzias_latipes ENSORLG00020010935
haplochromis_burtoni ENSHBUG00000005358
amphilophus_citrinellus ENSACIG00000022432
pundamilia_nyererei ENSPNYG00000014359
larimichthys_crocea ENSLCRG00005009316
takifugu_rubripes ENSTRUG00000024498
betta_splendens ENSBSLG00000010722
gadus_morhua ENSGMOG00000012575
ictalurus_punctatus ENSIPUG00000004395
astyanax_mexicanus ENSAMXG00000043665
denticeps_clupeoides ENSDCDG00000017166
